##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -3.2772473928206e-01, -9.8216968866667e-01,  2.6475840614021e+00,                    B, -2.3559580914528e+00, -1.0312654873067e+00, -2.1778224553550e+00,                    B,  1.3627404054430e+00,  2.1036008360467e+00,  1.5216114066940e+00,                    A, -9.1224732581933e-01,  2.9571650774754e+00, -1.6005262432377e+00,                    A, -2.0420366432627e+00, -9.2545362592833e-01,  1.6716552155551e+00,                    A,  1.1915567225677e+00,  1.4352441698882e-01, -2.0773353451845e+00,                    A,  1.4073693138586e+00, -1.3057861749525e+00,  8.4445197754706e-02,                    B,  4.0377070009848e-01,  1.0039926602256e+00,  1.1224269644693e+00
                    A,  4.9404941564825e-01, -2.0612523000499e+00,  9.3740180809335e-03,                    A,  9.1362608644588e-01, -7.4854507316003e-02, -5.0748593119769e-01,                    B, -1.4068322191679e+00,  1.0268263954283e-01,  1.9126631227994e+00,                    A, -3.6990948793255e-01, -3.3436577983641e+00,  5.3604258425096e-01,                    A,  9.4723412843098e-01, -9.7086888287006e-01,  1.2366657437551e+00,                    B, -2.6344374294346e+00,  3.3531165958447e-01,  1.2975070446823e+00,                    B,  4.1554660423539e-01,  3.0656684466506e+00, -2.6613053347856e-01,                    B,  1.9765116728527e+00,  1.4319231442961e+00,  1.6661705236892e+00
                    B, -2.3623984914010e+00, -1.3159758789971e+00, -2.8166230922594e+00,                    B,  4.5668164586044e-01, -1.3110969966931e+00,  2.1003853942964e+00,                    B,  7.9582485654835e-01, -2.3619575760131e+00, -2.6219176973263e+00,                    A,  1.8063014033898e+00,  2.6489257353203e+00,  1.6350154588820e-01,                    A,  1.3117091485681e+00, -8.1267737159262e-01, -1.5771648326028e+00,                    B,  7.6127667153932e-01, -1.3064452762493e+00, -2.7049277786961e-01,                    A,  4.7389806237228e-01, -2.2077663305234e-02, -9.0557071626743e-02,                    A, -1.5368287255980e+00,  2.5834489799207e+00,  2.2488914577862e-01
                    B, -2.5617295675153e+00, -1.3391157501779e+00,  4.7259129850255e-01,                    A, -1.6708376703150e+00,  8.8938641282362e-01, -1.7565404236737e-02,                    A, -6.0175123784435e-01,  1.5345092653060e+00,  1.4844895574755e-01,                    B, -8.3660675349019e-01, -2.6893558130263e+00,  8.6866945253900e-01,                    A,  4.1758958326270e-01,  1.5572608368594e+00,  1.0532240720122e+00,                    B, -4.5123216142309e-01,  1.9542409955274e+00, -2.2749206464301e+00,                    B,  1.9486190928111e+00, -2.0061031718467e+00,  7.5675029010167e-01,                    A,  2.5762484859962e-01,  1.4578933124946e+00, -1.8393718905865e+00
                    A, -2.0071996850278e+00,  2.6863560563338e+00,  1.4103217982572e+00,                    A, -1.6414103467775e+00, -3.6500049387959e+00, -3.4479750350416e-01,                    B,  2.4759469145871e-01,  1.1896915372994e+00,  1.2214036782163e+00,                    B,  4.0482850368014e+00, -1.2291340416986e-01,  1.4698363426361e+00,                    A, -1.8005864555819e+00,  1.2760706255610e+00,  3.5408093761984e+00,                    B, -1.8790808426781e+00,  1.3603096274715e+00, -7.4990023870966e-01,                    B, -2.7662123588237e+00,  1.2086125305276e+00, -2.2306994987046e+00,                    A,  6.9029925294023e-01, -1.1400029819468e+00,  9.2162031414603e-01
                    A,  5.9441365219463e-01,  2.2573053798356e+00, -1.7860503653474e+00,                    B, -2.5086920097917e+00, -1.3665997914082e-01, -2.0269313369961e+00,                    B,  1.2812232535735e+00,  3.3039412887915e-01,  3.4993444452011e-01,                    A,  4.1610015468064e-01, -2.6930489320163e+00,  1.7371140926565e+00,                    B,  1.2687477906309e+00, -2.6425331188115e+00, -2.6711009530303e+00,                    A, -6.3473934917493e-01,  5.3556446502226e-01, -3.1379965343818e-01,                    B, -5.9182808343502e-01,  1.3104566129998e+00,  5.8605697099330e-01,                    A, -3.9167347686345e-01, -2.4882817187035e-02,  2.9725244510000e+00
                    B, -2.3129448453136e-01,  9.4646909738378e-01, -6.7764970394951e-01,                    B, -4.0395219645030e-01, -2.1355602310308e-01,  1.1324518450952e+00,                    A, -1.5002280891479e+00, -2.2806650663712e+00, -1.4084344249245e+00,                    B,  7.5051232191026e-01,  5.3986521879866e-01, -3.5042277852550e+00,                    A, -2.3202048008592e+00,  1.3791102659347e+00,  3.2585398408091e+00,                    A,  9.5190337083494e-01,  1.9742461000408e-01, -1.6687351604702e+00,                    B,  2.4127060200953e+00, -8.3763814462859e-01,  7.9102630021348e-01,                    A, -1.7166723814117e+00, -1.1354388789354e+00,  1.1398782261136e+00
                    B,  1.8688492192299e+00,  5.9488141628171e-01, -1.7913347556881e+00,                    B,  6.0695768520607e-01, -1.1923540439330e+00,  5.7783128049998e-01,                    B,  1.5064655995415e+00,  4.1709003354007e-01,  7.9515104781630e-01,                    A,  9.6330492445290e-02, -2.1801117949840e+00, -2.0476465344923e+00,                    A,  1.6459902287678e-02, -2.1694360588698e+00,  3.6551684912359e+00,                    A, -1.4465422521230e+00, -5.3784015065542e-01, -2.5149042357903e+00,                    A, -1.9395534484077e+00, -4.7268109117762e-01, -3.6773282235524e-01,                    B,  2.8132898875252e+00, -2.6431366512144e+00, -8.4614797503712e-01
                    B, -3.1668875184903e-02,  2.8039824340334e+00,  1.3328714006632e+00,                    B, -1.5374743677547e+00, -4.9543140872273e-01,  2.4341597036420e-01,                    A, -1.4137326767880e-01, -1.6209490665376e+00, -4.4249030898787e-01,                    B,  5.2149983504686e+00,  7.0047924178278e-01, -1.9067342989600e+00,                    B,  7.8940280643136e-01, -2.2752391957963e+00, -1.2525113634653e+00,                    A,  1.0924625139215e+00,  1.5875538259041e+00,  3.2302503348888e-01,                    A, -7.1005491007218e-01, -5.3489918143363e-01, -1.2958397240620e+00,                    A, -1.5990268055468e+00,  1.3528612762950e+00, -4.4384299594825e-01
                    B, -5.9277380185662e-01, -1.0911888086808e+00,  2.2474217148100e+00,                    B, -1.3953162685634e+00, -3.0496365862053e-01, -7.6718884824907e-01,                    A,  1.3685296693975e-01, -2.3842201500036e+00,  1.8418059704256e+00,                    A,  3.9987124990331e+00,  5.2682127301158e-01,  9.6644952958549e-01,                    B,  1.1511286399078e+00,  1.9697481816509e+00,  9.0778313102338e-01,                    A,  2.8771349549256e+00,  1.7307143148264e+00, -3.2236336339366e-01,                    B,  7.0036836710287e-01, -1.7999579088408e+00,  2.8758756691875e+00,                    A, -4.7971219233780e-01,  4.6641582965056e-01,  5.8800543203719e-01
