#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-1.100420305036e+00, 5.148090330111e-01, 4.712729906337e-01,                  B,-6.341076679439e-01,-5.026367880311e-01, 1.024090580823e+00
                  A,-1.420861807132e+00,-9.134225123034e-01, 2.782178459709e+00,                  B, 1.673843702163e+00,-5.867699993666e-01,-6.662796901723e-01
                  B, 5.338194763722e-01, 5.711418798628e-01, 8.819029164500e-01,                  A,-9.912819993967e-01, 9.387841886163e-01, 2.274162383004e-01
                  A,-1.591409885660e+00, 9.833300691872e-01,-1.071401012117e+00,                  B,-3.727060964424e-01,-1.572289960706e-01, 2.965692362706e+00
                  B, 8.586881056659e-01, 1.160846532368e+00, 7.968716283790e-01,                  A,-1.530793369894e-01, 1.098929443939e+00, 1.695544504722e+00
