##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A,  8.1961706524625e-01, -1.1284620203568e+00,  2.1992781243468e+00,                    B,  4.6908109435585e-01,  7.8835931517881e-02, -5.4383396265495e-01
                    A, -3.5104094391020e-01, -1.8363386180711e+00,  1.1263306693523e+00,                    B, -1.0056707763407e+00,  1.0873364191594e+00,  7.2435904158835e-01
                    A,  4.6189027392042e-02,  6.4093199792278e-01,  1.2916758578813e-01,                    B, -7.1522914557865e-01,  1.1211963027850e+00, -1.5518705460801e+00
                    B,  2.4745071819630e+00,  2.5725822181265e+00, -1.2262621592229e+00,                    A, -9.2469185499428e-01, -4.2358489409850e-01, -9.3394494900946e-01
                    B, -1.6564993810281e+00, -8.2181839121709e-01,  2.4348097120077e-02,                    A,  1.9605271050336e+00,  4.4635190792998e-01, -4.1235665723761e-01
                    A, -1.1331503950391e+00, -4.5051051058247e-01,  1.5769941529429e+00,                    B, -1.1502996455675e+00, -1.9171333902628e+00,  3.5065113429959e-01
                    B,  7.2390810648246e-01, -2.6133579351475e+00,  1.9040885353865e+00,                    A, -5.3033874691099e-01, -1.6216937739928e+00,  5.8753891302962e-01
                    B, -1.2178153207227e+00,  2.8436358939865e-01,  1.7739543535820e-01,                    A, -1.3143237850416e-01, -3.2791735159071e-01, -2.4513714418963e+00
                    A,  5.9468618643505e-01, -2.0698286691612e+00,  6.3434124447561e-03,                    B,  4.3411225214056e-01, -1.6539573700804e+00,  1.6408054930613e-01
                    B, -2.2286594751414e+00,  2.6921414064919e-01,  9.3584877764757e-01,                    A, -2.9242696407936e+00, -2.8238588095011e+00, -2.1385233192609e-01
