#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B, 2.895647756857e+00, 1.357132909817e+00,-8.206924979307e-01,                  A, 2.339971563762e-01,-2.090417806293e+00,-3.762952463662e+00,                  A,-2.620987203419e+00,-1.839952110174e+00,-2.149583216528e+00,                  A, 1.981401227513e+00, 6.818740269384e-01,-3.943543914516e+00,                  B,-2.827083682760e-01, 7.422950613507e-01, 4.224921118382e-01,                  B,-7.490628355009e-01,-1.603989775769e+00,-6.077002290676e-01
                  A, 3.357737868218e+00, 9.181484814551e-01, 1.444929069853e+00,                  B, 1.476195370044e+00,-4.602089838077e+00,-2.613092827560e+00,                  B, 8.244863092719e-02, 2.398855509873e+00,-3.739135771180e+00,                  B, 5.700533167716e-01, 1.433577482041e-01, 3.281891194126e+00,                  A,-1.849412370448e+00, 1.129348230036e+00,-1.883803113415e+00,                  A,-5.374921223814e-01,-1.081343490933e+00,-3.833532673054e+00
                  B, 3.104153137147e+00,-3.840013480850e+00,-3.033720906596e+00,                  A,-2.648667155707e-02, 1.255097328334e+00, 3.741671522248e+00,                  B,-2.948440483530e-01, 2.476300828860e-01, 1.759903377718e+00,                  B, 1.047536989763e-01, 1.594778646668e+00,-4.625058176096e+00,                  A, 5.304982480134e-02,-3.602829517756e+00,-3.152848406359e-01,                  A, 5.180501214133e+00,-8.984397069503e-01, 7.417762714119e-01
                  B,-4.993486354749e-01, 5.505210178807e+00, 5.404390470875e+00,                  B,-4.064171887978e+00, 1.040584828401e-01, 1.658397772286e+00,                  A,-2.565014221240e+00,-2.036090501615e+00, 1.946428097146e+00,                  A,-2.580275406661e+00,-4.292613387046e+00,-1.311722982832e+00,                  A,-1.236759196698e+00,-2.077695691862e+00, 2.345685819381e+00,                  B,-3.967093639518e+00, 1.257300464200e+00, 9.106928387893e-01
                  A,-1.034433576284e+00,-6.749243053157e+00,-1.497094111634e+00,                  A, 1.855744568175e+00, 4.977682561804e+00, 1.893248704354e+00,                  B, 4.402980373282e-01,-6.688842251846e+00, 3.435047230095e+00,                  A,-1.251154019591e+00,-3.647186548536e+00, 1.132244775499e+00,                  B,-5.323627320276e+00, 2.290368958191e+00, 1.875817523343e+00,                  B,-7.261335946149e+00, 1.459333737966e+00,-4.308297224410e+00
