##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -6.9875369856004e-01,  1.8515577022454e+00, -2.6849023051077e+00,                    A, -9.4406022566051e-01, -2.0755868264197e+00, -9.8471870180959e-01,                    B,  2.9506148354366e-01,  1.7765680160402e+00,  2.1107161058704e+00,                    A, -5.5211102012830e-01, -1.6419426634951e+00,  2.5926114647924e+00,                    A, -1.1604091301285e+00, -9.8093694991387e-02, -4.6189561999554e+00,                    A, -1.8854698243307e+00,  9.7013151093020e-01,  1.7329383736050e+00,                    B,  8.1342531400783e-01, -2.3472849726658e+00, -1.4528781749525e+00,                    B,  4.4223381395543e-01, -1.4143281506079e+00,  1.3728172166390e+00
                    B,  1.8436146059113e+00, -2.9810521684729e+00, -4.1967824975501e-01,                    B, -1.4920019501290e+00,  2.0392447371754e-01,  1.9206321507126e-01,                    A, -9.6561698990436e-01,  1.1227418115031e+00,  1.2587777531757e+00,                    A,  2.9622040391860e-01,  3.2072044949228e+00,  2.7212711505975e-01,                    A, -1.4872718565084e+00, -1.2706003546700e+00,  1.2234886889285e-01,                    A,  2.7888744574414e-01, -2.6122687629808e-01, -2.2065690212844e+00,                    B, -2.3172013938432e+00,  2.3804301376533e+00, -1.5097566689320e+00,                    B,  3.1544646055190e+00,  6.3183445281459e-01,  6.5760065968546e-01
                    B, -5.6497348125345e-01, -2.6698835479348e+00,  3.3166301212431e-01,                    B,  1.4645235261087e+00,  2.8608625935007e+00, -2.2270266519998e+00,                    A, -1.8860717524952e+00, -3.2928822664803e-01, -3.6932465809150e+00,                    A, -4.3432580991138e+00,  1.6636280830838e+00, -3.0900826840264e+00,                    B,  7.7698923647029e-02,  1.3262338416257e+00,  2.2788871991782e-01,                    A,  3.2631157011109e+00,  3.2856560695326e+00,  2.5635861622817e+00,                    A, -2.3701847665456e+00, -4.3103258767875e-01, -5.4442072189197e-01,                    B,  5.4275281506348e-01, -4.2145655645492e-01,  9.3651453861187e-01
                    B, -9.3753160905674e-01, -1.8673117792061e+00,  1.1252297382723e+00,                    B,  2.4079110641291e+00, -2.1007755002175e+00,  1.1466550908264e+00,                    A,  1.0004000289899e-01, -1.5121182085354e+00, -3.9830943444054e-01,                    B,  1.9186507644340e+00, -5.1061413553223e-01, -3.8835172820486e-01,                    B, -1.7044428636218e+00, -5.8125297651051e-01,  1.8905444958276e+00,                    A,  4.9653923784117e-01, -1.6483007126756e+00,  2.1915151784555e+00,                    A, -6.6751313804697e-01, -8.3600622973143e-01,  1.1451244285529e+00,                    A,  9.5542777415871e-01,  1.3170241306705e+00,  8.5119407392150e-01
                    A,  1.3694231891269e+00, -3.6605957037158e+00, -2.4663200056839e+00,                    A,  1.0329655834633e+00,  6.3271805036680e-01,  1.9843483304419e+00,                    B,  2.1838463774087e+00, -1.5132094459522e+00, -1.2428360040277e+00,                    B, -1.4744188741502e+00, -1.2301896818333e+00, -1.6693113725742e+00,                    B,  2.1293511231214e+00,  4.2519564511580e-01, -9.4726362847575e-01,                    B,  1.7352875238567e+00, -8.8805587483927e-01, -3.0129244077939e-01,                    A,  7.9924262036236e-01,  7.0365560251718e-01, -9.2116303293053e-01,                    A,  5.7250514488860e-01, -2.2415448721012e+00, -1.4177024660118e-01
                    B, -8.2608793589271e-01, -1.5428525373803e+00, -1.2998561105294e+00,                    A,  4.6500646129683e-02,  2.8193031590383e+00, -3.1363173986721e-01,                    B,  4.1268615384473e-01, -6.3979391106753e-01, -6.9218824751659e-01,                    B, -9.4977290294166e-01, -3.7782087554763e+00,  1.3689796379953e+00,                    A, -1.3496483673471e-01, -5.0948415513114e-01, -2.0576684363299e+00,                    A,  3.7569414551938e+00, -1.0899693787465e+00, -1.0216420420352e+00,                    B,  7.8992039389302e-01,  6.8696843655137e-01,  2.5086782211661e+00,                    A, -5.2081066174212e-01,  3.5237349768111e-01, -3.8477430345887e+00
                    A,  3.1604513362232e+00,  2.8873434419287e+00,  1.6245873222686e+00,                    B, -1.9951135628764e+00, -3.8057517265842e+00, -4.8344186873153e-01,                    A,  2.0667994687167e+00, -1.9068750754353e+00, -1.5117868367942e-01,                    B,  1.2005161814215e+00,  3.2381976814214e+00,  1.9818908163535e+00,                    B,  5.3936064114858e-01, -1.6710222814092e+00, -2.1083686660390e+00,                    B, -1.4794871066150e+00,  2.9939322019910e+00,  4.7938865902374e-01,                    A,  2.7081835286209e+00,  2.7612224148675e+00,  1.7847970774800e-01,                    A,  2.9080390137479e-01, -3.4473474077085e+00,  1.0296726901633e+00
                    A, -7.5636697663666e-01, -2.1391997382167e+00, -6.4642865198313e-01,                    B,  9.2527167983973e-01,  2.2861809460829e-01,  1.8167391318890e+00,                    A, -2.3281511458146e-01,  6.2383643000293e-01, -1.6181302305683e+00,                    A,  2.2892990075603e+00, -1.8838606909134e+00,  8.5874045889886e-01,                    B,  1.0210967961460e-01, -7.9229576364418e-01, -3.3240082000805e-01,                    B,  2.3647448703045e+00,  1.6179605355427e+00,  2.7675151325487e+00,                    A, -2.3097201905789e+00,  7.8776896338619e-01, -4.7333471164607e-01,                    B,  7.5702784580893e-01, -8.0008002990737e-01, -2.0344662105756e+00
                    B,  4.3340395933804e+00,  9.3491719751974e-01, -1.3900461037291e-01,                    B,  1.7151926031092e+00, -3.3719927990995e+00, -9.5094408105985e-02,                    B, -1.8995125316445e+00,  2.1616050243839e+00, -1.4594004746607e+00,                    A, -3.8509336850407e-01,  2.9309395798714e+00,  1.7884080823573e+00,                    A, -1.1848527824650e+00,  1.0483294673552e+00, -2.4961383136114e+00,                    A,  2.3821562386273e+00, -5.7947326061444e-01,  1.3448678539109e+00,                    B, -2.0653693913357e+00, -2.7126466464368e+00,  2.6067427633789e-01,                    A, -2.6633929166395e-02,  3.8227561328371e+00, -1.4500012337184e+00
                    B, -5.5380679968785e-01, -1.3060378642631e+00, -2.2153990314045e+00,                    A,  1.0341771697666e+00, -4.2876553569954e+00,  1.9938149726141e+00,                    A, -6.5448136212034e-02, -2.4579454733144e+00, -6.2228490874315e-01,                    A, -9.2162314315661e-01,  6.3429513561424e-01,  3.3314269198903e+00,                    A, -1.6483882781267e+00,  1.8113011463932e+00, -6.7673364533574e-01,                    B, -6.7603104532001e-01, -6.9798980728803e-01,  3.6563972716425e-01,                    B, -1.5407325529504e-01,  2.5162980821411e+00, -5.2626865453909e-01,                    B,  2.3223329193969e+00,  8.0653820878248e-01,  2.0609732727706e-01
