#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 1.994277452071e-01,-2.920040522893e+00,-1.458841210233e+00,                  B, 1.687570958544e+00,-6.892097564500e-01,-5.906023143259e-01,                  B, 4.283106187625e-01,-3.895691294115e-02,-2.866737755288e+00,                  B, 2.471916220098e+00,-1.397715172518e+00, 1.092442418038e+00,                  A,-2.212870957197e+00, 1.076042527473e-02,-5.906678039264e-01,                  A, 4.448698009322e+00, 3.151959631565e+00, 1.214477346738e+00,                  B, 7.979545058870e-01, 3.093895922383e-01, 3.252510990855e+00,                  A,-2.165889823455e+00,-1.865756327755e-01, 1.389697106768e+00
                  B, 1.680842775564e+00,-2.131577299742e+00, 1.193764045180e+00,                  A, 4.945080514697e+00, 1.857486565347e-01, 1.113004724941e+00,                  B, 2.819508459701e+00, 6.505030589887e-01,-9.579823601964e-01,                  B, 1.565498671050e+00,-1.551843606846e+00,-1.945816457168e+00,                  A,-2.394695424063e+00, 3.338041464669e-01, 2.713750565480e+00,                  A,-1.932242555762e+00,-1.190138175734e+00,-1.768218116294e+00,                  A,-3.107255668945e+00,-1.834021451061e+00,-1.410144265661e+00,                  B, 2.999429412928e-01, 2.771684699246e+00, 1.337067807381e+00
                  B, 2.765352378924e+00, 1.186726257856e+00,-1.312215309974e+00,                  B, 7.499547970947e-01,-2.539756985982e+00,-2.763416436280e+00,                  A, 7.088181236426e-01,-1.892609679417e+00, 1.991638882646e+00,                  A,-1.552150822848e+00,-2.099865995290e+00, 2.105747069945e+00,                  B, 3.931309719417e-01, 5.985621690014e-01,-8.745348638161e-01,                  B,-3.058076581650e-01,-1.749635308616e+00,-2.417202882890e+00,                  A,-2.761252415275e+00, 6.504543570296e-01, 2.864349366715e+00,                  A,-1.009127364817e+00, 3.479514270184e-01, 2.352138715506e+00
                  A, 6.245920701668e-01,-2.731891930435e+00,-2.349262385532e+00,                  B,-2.522922648364e+00, 5.643259832975e-01, 1.213695931780e+00,                  B, 1.281828761667e-01, 3.578981213843e-02, 3.621636785159e+00,                  A,-1.270499115885e+00, 1.777755767220e-01,-2.209883700418e+00,                  B,-4.571455673225e-01, 7.647024127577e-01, 1.346486903973e+00,                  A,-4.352810903415e-02, 3.007133092278e+00,-2.447118858809e+00,                  A,-3.817628572934e+00,-2.260379922645e+00,-1.150014557623e+00,                  B, 5.248807776755e+00,-1.227361023097e-01, 1.367929070687e+00
                  B, 2.588045365315e-01, 2.830864502203e+00, 9.472272270372e-01,                  B,-1.626411411957e+00,-1.021200065003e+00,-6.103545723664e-01,                  B, 4.231717639523e-01, 8.449947355790e-01, 2.929560390901e-01,                  A,-5.783750823455e-01,-3.481748618847e+00, 1.118288446082e+00,                  A,-3.516029286786e+00, 8.784826434967e-01, 7.149840686258e-01,                  A, 1.691343026694e-01,-4.137724942847e+00,-6.820897500896e-01,                  A,-2.576247650481e+00, 3.405181096163e-02, 2.347679673374e+00,                  B,-1.457927864863e+00, 4.026453889684e+00, 2.877209382366e+00
