##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  3.6180917648374e-01,  3.3603758273590e-01,  1.5791465976114e+00,                    B,  3.4685263305687e-01,  1.6863956940526e+00,  1.1682100124578e+00,                    A, -1.8752606345400e+00, -2.2239969487261e+00, -2.2453240632439e+00,                    B,  1.6642100802198e+00,  3.2150010991887e-01, -5.8292299383609e-01,                    A,  1.8184621021034e+00,  1.2651187065320e+00,  1.4277517595619e+00,                    A, -5.2221205606215e-01, -3.5684577797625e-01,  1.3249602204595e+00,                    B,  5.9196860578017e-01, -2.7439303524861e-01,  3.0412688756567e+00,                    A, -1.0493963278249e+00,  1.0995535311475e-01, -1.8503924906623e+00
                    A, -9.9313615549332e-01, -1.9556203636249e+00,  2.5065112115999e+00,                    B,  1.7222365544996e+00,  1.9011695492828e+00, -7.8888098820384e-01,                    A,  1.6358260629774e-01, -2.0800769424943e-01,  4.6361405460158e-01,                    B, -1.8916572042311e+00,  4.7239314197010e-01,  7.0532956994313e-01,                    B, -1.8024678561046e+00, -4.5155903326429e-01,  1.5465907581291e+00,                    A, -6.2020267372834e-02,  2.3276622950402e+00,  2.5386753543193e+00,                    B, -1.8204261741369e+00, -3.7844423156641e+00, -5.3018949757884e+00,                    A, -1.2780655275254e+00,  8.4440814096100e-01, -1.6059397247440e+00
                    B, -2.8423846833213e+00, -3.3023493090593e+00, -1.6915585690386e+00,                    A,  1.1378375929198e+00, -2.9756396608507e+00, -7.7233046502996e-01,                    A,  1.3308898238171e+00, -6.2295466076094e-01,  6.4996561318803e-01,                    A,  1.9322321658883e+00, -3.5267594542516e-01,  1.7566598572880e+00,                    B,  1.6881577947815e+00, -1.1343217768527e+00, -1.7607996261456e+00,                    B,  3.4726282658993e-01, -2.0420921263070e+00, -8.3042657447136e-01,                    A, -1.5616463864467e+00,  1.8787578326819e-01, -3.0788392690484e-02,                    B, -1.2729167025988e+00, -2.1134813010697e+00, -3.7557155735906e-01
                    B, -9.5241363157412e-01, -1.5535206801996e+00,  1.5126787005275e+00,                    B, -1.0901383481003e+00,  6.0514231941660e-01, -4.6805669197664e-01,                    A, -2.0509576454335e+00,  1.6577813264911e+00,  8.6051618657909e-01,                    A, -9.5532758984392e-01, -8.5002999312033e-01, -1.4569991895070e+00,                    A, -1.6929681191793e+00,  9.6507931238039e-01, -1.2701788067137e+00,                    B,  1.7971231690331e+00, -1.9248184141686e+00,  1.0075162293688e+00,                    A,  1.9287178892973e+00,  8.1607800626608e-01, -1.6681549202740e+00,                    B,  3.8977721318517e-01, -3.3832138555265e+00, -3.9492204051798e-01
                    B, -6.9714876718467e-01,  1.1437116186690e+00,  2.3257080331125e+00,                    B,  4.9834238876328e-01, -3.2647098954713e+00,  8.6317934615291e-01,                    B,  2.7116272866823e+00,  2.7118255844437e+00,  1.7559911058677e+00,                    A,  1.5600674725962e+00,  9.1938949695198e-01,  5.7700197780384e-01,                    A,  1.1997366570405e+00, -2.1100478948513e+00, -5.3950210176676e-01,                    A, -7.9184181980084e-01, -4.2074339855374e-01,  1.7107684521739e+00,                    B,  4.1045964047807e-01,  7.2142835265425e-01, -1.0215930188930e+00,                    A,  2.4151178483220e+00, -2.5806988981980e+00, -9.4469889436230e-01
                    B,  2.5897802821310e+00,  3.9966478567431e+00, -9.4033868799892e-01,                    B,  3.9649724107683e-01,  2.8606480941071e+00, -1.3283356562641e+00,                    B,  3.3324336342498e-01,  3.5705991439884e+00, -2.3087019169549e-01,                    A, -2.4619898492480e+00, -6.6558212133885e-01,  1.7383263658002e+00,                    A,  5.1732393933741e-01, -2.6016131155142e+00, -7.3340256079308e-02,                    A,  1.0670865467675e+00,  2.6533166250354e-01,  3.1449959058107e-01,                    B,  2.7085702126847e+00,  6.7854016403182e-02, -2.1516864351287e+00,                    A,  3.7232937854913e-01, -1.1138438282223e+00, -2.5773159061166e+00
                    A,  1.1670330928754e+00, -2.1913341519338e+00, -1.0594430836188e+00,                    A, -4.2314768426514e-01,  1.0939227494547e+00,  1.8586079597057e+00,                    B,  9.3987591008488e-03, -1.9301534807795e+00, -6.2688449426613e-01,                    A,  2.3144771831592e+00,  2.7284148056312e+00,  1.5361183797019e+00,                    A,  7.3455758797506e-01, -6.9718490522849e-01,  1.3193162625353e-01,                    B, -1.8862594049199e+00, -1.4589940534776e+00,  1.8855385262814e+00,                    B, -5.6202486284439e-01, -2.8343048935997e+00, -2.5091708820111e+00,                    B,  2.1773199428530e+00,  7.7277029242926e-01,  1.5924148137664e+00
                    A, -2.2448179579768e+00, -1.1196588413414e+00,  1.5954088702523e+00,                    B, -2.6853759591772e+00,  1.5031433682149e+00,  7.8071626976056e-01,                    B,  8.5203433550406e-01,  1.4044058454655e+00, -3.2359822020309e-01,                    A,  1.7860801654076e+00, -1.1445622373626e+00, -1.6108011974744e+00,                    A,  1.9919014775205e+00, -4.1255477257697e+00,  1.9732984866862e+00,                    B, -1.0348255738796e+00, -1.2149874816595e-01, -2.1083926862162e-01,                    A,  8.6707269148553e-01,  5.4901722355683e-01,  8.3934044474271e-01,                    B,  5.2532272490123e-01, -2.0185120329553e+00, -9.1495562394714e-01
                    B,  1.9401326383173e+00, -5.6342961741631e-01,  5.8640509869995e-01,                    A,  7.9017829722490e-01,  5.4836426107187e-01,  3.8670690110581e-01,                    A,  1.2004733561384e+00,  1.1499028443224e+00, -2.1526009844301e+00,                    A,  8.6109282906870e-01, -1.5007919699796e+00, -5.2437693430407e-03,                    B, -2.5610357319670e+00, -2.6614948803743e+00,  2.2583512312793e+00,                    B, -2.5716766229619e-01,  3.4010317079925e-02, -1.3423160978370e+00,                    B, -3.4660687626355e+00, -1.7748735691660e+00, -4.7771795826108e-01,                    A, -7.0647651228024e-01,  2.0725391456926e+00, -1.6957402937561e+00
                    A, -1.2889553469060e+00,  1.6501298291718e+00,  2.1684624681674e+00,                    A,  1.1294594926148e+00, -1.9928722376935e+00, -6.2137757925567e-01,                    B,  2.1424910103947e-01,  1.3488437761868e+00,  1.2518243778202e+00,                    B, -1.4466715028885e+00,  4.3163941536605e+00,  2.8897456794715e+00,                    A,  6.9565161880983e-01, -2.2459158671588e+00,  1.1474161346056e+00,                    B, -5.6378164238625e+00, -3.4638305412658e-01,  5.5873654964892e-01,                    A,  5.9903027231911e-02,  8.6753670680281e-01,  2.1835749143688e+00,                    B,  1.0194301497602e-01,  4.6826237552515e-01, -3.4870911460321e+00
