##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.4555741038577e+00,  2.0939963530599e-01,  4.2090371563752e+00,                    B,  1.4502950539151e+00, -6.9095693228855e-02,  1.2855663427158e+00,                    A,  8.1011456444560e-01, -7.6521217370333e-01,  1.3451475016396e-01,                    B, -1.6508106140267e-01,  8.0014669414208e-01,  1.3560901546243e-01,                    B,  6.6843665348101e-01, -4.3876429021815e-01, -2.5706772271197e+00,                    A,  5.2965525877331e-01,  1.5188024036943e+00,  1.4017551901099e+00,                    A, -1.0925119580854e+00,  1.5531417605306e+00,  1.3558505326979e+00,                    B,  1.3369870949352e+00, -1.1223457699269e+00, -6.2811368142052e-01
                    B, -1.5352195688450e+00, -4.2802197098019e+00,  1.5060105630113e+00,                    A, -2.2152087919931e+00,  1.8989013430912e+00,  2.2754490933433e+00,                    A,  2.5210810986455e+00,  2.1447970721354e+00,  1.0651263210511e+00,                    A, -1.5866165090875e+00,  1.0840009143846e+00, -6.9786237322751e-01,                    B,  7.0808264996108e-01,  3.1521776454480e+00, -1.8927739572325e+00,                    A,  3.1397686630571e+00, -1.6221543538223e+00, -1.1103494629855e+00,                    B, -9.1088036076495e-01, -7.9866981323468e-01, -5.5688309808026e-01,                    B, -1.3513541980294e+00,  2.6509461708230e+00, -1.0646951577424e+00
                    A,  1.8555824058290e+00, -1.3057233005547e+00,  2.8594606863725e+00,                    B, -6.4826323666855e-01,  2.4659125233593e+00,  7.3835215500604e-01,                    A,  9.7623490254122e-01, -2.2427175817994e+00,  3.7313959826736e-01,                    A,  5.5592677406820e-01,  1.9684210557126e+00, -2.1543616100745e+00,                    B,  8.8588698807828e-01,  7.3042443204156e-01,  2.2064356317763e+00,                    A, -1.0891856324822e+00,  1.8862851881491e+00,  3.0722175613733e+00,                    B, -2.0302788029728e+00, -9.5887905875168e-01, -6.2225515281073e-02,                    B, -2.9457960598745e+00,  1.8792989842202e+00, -1.7212865797930e+00
                    A, -3.4121603351413e+00,  5.1019346067878e-01, -9.7274118588866e-01,                    B, -5.8102065246093e-01, -1.0619164948687e+00, -2.0768635879692e+00,                    B, -9.6417059867013e-01,  2.1504664726234e+00, -1.2416627193493e+00,                    A,  2.9901546506811e+00,  1.8633851620491e+00,  6.6205178089140e-01,                    B,  6.8601136762464e-01,  3.3546858696354e+00,  1.4635800309254e+00,                    A, -2.0391453822176e+00,  4.1272793288186e-01,  2.4561406578133e+00,                    B,  1.0299945475173e+00, -1.5969067402505e+00,  4.9920409291255e-01,                    A,  7.3730582151748e-01,  1.9999938510500e+00,  2.1421341741701e+00
                    B,  2.4999487408773e+00, -1.9600956346784e+00, -6.5790663451454e-01,                    A, -6.4931683243190e-01, -6.7912344618171e-01,  3.0371748112152e+00,                    B,  4.7458518328299e-01, -2.7387504581747e+00, -2.4028652384382e+00,                    B, -9.8643973794381e-01, -1.8800332103823e+00,  1.2949911088943e+00,                    A, -4.4647930492782e-02,  3.7525758439640e+00, -5.1867478595219e-01,                    A,  7.2953333453041e-02, -1.7465595234963e+00,  2.4992100227490e-01,                    B, -1.2494761732764e+00,  1.0410164573782e+00, -3.7815450182038e-01,                    A, -1.0160574968322e-01,  4.1631283408579e-01,  1.1630359562984e+00
                    A,  1.8791633299662e+00,  2.3871301761287e+00, -5.5907684155706e-01,                    B,  1.7685125593116e+00, -2.0998090389394e+00,  7.7493453500814e-01,                    B, -3.2231701499268e-02, -9.4139011652380e-01, -2.1288562417116e+00,                    B, -2.1088355136680e-01, -1.1951918868151e-01, -5.0895932285957e+00,                    A, -1.3149391889978e+00, -2.1738356112186e+00, -2.3377570314243e+00,                    B, -1.7357941088265e+00,  1.4276877647810e+00,  2.4203271942843e-01,                    A, -1.3757549029077e-02, -3.9503397193283e-01,  1.4138980921944e-01,                    A,  1.6411522696174e+00,  7.4230312425607e-01, -2.2781843909445e+00
                    A,  6.1945139122061e-01,  1.9905684032603e+00,  2.3212749990123e+00,                    B, -4.9517175615145e-02, -1.3505224133952e+00,  1.2405100499454e+00,                    A, -3.7578052778466e-01,  8.5682302623134e-01, -1.4803292711192e+00,                    B, -7.3391807748156e-01, -9.0066801021880e-01,  2.4159641901051e-02,                    B,  1.9734569970318e+00,  1.6108264711620e+00, -2.2211685833814e+00,                    B,  1.3453731820295e+00, -1.6866518711035e+00,  2.2545614039265e+00,                    A, -3.0373260972324e-01, -2.0527468546490e+00,  2.9206299242269e+00,                    A, -3.5994535411053e+00,  4.9947380604335e-01, -2.5110329354011e+00
                    B, -5.2531135464059e-01,  5.5429359016545e-01,  1.0581114998995e+00,                    A,  3.0553465179029e+00,  1.5607856171437e-01, -1.9930351072697e+00,                    B, -2.0088516418311e+00, -2.4641353583152e-01, -1.5974408340125e+00,                    B,  1.9356655541074e+00, -5.4941163484446e-01, -2.1256825664480e+00,                    B, -3.9766946447034e+00, -1.9204627706827e+00, -2.3908461622298e+00,                    A, -1.6814694574539e+00,  3.7678401234871e-01,  7.9479128370735e-01,                    A, -1.2683729273909e+00,  1.3800326847630e+00, -1.2538322818907e+00,                    A, -2.4902524796320e+00, -1.1081486971782e+00,  2.8261045821946e+00
                    B, -8.3317376089575e-01,  3.3855241580936e+00,  4.0427808020152e-01,                    A,  4.0739257164356e+00,  3.4333946014847e-01,  1.8020588686029e+00,                    A, -6.0243774828586e-01,  1.7116973241001e+00, -1.6387744403409e+00,                    B, -1.4809595289374e+00,  1.5756952510747e+00, -9.9442351628373e-02,                    A, -6.7051170776441e-01, -1.3642256290692e+00,  9.8383113815437e-01,                    B, -3.9252507064358e-01, -2.6788774063946e+00, -2.6328845290404e+00,                    B, -1.1359459253543e+00, -1.8331771910297e+00, -1.1745289457111e+00,                    A,  4.7227049765850e-02,  3.7869738622142e+00, -2.3155638344076e+00
                    A, -2.1051936698626e+00, -1.0841910881360e+00, -2.7119516370948e+00,                    B,  1.6636670246721e-01,  2.2469709691802e+00, -1.0518579640185e+00,                    B,  1.8355219772376e+00, -1.6618537512310e+00, -4.9636678600253e-01,                    A,  1.5176281268280e-01,  1.4518331561773e-01, -3.9607123790844e-01,                    B, -2.4371960133669e+00, -2.0900294847505e+00, -7.9955530822717e-01,                    A,  3.1515313248279e-01, -1.5074411210698e+00, -4.4728509997078e-01,                    B,  2.3001727153383e+00,  6.1926455864312e-01, -6.5520754070511e-01,                    A, -1.2699797554260e+00, -1.8235578019272e+00, -1.1525591909151e+00
