##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A, -3.8947469776722e+00,  1.2421129627629e+00,  5.4067594105731e-01,                    B, -4.0868633182307e+00,  1.5702475357779e+00,  6.7890408076899e+00
                    A, -4.2918668972980e+00,  1.1613995555566e+00, -1.1415196660649e+00,                    B,  2.9058571426039e+00, -8.0435860738283e-01, -1.3267098952641e+00
                    B, -1.2083544871230e+00, -1.5584744251429e+00,  8.7262210706578e-01,                    A,  1.3932471412412e+00, -2.5776741585747e+00,  4.5168172448603e-01
                    A, -1.4297949462574e+00, -3.4181991685456e+00, -1.6472488289334e+00,                    B, -2.6321717367318e-01, -2.0302026122885e+00,  2.3361727148330e+00
                    B, -2.9356934192018e+00, -2.0060870684921e+00, -4.9430381857495e+00,                    A,  4.4560368467908e+00, -1.6477999416050e+00,  1.6953292075856e+00
                    A,  2.9699942808727e+00,  4.8950193280179e-02, -2.2506991814378e+00,                    B,  2.6600549304668e-01, -6.0996929420190e-01, -2.5106740434996e+00
                    B,  4.9792569319479e-01,  1.1801992645042e+00,  7.1136514549537e-01,                    A, -1.6960448181082e-01, -1.4584411939221e+00,  2.9142587728358e-02
                    B, -2.3699700355639e-01, -2.2947303841671e+00,  2.0889294987502e+00,                    A,  2.8888599290699e+00, -1.4189519327382e-01,  1.6543190548123e+00
                    B,  3.0434705206869e+00,  1.0443436877819e+00,  1.0155645132797e+00,                    A, -7.1812512149117e-02, -7.8479586639580e-01, -2.7575335936022e-03
                    A, -3.4336138010680e+00, -1.8947348030192e+00, -8.8046045324930e-01,                    B,  2.7390000082290e+00,  1.6198983572876e+00, -4.5368382438056e+00
