#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 9.533370670887e-01,-1.075828282970e+00,-3.198794674665e-01,                  A,-4.123116188373e-01, 9.539384342701e-01,-1.939984612898e+00,                  A, 1.271625541175e+00,-4.192142346208e+00,-2.777390865343e+00,                  B,-3.900328498757e+00, 2.215854884452e+00,-1.039907154856e+00,                  B,-2.030269595019e-01,-1.850582505981e+00, 3.525722015690e+00,                  B,-2.977281138931e+00, 1.885627993243e+00,-5.100935511218e-01,                  A, 8.105263877467e-01, 2.909492231102e+00,-1.401586042315e+00,                  A, 1.151276096536e-01, 1.767047940204e+00,-4.580945703565e+00
                  A, 1.272595325932e+00, 3.330435804230e+00, 1.147913530724e+00,                  A,-4.943881557597e-01,-7.905728889829e-01,-9.837794615728e-01,                  A,-1.408615041718e-01, 2.455676515946e+00,-5.282056073772e-01,                  B, 4.427671401899e-01,-6.385186698586e-01, 1.454769930982e+00,                  B, 5.797905494917e-01, 1.118932304517e+00, 2.356612422646e+00,                  B,-1.237820725565e+00, 2.968733657707e+00, 2.195921212718e+00,                  B,-1.220443518146e+00, 5.957996894780e-01, 4.858040045396e-01,                  A,-6.519146208399e-01, 1.359380566279e+00, 1.530822056587e+00
                  B,-8.369945203483e-01,-4.911231198089e-01,-2.696716972388e+00,                  A, 5.545832170936e-01,-6.941966623000e-01,-2.816736109230e+00,                  B, 5.692305518007e-01, 2.276802309457e+00, 2.409411725144e-01,                  A, 1.684772744274e+00, 1.622564831502e+00,-1.586214748678e+00,                  B,-2.711695323716e+00,-1.383129125000e+00,-1.174678699858e+00,                  A,-7.225371190444e-01,-3.435325399377e-01,-3.288250491025e-01,                  B,-1.378567692225e+00,-1.279278699239e+00, 1.570183609519e+00,                  A,-1.493314017183e+00, 3.496509790116e+00, 2.070144036028e+00
                  B,-1.701038938022e+00,-7.795898934123e-01,-1.194014875695e+00,                  B, 1.918296872225e+00, 4.782799377986e-01, 7.741680912038e-01,                  B, 2.904905451082e-01,-3.726521612148e-02, 2.680288266610e+00,                  A,-1.977992554580e+00,-1.507895472919e+00, 2.063806789229e+00,                  A, 1.105504642784e+00, 1.845972888571e+00, 1.403348539497e+00,                  A,-2.136754852682e+00, 1.493507791595e+00,-1.402068001809e-01,                  B,-5.276755674638e-01, 2.315431330804e+00,-2.608978095916e+00,                  A,-1.562042236391e+00, 7.962706686792e-01,-2.173251196692e+00
                  A, 2.725814353879e+00, 2.055927359728e+00,-9.058059821845e-01,                  B,-2.841287191310e+00,-8.538257638290e-01,-1.255085767777e+00,                  B, 3.022503021797e-01,-1.281487291456e+00, 2.325284635509e+00,                  A, 9.500854953612e-01, 2.532781909208e-02, 4.399425246666e+00,                  B,-6.220222954554e-01,-1.129298145455e+00,-7.715814256310e-01,                  B, 9.426152778678e-01,-1.316538835510e+00,-1.402658789868e-01,                  A,-1.057654610216e+00, 8.143812475682e-01, 1.425883181948e+00,                  A,-7.409554402509e-01,-3.384612840388e-01, 2.055828504290e+00
