#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 5.482616678697e-02,-9.759821726768e-01,-9.242539826136e-01,                  A, 2.026252407280e+00,-5.526190816748e-01,-2.269344407688e+00
                  B, 1.107346761121e-01,-3.399222004003e-02,-2.515535500477e-01,                  A, 4.081053341296e-01, 1.474718821662e+00,-6.800613514752e-01
                  A,-3.957403947778e-01, 4.986318830752e-01,-3.703860990569e-01,                  B, 9.956188201207e-01,-8.347604224308e-01, 3.480681448915e+00
                  B,-3.133924461258e-01, 2.640592969263e-01,-6.952442339830e-01,                  A, 1.005090508413e+00,-5.975001932057e-01, 1.077096838297e+00
                  A,-1.188566687900e-01, 1.728716307192e-02, 1.539224251805e+00,                  B, 1.978999780456e+00,-1.316570446012e-01,-2.427269492485e+00
