##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -5.8040751649433e-01,  4.7752142921721e-01, -1.5468993080191e+00,                    B,  1.4936044631041e+00, -1.1434501218508e+00, -1.9860634175407e+00,                    B, -1.1863933166492e+00, -1.4597076750430e+00,  5.4959459772043e-01,                    A,  1.4660119832564e-01, -3.4773653485449e-01,  2.2124360456832e-01,                    A,  2.1202749204612e+00,  6.7118890210127e-01, -1.1186355919275e+00,                    B, -5.6964373627143e-01,  1.7428606790535e+00,  2.4777834122251e-01
                    A, -1.3469888556662e+00,  1.1027415483184e+00, -1.6338495098678e+00,                    B, -1.6572859826206e+00, -1.4196974838376e+00, -5.1971742433698e-01,                    A, -9.7604564625614e-01, -3.3192243133732e-01,  2.0029624872447e-02,                    A,  2.8803982668571e-01,  9.4275487131840e-01, -1.4630171753125e+00,                    B,  1.3786202056870e+00, -1.3215717497650e-01,  1.4973565512716e+00,                    B,  1.0505322193630e+00, -3.0068910207495e+00,  2.8582361599936e+00
                    A,  1.3923899223243e+00, -1.6753136659824e+00, -2.1536668293480e+00,                    B,  1.8349070165879e+00, -1.9400870488598e+00,  1.9016472415453e+00,                    B,  8.6870946875648e-01, -4.3188231416616e-01, -3.4021316707347e-01,                    B, -1.1993148140222e+00, -2.0744105669550e+00, -5.3908046890767e-01,                    A, -1.4032488354225e-01, -2.8481402861715e+00, -2.7728174299631e+00,                    A,  8.0962004848349e-01,  2.7529501281166e+00, -5.2247557355335e-01
                    A, -2.8616066283432e+00,  1.3069234698642e+00,  2.9078249688527e-01,                    A,  9.9886763689154e-01,  2.1166646540151e-02,  3.2794884407673e+00,                    A, -2.0350877244927e-02, -1.5946877141028e+00, -1.3640906392967e+00,                    B, -2.9871733858200e+00, -9.9250661097391e-01, -1.1196850759571e-01,                    B,  1.3647732649840e+00, -7.9083084457054e-02,  4.2001466658270e-01,                    B,  1.4648789337861e+00,  5.2956270433898e-01,  1.2479947116594e+00
                    A,  1.6524612022483e+00,  1.7517770814882e+00,  2.1263556920622e+00,                    B, -1.2809516740665e-02, -1.0204406628858e+00, -9.4101981130046e-01,                    B,  1.3549378308429e+00, -4.3049227380063e-01, -1.2781203064206e-01,                    A, -4.5931437843997e-01,  3.1766567784629e+00,  1.9635792708035e+00,                    B,  2.2428020429609e-01,  1.8051720932981e+00,  5.2298895506049e-01,                    A, -9.0110746867492e-01,  1.7685610464394e+00, -2.0012243952259e+00
                    A, -1.8993605702390e-01,  1.9185017567445e+00,  2.1022086606080e+00,                    B,  2.3910045644591e-01, -3.2158602633044e-01, -2.7389126620291e+00,                    A,  1.4116384616645e-01, -6.0008546129047e-01,  4.4279049196775e-01,                    B,  1.4918772084605e+00,  4.8305720494328e-01, -9.7655827797173e-02,                    B,  8.1570610467396e-02, -3.1620443727142e+00, -3.0885276443545e+00,                    A,  1.8007697715340e+00, -1.3011500781572e+00,  2.8618735691138e-01
                    A,  7.8313198320538e-01, -7.0965245223035e-01,  1.2050078056350e+00,                    A, -6.4868482849064e-01, -1.6445891342762e-01,  7.5704507352005e-01,                    B,  1.1188316641468e+00, -2.2483218131821e+00, -1.5493499830775e+00,                    A,  1.9978000463734e+00,  1.8999741612103e-02, -4.8103733085785e-01,                    B,  4.2070844637087e-01,  8.5150336814145e-01, -5.6028704088844e-01,                    B,  2.9598238738737e+00,  3.2984041069576e+00,  8.4969973417167e-01
                    B, -1.0914999783184e+00, -1.8355956182641e+00,  6.8109786694200e-01,                    B,  1.7479712285010e+00, -1.3850446558939e-01, -3.0847070914896e-01,                    B, -2.5172184110077e-01,  7.5940009733720e-01,  1.5396654095666e+00,                    A,  3.1772833343648e+00,  4.3292517242735e-01,  3.5945319172465e+00,                    A,  5.3022543459036e-01,  6.6842468082471e-01, -1.3302536346249e+00,                    A,  1.2074806986332e+00, -1.2193467589966e+00,  1.6282809193509e+00
                    B,  8.8041311824895e-01, -1.3285178635187e+00, -1.5983563485804e+00,                    B,  1.0082149948573e-01, -2.7418875758395e-01, -7.5233225172042e-01,                    A, -5.6327580060763e-02,  1.8980843248000e+00,  1.6848269367193e+00,                    A,  1.0892907325129e+00, -3.8126731553687e-01, -2.5005948181990e+00,                    A, -7.7407640844814e-01, -6.4455178284827e-01, -1.2605308784554e-01,                    B, -9.0726207256456e-01, -1.3571739681848e+00,  3.1030331584047e+00
                    B, -1.7519164349832e+00, -6.4937925249935e-01, -1.8186733027019e+00,                    A, -1.2530155211721e+00,  2.2541484227073e-01,  1.0783662252039e+00,                    B,  7.5105121520659e-01,  7.7777503665979e-01, -5.5296445914947e-01,                    A, -1.1083396353256e+00, -7.7194173195470e-02,  6.9237388345116e-02,                    A, -1.1044754871786e+00, -2.4537989399988e+00,  1.4499315344232e-01,                    B,  1.4791130121568e+00,  1.7075889018906e+00,  5.3137596244087e-01
