##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -1.2416762116700e-01,  2.4601521475703e+00,  6.0239953650358e-01,                    B,  4.7253860845684e-01,  7.1021634289994e-01,  1.6223613334912e+00,                    A, -1.3196874044220e+00,  1.4202134190727e+00,  7.4509669076582e-01,                    A, -3.6327124026299e-01, -2.8001766968926e-01, -1.1964012616170e+00,                    A,  7.1270621066055e-01, -4.2526298586687e-01,  2.2306421758228e-01,                    B,  1.1579357827755e+00,  7.1935987051989e-01, -3.7184629046830e-01,                    A, -1.2204531924754e+00,  9.6621104629740e-01, -1.1329879271026e+00,                    B, -8.4875298799390e-01, -9.5230081811387e-01,  6.4570221497589e-01
                    B, -1.5809109649319e+00, -1.3249226941087e+00, -1.3724555693810e-01,                    B,  1.3148751596294e+00, -1.6634705755173e+00,  5.7310069753647e-01,                    A, -3.3485371681305e-01, -1.8098019487760e+00,  1.8470384445725e+00,                    B,  4.5699439864235e-01, -2.7485259699564e-01, -1.9069294710651e+00,                    A, -1.2443529252046e+00, -7.9869797135249e-01, -2.1966748488963e+00,                    A, -1.2066831870800e-01,  1.0991676316357e+00,  5.1541628387130e-01,                    B,  4.8060188788877e-01,  8.2297200570833e-01, -7.2923491185443e-01,                    A, -7.3618075341509e-02,  3.1396364136097e-01,  2.9860531397630e+00
                    B,  3.8372625799368e-01,  4.5591416953414e-01, -1.6031890702788e+00,                    A,  1.2288126266956e+00, -9.6521541826211e-01,  1.1006871881478e+00,                    A,  9.5214999342499e-01,  2.9871219937565e-01, -4.4042500579856e-01,                    B,  1.0043080286441e+00,  2.8936693344948e+00,  1.0356977741811e+00,                    B, -2.3675961318798e+00,  6.5742927264921e-02, -9.1344678542164e-01,                    A, -1.0105896185749e+00, -4.1735265437732e-01, -1.2546570114359e+00,                    B, -5.5624450003304e-01,  9.4206487334002e-01,  2.0618247807047e+00,                    A, -4.1496177982316e-01, -1.2689771611554e+00,  5.4158537131641e-01
                    A,  9.2365269151233e-01, -7.2339505105917e-01,  1.9450430949403e+00,                    B,  1.6633173586923e-01,  1.8150758914280e-01,  1.8617236104103e-01,                    A,  1.1532969895281e+00,  8.8554119440141e-01, -2.2649434970557e+00,                    A,  1.3191761971422e+00, -1.3639157250274e-01, -1.2081848529537e+00,                    B,  1.7363962505624e+00,  2.8284140944158e-01,  4.5454141447038e-01,                    A, -4.1923476531510e-01,  1.5821110329853e+00,  8.6722641951827e-02,                    B, -1.5050396317892e+00, -6.4003880191766e-01, -1.9804710500351e-01,                    B,  1.2483722646580e-01, -1.1256193889338e+00, -6.9568728319127e-01
                    B, -4.7215668548075e-01,  1.2569498743015e+00, -1.3338273862577e+00,                    B,  2.1548103855171e-01,  5.9936127999821e-01, -1.0367197973413e-01,                    B, -3.7890815514986e-01, -2.7097632731348e-01,  7.7373197030866e-01,                    A, -1.3834777337750e+00, -1.9798375235926e+00,  1.7218381033273e+00,                    A, -2.7264600741222e+00,  1.0624247957035e+00, -5.4706250415170e-01,                    B, -1.2181128922558e+00,  2.0692867492788e+00, -2.0237332654629e+00,                    A,  1.1978372450381e+00, -5.5295470404349e-01, -1.1478168770936e-03,                    A, -4.6595123341202e-01, -8.6860208925719e-01, -4.1973592282928e-01
                    A, -8.6074094417490e-01, -3.0622154837249e-01, -5.2318268579690e-01,                    A, -7.9974132355155e-01,  1.4812267516792e-01, -1.6112755353803e+00,                    B,  8.2206382169199e-02, -1.0232961160535e+00,  7.0717282066445e-01,                    B, -2.9894468104518e-01,  1.7339272701683e+00,  2.3726734990921e+00,                    A,  1.1671126540357e+00, -9.9638049711928e-01, -8.2203499517012e-02,                    A,  3.3358829394889e-02, -1.8667330173880e+00, -1.2221129565873e+00,                    B,  6.1929344701099e-01,  8.7700109501319e-01, -4.5220736555322e-01,                    B,  9.1020377200843e-01, -2.4958388284732e+00,  2.5723916404200e-01
                    A, -8.1130706557650e-02, -3.5213117879624e-01, -1.9686093365323e+00,                    B,  2.1579805141239e-01, -7.3970330978401e-01, -6.2042920573817e-01,                    B, -9.9183892567410e-01,  1.1704554592442e+00, -3.8480139653683e-01,                    A, -1.5556144623800e+00,  1.2190710736293e+00,  7.3696331418021e-01,                    B,  2.0266487929277e-01,  1.1556515836583e+00,  4.6646875059634e-01,                    A, -1.3073050834250e+00, -9.1414703133546e-01, -4.6104171019998e-01,                    A,  1.6392549037263e+00, -7.4621302460231e-02,  1.2887989563723e+00,                    B, -1.3642500589627e+00,  5.2075985578689e-02, -3.4613888084504e-01
                    A, -1.7950524944757e+00,  5.0113447684612e-02, -5.9388367565831e-01,                    A, -8.7446719697819e-01, -1.5682848013095e+00, -3.2831820485744e-01,                    B, -1.2617696440934e+00,  1.5190121979433e+00, -7.6354978946143e-01,                    A,  1.9268518607000e+00, -3.9935089715956e-01,  4.0684390138586e-01,                    B, -9.8372387669130e-01, -3.5639755709236e-02, -1.4351945522931e+00,                    B,  1.9208549531888e+00,  1.2477478281889e+00, -8.7576105504055e-01,                    B,  8.0150245602258e-03, -1.5197933121499e-01,  1.0832389801531e+00,                    A, -4.3642337614488e-01,  2.1583620451049e+00,  1.0902473015605e+00
                    B,  8.7185027780653e-02, -1.4298501810786e+00,  2.1722166010939e+00,                    A, -1.6981487539148e-01,  1.4818499349640e+00, -2.6433798127338e-01,                    B,  3.2066828347540e-01, -3.6504012923463e-01,  4.4052325823777e-01,                    A,  1.3805083928065e-01,  5.4710451822874e-01,  2.4295800393054e+00,                    A,  1.3578385523950e+00,  1.2308477740298e-01,  8.2380406972344e-01,                    A,  9.1615887964868e-01, -1.3589602002913e+00, -1.1690039861466e+00,                    B,  1.6961006356624e+00, -3.4490761405782e-01, -6.5312463195591e-01,                    B,  2.0082657411664e+00, -1.6218049415232e+00,  1.7619131654231e+00
                    A,  1.8253207753157e+00,  1.7063080553619e+00,  6.5225412241065e-01,                    B, -2.5347697978495e-01,  1.6632551382683e+00,  5.5900097991683e-01,                    B,  8.4257166061604e-02,  7.5492174572613e-01,  1.2861166078841e+00,                    B, -2.1175382811566e-01, -9.5978621042772e-01, -1.4613251825230e+00,                    A, -1.7984615430201e+00,  1.2609376993139e+00,  1.4009862855260e+00,                    A,  1.0370716978434e+00, -3.4376002718930e-01,  6.3485726371845e-01,                    A, -8.7282044285695e-01, -6.1838936966401e-02,  5.9082988363450e-01,                    B, -1.5755904433242e+00, -5.9681561240542e-01, -1.7214944213453e-01
