#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A,-8.973738856998e-01, 1.063962389288e+00, 1.117325084887e+00,                  A, 1.122408734164e+00,-2.475917844102e+00, 1.093709508496e+00,                  A,-3.447744519634e+00, 9.502951938362e-02, 9.690419185518e-01,                  B, 9.568753102485e-02, 2.887009603386e-01,-9.849072800581e-01,                  B,-7.522484859501e-01,-2.821277023748e+00,-9.788171786503e-01,                  B, 1.115245726547e+00, 2.153733940312e+00, 1.435378100952e+00
                  A, 8.382486162648e-01,-1.834119792639e+00,-1.748227219036e+00,                  B, 1.217904801419e+00, 2.713086652075e+00, 1.707694689736e+00,                  A, 4.958454407810e-01, 5.792295470226e-02, 2.338407129505e-01,                  B, 1.521620016952e+00,-4.647090065619e-01, 8.946702783750e-01,                  A,-2.694809163824e+00,-6.676580287788e-01, 4.004195113609e-02,                  B,-9.369050350591e-02,-8.728434600551e-01,-1.950754332686e+00
                  A, 1.155692201610e+00,-2.224471748510e+00, 2.261442634249e+00,                  A, 1.600583487363e+00, 4.793585371372e-02,-7.278073243984e-01,                  B, 1.285320338718e-02, 4.755745745517e-01,-3.685987420968e-01,                  B, 2.273640002574e+00, 3.236430523180e+00,-7.480632992177e-01,                  A, 1.178466821997e+00, 1.495340571293e+00,-1.153014003514e+00,                  B, 5.635745967629e-01,-1.142964132209e-01,-1.519469944855e+00
                  B,-1.988082718520e+00, 4.628841542700e-01,-4.634790359827e-01,                  B,-1.873145009316e+00,-1.316935867177e+00, 1.897636548356e+00,                  A,-6.728804377853e-01,-6.672760133224e-01, 3.069206830570e-01,                  A,-8.934288710979e-01,-1.758184722364e+00,-1.863254129233e-02,                  A, 1.014373469695e+00,-2.578746809433e-01, 2.031209642557e+00,                  B, 1.634160328281e+00, 1.721985385970e+00, 3.295271902777e-01
                  B, 1.755655869949e+00,-6.776727087016e-01,-1.874060629874e-01,                  B, 1.622033742251e+00,-1.218810737784e+00,-9.652321680604e-01,                  A, 2.182782144809e-01,-1.465758380323e+00, 1.329534666936e+00,                  A,-1.212221797860e+00,-2.024015444995e+00,-2.852029778015e+00,                  A, 1.971130030217e+00,-4.386950429393e-01, 1.381801834248e+00,                  B,-3.898786002883e-01,-1.545249888851e+00, 1.851556858202e+00
