##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A,  2.7730470828128e-01, -3.6032010760614e-01,  1.9293186611321e+00,                    A,  1.9695232107575e+00,  1.0292386581860e+00,  1.6400829570450e+00,                    B, -1.1472518872628e+00, -1.0391912777601e+00,  4.3749707988837e-01,                    B,  9.1329492229705e-01,  6.9594120722309e-02, -5.9487329635387e-01
                    B,  7.5081558389461e-01,  3.6927615311993e-01,  4.8016805525950e-02,                    A, -8.9481947197538e-01,  2.3039820216141e-01,  1.4911480786618e+00,                    B, -6.6703626446292e-01, -1.1981400208968e+00, -1.3552492568871e+00,                    A, -7.9825482621006e-01,  9.3026091893113e-01,  5.0775936470086e-01
                    A,  1.2260681606634e+00,  1.4361572464667e+00, -2.4145288562269e-01,                    B, -2.2817940264258e-01, -4.3012334843939e-02,  1.4291294864157e+00,                    A,  6.8607868640394e-02,  9.1942498230093e-01,  1.6998675901040e+00,                    B,  1.8395568876548e+00, -2.9754456582770e-01,  2.3253279035148e+00
                    A,  2.1525190149149e+00,  1.0736600032030e+00,  1.6904688253931e-01,                    A,  1.0643989799594e+00, -1.0897611467742e+00, -1.4478557406765e+00,                    B,  1.2573159054853e+00, -3.4353320736864e+00, -3.4303235698328e+00,                    B, -4.3405719634489e-01,  4.7244220294172e-01,  1.3022138183409e+00
                    A,  1.4119492408278e+00, -1.0467537489499e+00,  2.9278685830072e-01,                    B, -1.0244813393803e+00, -2.3969425324547e+00,  2.3321054903439e+00,                    A, -3.2561007796179e+00,  9.3986349686917e-02,  9.6614084690705e-01,                    B,  5.5076750203722e-01,  6.9025606521915e-02, -1.8788285520294e+00
                    B, -1.4808974059370e+00, -1.8047938321613e+00, -1.5576512147900e+00,                    B, -1.7249462452863e-01, -1.3983426997184e+00,  1.6315147560530e+00,                    A,  7.9247485511221e-01,  1.2904161541539e+00, -1.1071540118775e+00,                    A,  8.8123310029118e-01, -1.2613679976613e-01, -7.2779735112614e-01
                    A, -1.7955430542941e-01,  5.0420951968285e-01,  1.5087751303232e+00,                    A, -1.3779861761440e-01, -2.0577518132182e+00,  1.6944690808371e-01,                    B,  5.5555327995333e-01, -4.9615971359113e-01, -1.8287050832630e-01,                    B,  1.3805428500003e+00,  7.7818906250015e-01, -1.5401450699662e+00
                    B, -1.1308402428489e+00, -1.6482856995101e+00,  2.5238536645410e-01,                    A,  3.7062984778559e-01,  7.1951717259528e-01,  8.0656579659000e-01,                    B, -1.3867940383797e+00,  2.3414585807913e-02,  1.9957273966694e+00,                    A, -7.9059985899564e-02, -1.2397639629391e+00,  1.4848262867867e-01
                    A,  4.2658557526953e-01,  1.7639935005752e+00, -9.3442417137484e-01,                    B, -9.2848604410154e-01,  5.2006689117839e-01,  2.6121432949720e-01,                    B,  1.9329311735389e+00, -3.9241356412181e-01,  1.2658906655767e+00,                    A, -7.8940248285239e-01, -9.1370746809173e-01,  6.4508678611634e-01
                    A,  4.6127722701416e-01, -9.8917196243628e-01,  5.4973092781660e-01,                    A, -3.9347086020458e+00,  1.4876526932772e+00,  2.3775370169322e-01,                    B, -2.6219688213221e-02,  1.0527805965580e+00, -1.2472042243467e+00,                    B,  2.5507357088547e+00,  1.1512871106636e+00,  1.3654121094423e+00
