##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  6.4357214364365e-01, -3.2922951287103e+00, -2.0649371680429e+00,                    A,  2.4689321476539e+00, -2.1037425404681e+00, -1.3407182171117e-01
                    B, -3.7236205284802e+00, -3.0783917252509e+00,  7.4329029121539e+00,                    A,  1.7922807595465e+00, -7.6694162974115e-01, -1.9328358300161e+00
                    B,  1.1965923572609e+00, -3.1098928908946e+00,  3.0984344811293e+00,                    A,  5.6438541269981e+00,  1.0050318656232e+00,  7.8887095157827e-01
                    A, -1.7642564176890e+00, -3.3951660413199e-01,  4.6697941256507e+00,                    B, -1.8783869072642e+00, -1.7304918863649e+00,  2.5087294929307e+00
                    B,  1.1801033224993e+00, -6.0645116587820e-02, -1.2001999053971e+00,                    A, -3.0128004778106e+00, -6.1345409948632e+00,  2.9469923962111e+00
                    A,  1.9140028545255e+00, -6.7235586336767e+00,  4.4879348447961e-02,                    B,  1.0109489729814e+00,  3.6065222044591e+00, -2.6318338351086e+00
                    B, -1.5492626712735e+00,  6.9830006365003e-01,  6.0787247705323e-01,                    A,  1.5025842483416e+00, -2.9585391023810e+00, -2.5205282881361e+00
                    A, -3.5793522500658e+00,  2.5561864829867e-01,  2.8243167907215e+00,                    B, -5.1894950238133e+00,  5.3259368221506e+00,  1.8976982165976e+00
                    A,  2.0516540702332e+00,  1.7701631707335e+00,  7.8507208450951e-01,                    B, -5.7742131048497e-01,  8.8136594897055e-01,  2.0401436152332e+00
                    A,  5.4957004383499e+00,  6.5236569377072e-01, -6.5477620138660e-02,                    B, -3.3135159430828e+00, -7.7531978778634e-01, -1.6127116141494e+00
