##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -9.4586536971913e-01, -1.2997286271568e+00, -1.1680968653007e+00,                    B, -2.4401105109526e+00,  1.1611827056910e+00, -3.7123521397943e-01,                    B, -2.2087016962623e+00, -1.3993994347553e-02,  1.7156614725383e+00,                    B,  1.8509864104373e-01, -2.5177730582650e-01, -2.9811832215174e-01,                    A, -1.3155523771853e+00, -2.1390057831029e-02, -1.3748551642827e+00,                    A,  8.2084510047530e-01,  2.1669698707000e+00,  2.1641094626515e-01
                    B, -2.3174544136498e+00,  1.0056764080549e+00,  3.2822292754323e-01,                    B, -1.4683392067107e+00,  3.5174850253899e-01,  1.5261816054226e+00,                    A, -2.7101912498404e-01,  1.8055340738753e+00, -1.1238344415611e+00,                    A,  5.9489342392409e-01, -1.2172807048184e+00, -6.0452847557630e-01,                    A,  2.3983536782086e+00,  9.3049037759130e-01, -2.5619164923267e+00,                    B, -1.0182153619414e+00, -6.7008361298461e-01, -4.0171508198370e-01
                    A, -2.3211458258262e-01,  8.6171245277666e-01, -5.8750799922325e-01,                    B, -6.1075750525844e-01,  2.1470169770023e+00,  2.5967308910654e+00,                    B,  6.6110911477558e-01,  1.7585526333177e-01, -2.0786005047214e+00,                    A, -9.6323034241555e-01,  2.5530182355071e-01,  7.5363143032320e-01,                    A,  1.4447053574414e+00, -1.3839431269237e+00, -1.4526697300133e+00,                    B, -3.2469926016377e+00, -8.8057514014360e-01, -9.7477861712876e-01
                    B,  1.7745072549420e+00, -2.1141898271475e+00,  7.2756397899434e-01,                    A, -2.5376689173692e+00, -1.9700584943142e+00,  6.7220477935250e-01,                    B,  2.1947897588290e+00,  1.1860184655262e-02,  2.4818845078306e+00,                    A,  1.5162133887206e+00, -1.9670514053134e-01, -2.3990367873816e+00,                    B, -8.1441650919081e-01,  3.4389908424084e+00, -6.5842109085505e-01,                    A, -7.3716571641694e-01,  1.7284009835388e+00,  7.0152438336123e-01
                    B,  9.2960342269820e-01, -9.3647729173485e-01,  1.1795907050942e+00,                    A, -7.6423868597232e-01,  2.9207478498073e-01,  4.9703939541159e-01,                    A,  1.5298976006488e+00, -2.6817370038742e+00,  2.7859825138296e-01,                    B, -7.0258583146810e-02, -3.3288601614908e+00,  3.1519150553189e-01,                    A, -2.1108778921945e+00, -3.8050329069828e-01,  3.3805847903274e-01,                    B, -6.9646427887448e-02,  7.8435283918111e-01,  1.8524919218819e+00
                    B, -6.6284816594572e-01,  5.1266463408347e-01, -3.4143335995974e-02,                    B, -3.5938364585827e-01, -3.3565096041239e-01,  2.3430772387175e+00,                    A,  1.9978110294513e-01, -1.4429248980106e+00, -1.5620421748135e+00,                    A, -4.1326695669752e-01, -1.3721890395076e+00,  6.3755551584367e-01,                    B,  6.6909163425149e-01, -1.0039838116517e+00,  3.2738127588485e+00,                    A,  9.6246307316818e-01, -1.2695436742193e-01, -6.4312774412840e-01
                    B,  5.1223451231152e-01,  6.4264888879923e-01,  1.3041995371157e+00,                    B,  2.0136074196691e+00,  1.1712720244866e+00,  1.3338951642175e-01,                    B, -6.5882017176484e-01, -1.5630591803117e+00, -1.3733389357024e+00,                    A,  3.9885061615319e+00, -1.8718234416691e+00, -7.4353116304642e-01,                    A, -1.1233897874999e+00, -1.7354361626639e+00,  1.8946864896522e-01,                    A, -7.3110429777404e-01,  2.0925627834099e+00, -2.1963054775097e-01
                    B, -1.4520936566971e+00, -6.1034952004388e-01, -5.3108475383906e-01,                    A, -2.9929833774303e+00,  2.4528154884865e+00,  7.9647485647078e-01,                    A,  3.4721706091550e-01, -1.3468550311679e+00,  1.8699784916814e-01,                    B, -2.4478157718695e+00, -6.5701141232251e-01,  5.1382152996824e-01,                    B,  4.8250117049435e-01, -4.8384694872206e-01,  1.6871567627176e+00,                    A, -1.9106417774026e+00,  2.0983685670375e+00, -3.7330622708328e-01
                    B,  1.5493143668200e+00, -5.4008271131624e-01, -1.5692010337730e+00,                    B, -1.8757991620064e+00, -2.6324781007202e+00, -1.7272337742110e+00,                    A,  1.1332255346697e+00,  7.6029407156394e-01, -7.4660953004529e-01,                    B, -1.5969927089662e+00, -2.5302468639872e+00,  1.6517935891606e-01,                    A, -1.5031718248942e+00, -2.5949304307758e-01, -2.0094983086551e+00,                    A, -2.6257146868187e-01,  1.3772604513809e+00, -1.8517809661809e+00
                    A,  5.1852115744453e-01, -1.3616604793468e+00, -1.8387418925375e+00,                    A, -3.0719258201295e-01,  1.3806420075792e+00,  2.7874424334356e+00,                    B, -2.5055621523468e+00, -1.8116966759979e+00,  2.5038134994879e+00,                    B,  7.8720962373652e-01, -1.5201884239139e+00,  2.1215716580559e+00,                    A, -9.3234258849176e-01, -3.3730797066146e-02, -2.0636543247722e+00,                    B, -2.8502964884389e+00,  2.3867565401344e+00, -1.2771173537491e+00
