##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    B,  1.3799369782576e+00,  2.5307733142002e+00,  2.2299015924155e+00,                    B, -3.3349255413838e+00, -1.0842787771743e+00,  4.3702665259380e+00,                    B,  7.2122379160911e-01,  1.4160913670376e+00, -6.2341329559257e-01,                    B,  9.0404411501110e-02,  6.4090693997424e-01,  9.3270794503655e-01,                    B,  1.8201305796479e+00, -2.3956366018977e+00,  1.2761015021332e+00,                    A, -1.0260854668395e+00,  2.4153339163212e-01, -9.8593280219806e-01,                    A,  2.5185285083485e+00,  3.2277878994288e+00,  2.8610045802924e-01,                    A,  2.1209963728812e+00, -8.2033163169362e-01, -2.0183155790639e-01,                    A, -3.1877747367457e+00, -3.6387675124784e+00,  3.9532299499753e-03,                    B,  1.1816476245515e+00,  2.1186931956585e+00, -2.7419235065399e+00,                    A,  4.2176166161347e+00,  1.2420476741407e+00, -1.0614209757250e+00,                    A,  2.3049080531783e+00, -2.0891997179454e-01, -1.8761987926746e+00
                    B,  1.9934139961343e+00,  2.9731513768621e+00,  1.1023327108967e+00,                    A, -4.9618810294277e-01,  8.3870989152219e-01,  3.4500945894834e+00,                    B, -2.8887608215639e-01, -2.4263054064501e+00, -1.4871359581987e+00,                    B, -2.9064102605267e+00,  9.8480456125285e-01,  1.2386544171050e-01,                    B, -7.1805839465574e-01, -3.3927658852717e+00,  3.6827631907145e-01,                    A, -8.9769830419661e-01,  5.1137624023624e-02,  3.2267723429080e-01,                    B, -2.0801711200566e+00, -3.3076501456533e+00,  6.0903979592730e+00,                    A, -6.8004637762692e-01,  3.3051405104160e+00,  2.1417081539289e+00,                    A, -4.1779218000670e-01,  3.0035121257037e+00, -1.0966275491021e+00,                    A, -6.3953106556713e-01,  1.1846722763074e+00,  1.2329687426916e+00,                    A,  5.7741744736328e-03,  3.0362576151191e-01, -4.4140122434384e+00,                    B, -5.6411308959257e-01, -3.6636039073041e+00, -3.5685029445147e+00
                    A, -5.5563166188808e-01, -2.7092647124501e+00, -6.2125953329036e+00,                    A,  8.0186283392008e-01,  5.5879369241410e-01, -2.5652264604716e+00,                    B,  1.6397012202876e-01, -1.6079942918815e+00, -1.4623164065403e+00,                    A,  2.1774325191111e-01, -1.5729817657350e+00,  2.0400144171818e+00,                    B,  2.0288996991602e+00, -1.5191525944201e+00,  6.5454166789080e+00,                    B,  1.4680649863265e+00,  4.5735358357283e-01,  3.4210258475720e+00,                    A,  3.4108440131553e+00,  1.3157695746539e+00,  2.4401708607714e+00,                    B, -2.6336529628246e+00,  3.2436899186747e-01,  7.6572118800225e-01,                    A, -3.5811259897433e-01,  1.1690340912248e+00, -7.3430219086433e-01,                    A, -2.1622943703194e+00, -6.0399636920241e-01,  1.4626880649515e+00,                    B,  5.7435611873109e-01,  3.7638397634025e+00,  4.8427234724708e-01,                    B, -5.8745278657843e-01,  1.2330339564098e+00,  1.9223697723812e+00
                    A, -2.5535436006699e+00, -3.4685643511303e+00,  2.3205285750072e+00,                    B, -3.4197753011911e-01,  2.3978584218527e+00, -2.1692768180466e+00,                    A,  2.5971322864464e+00, -2.2500739862257e+00, -2.9058070097627e+00,                    A,  2.0106458730953e+00,  5.3387476642220e+00, -2.6471823465906e+00,                    B, -3.0526926341971e+00, -1.2356480361993e+00, -1.1412610160923e+00,                    A,  1.2830693310940e+00, -1.6173165112635e+00, -1.2154910742414e-01,                    A, -1.6094749455624e+00, -6.8515726463320e-01, -2.4894884379705e+00,                    B, -2.7197862232075e+00,  4.3358161528821e-01,  1.8793732748119e+00,                    B, -1.0975944282681e+00, -1.4384604003900e+00,  7.8895788046635e-01,                    A,  3.4237916098775e+00,  1.8603947316195e+00,  7.0088204910274e-01,                    B,  3.0156067665471e-02,  4.4755976669099e+00,  1.4525738797710e+00,                    B, -4.4702834235172e-01, -3.4914226573156e+00,  4.1333121341027e+00
                    A,  1.9746794961936e+00, -1.9562787512909e+00, -9.9395151084796e-01,                    A,  3.7129847487262e-01,  1.4541444235449e+00, -3.9939112127355e+00,                    B,  2.7324482080970e-02, -2.3802201950799e+00, -2.2686156937429e+00,                    A, -3.1367253898780e+00,  1.4614269880880e+00,  8.9203080630497e-01,                    A, -1.1693595079508e+00, -3.0687838704531e+00, -2.1466426888681e-01,                    A,  3.8075694263568e+00, -2.2332936607899e+00, -2.7610874958155e+00,                    A, -2.7340349183909e+00,  7.2148793460047e-01, -1.4750035495812e+00,                    B,  3.6301658591471e+00, -2.6248073481235e+00, -1.2860571229968e+00,                    B,  2.9916137970891e+00, -4.1994145305011e-01,  7.7900122184859e-01,                    B,  4.5587496459034e+00, -4.5561467161747e+00, -4.6540217955461e+00,                    B,  1.4110243741148e+00, -5.4049241637430e-01,  1.5070420590047e+00,                    B, -2.4927050363912e+00,  2.1600064790366e+00,  5.7349023694486e+00
                    B,  2.0118103202283e+00, -1.8724043550844e+00,  1.0552284100167e-01,                    B, -2.0269910857312e-01, -2.2304564608313e+00, -2.9472544433623e+00,                    A, -2.7440667668680e-01, -5.0969712146789e+00, -1.3402204872416e+00,                    B,  2.2412423920911e+00, -1.5804674263397e+00,  2.2820875763706e+00,                    A,  6.9950872180377e-01,  5.3029650557770e-01, -3.3435822692617e+00,                    A, -1.4158070280315e-01, -9.8998718094904e-01, -2.1709152089501e+00,                    A, -2.3668883513522e+00, -2.3391903654525e+00, -3.2259576746332e+00,                    B,  2.8922420230915e+00, -2.1895247328516e+00,  6.6099004638179e-01,                    A, -1.4293383618661e-01, -5.0750454335004e+00,  5.8513502936632e-01,                    A, -2.2393426379466e+00, -2.9293887747973e+00,  6.0120778477293e-01,                    B, -5.9208833168136e+00, -8.9743995021686e-01, -4.5193850863635e+00,                    B,  2.1525341389359e-02,  2.9273266895682e-01, -6.5166209840440e-01
                    A, -1.9799233381843e+00,  3.5561541118178e+00,  5.2233714043751e+00,                    A, -1.5975907857371e+00, -3.8825317274183e-01, -3.8966500529716e+00,                    A, -4.1993112141220e-01, -3.1806515126262e+00, -2.5380059505497e+00,                    B, -2.3815860515215e+00,  2.5756122101506e+00, -2.3800743438192e+00,                    B,  3.9360293937178e+00, -1.6193991916413e-01,  5.7398290125709e-01,                    B, -3.8676948317154e+00, -2.1348055450895e+00,  3.8691998227683e-02,                    A,  8.5636817394415e-01, -1.4461129718165e-01, -4.1671717972646e+00,                    A,  3.9993959448131e-02, -1.2550495880881e+00, -1.4694140675753e+00,                    B, -5.2750217495569e-01,  2.5266082391729e+00,  3.8675118212147e+00,                    A, -8.2748848312096e-01, -2.1192694643143e+00,  2.6867104075838e+00,                    B,  3.3504402506509e+00,  6.5727258722636e-01, -2.3295560691424e+00,                    B, -2.2952674307528e+00,  2.0384245615824e+00,  6.6178919490877e-01
                    A, -1.6908524224037e+00, -1.3324409563526e+00,  3.0488807249923e+00,                    A,  4.6979769337373e+00,  3.9355352566212e-01, -1.0952625081575e+00,                    B, -2.4355206067756e+00, -5.1901857745694e-01,  4.2913420695032e-01,                    B, -2.8048724363128e+00, -1.9961244830105e+00,  3.6601476943517e+00,                    B, -2.9377113160921e+00,  4.1550113592294e+00, -8.2637398390407e-01,                    B, -1.4383253168162e+00,  1.1080638238607e+00,  1.0537517567611e+00,                    A,  2.8899395805598e+00, -8.7520646222594e-01, -6.7383651187583e-01,                    B,  1.7427818720912e+00, -3.6153398480641e+00, -1.4874288931297e+00,                    A, -4.9645912573009e+00,  5.0370283120715e-01, -6.4756890531480e-01,                    A,  1.2785056685186e+00,  7.6791892287759e-01,  3.8271527061009e+00,                    A, -1.2593699400531e+00, -2.1358766434461e-01,  6.4005024199553e-01,                    B,  1.3510119561545e+00,  9.8045985410796e-01,  4.2885655807996e-02
                    A,  1.5746866561711e+00,  1.9009811371209e+00,  2.9820880322679e+00,                    A, -4.1730834498375e-01,  1.5859160262373e+00, -2.7780164298741e+00,                    B,  2.5955059198135e+00, -3.7998216609816e+00, -1.1131803433903e+00,                    B, -2.1390291722384e+00,  1.4430166016824e+00,  2.0280913295425e+00,                    B,  5.4457261160186e-02, -1.1992963111352e+00, -2.6070966897569e+00,                    A,  4.1698151430592e+00,  2.5780301623216e+00, -2.0476431380019e+00,                    A, -7.2815572980990e-01, -5.9286554259566e-01, -5.5888089752861e+00,                    B,  1.3049373406053e+00,  1.8573726293594e+00, -6.1375296635941e-01,                    B, -1.3749679496239e+00,  3.2064536824443e+00, -1.9296093982027e+00,                    B, -1.1834979220687e+00, -3.0568481142235e+00, -7.8590822034364e-01,                    A, -7.7456948664985e-02,  2.0423324248759e+00, -1.2447607430486e+00,                    A, -3.1565862340097e+00, -4.2441838852162e-02,  4.0611452245308e+00
                    B,  1.5602624213719e+00,  3.4893754212739e+00,  3.3762314805863e-02,                    A,  3.0212072076538e+00,  2.2975966173510e-01, -1.9347392680988e+00,                    B, -8.0659355557254e-01, -5.2562010256671e+00, -3.0973231887915e+00,                    A, -1.1576770015956e+00,  3.8095165553977e+00,  5.6771829997191e-02,                    B, -1.7293682208353e+00,  1.2866361889451e-01,  2.5754206498918e+00,                    B, -1.8039241576183e+00, -1.9657204076636e-01, -1.4257242795424e+00,                    A, -4.3715315810321e-01,  2.6361070369473e+00, -1.9866235015835e+00,                    B,  2.7635798871620e-01, -3.9431754297389e+00,  1.4207151437206e+00,                    A, -5.5073691025765e-01, -1.1577373104199e+00, -1.2585459591328e+00,                    A, -4.9616918619609e-01,  1.7197334289759e+00,  2.5841817285981e+00,                    B,  1.8912675949832e+00, -7.0563133226914e-01,  3.3983039538375e+00,                    A,  6.6434519379876e-01, -1.3837964669478e+00,  7.4739324947476e-01
