##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -1.0577142890269e+00,  2.0946406673365e+00, -1.2954689516535e+00,                    A, -1.9295591460321e+00, -2.7026642880453e-02, -2.3524088879937e+00
                    B,  2.9449599084021e+00,  1.0115822674774e+00,  1.7053194473581e-01,                    A,  3.4996866019436e+00, -5.4353388670122e-01, -2.5195139277988e+00
                    B,  3.7157938882696e+00,  4.0801830534836e-02,  2.5363952432662e+00,                    A, -1.4899889032823e+00, -1.5141084081532e+00,  9.0457629743290e-01
                    A,  1.9456524354735e+00,  7.8600440788454e-01,  1.9486651378219e-02,                    B,  1.5976426713037e+00,  1.0218509575849e+00,  1.6756045862332e+00
                    A,  3.0083271651836e-01,  5.7339043594756e-01, -8.0100890651513e-01,                    B, -6.0233560589839e-02,  1.2277635636173e+00, -1.1643668418509e+00
                    B, -2.7752898682324e-01,  7.9878811275761e-01,  3.6321136638111e-01,                    A,  6.7299593480029e-01,  9.3857746220787e-01,  5.8040942924970e-01
                    B, -1.0175478337035e+00, -1.7771181996201e+00,  1.0551397926109e-01,                    A,  1.2002730999678e+00,  1.1385039534108e-01, -6.9813055208181e-01
                    A, -1.0795612871801e+00,  4.0083205659339e-01,  1.3533913114774e+00,                    B, -2.3952773148961e+00,  9.2848687753301e-02, -1.2647154235726e+00
                    B,  8.8009361817393e-01,  1.0629439413701e+00,  2.0746393389874e+00,                    A, -9.8059138367322e-01, -1.1940260795951e+00,  3.1216227667604e+00
                    B, -1.3963294194666e+00, -6.6306317203214e-01, -1.1867792057689e+00,                    A,  2.1195317878961e-01, -6.4720617242510e-01, -3.6695232301669e-02
