#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 1.627236167241e+00,-5.861365848246e-01, 1.761263128869e+00,                  A,-1.780220256792e+00,-1.447981266640e+00, 5.638550529827e-01,                  B,-4.361722205268e-02, 1.640814712756e+00,-4.101140733008e-01,                  A,-2.133518020563e+00,-3.182004194266e+00,-3.340231711587e-01
                  B,-2.882288588632e-01,-3.100607760985e+00, 7.384012870759e-01,                  B, 8.574610807584e-01,-3.984671716684e-01, 1.915213718910e+00,                  A,-9.577815607933e-02, 1.553868564837e+00,-4.749076538530e-01,                  A, 1.867094781113e+00,-4.780611034428e-01, 2.278399494876e+00
                  A, 2.624459624925e-01,-1.075103280145e+00, 4.682967708021e-01,                  A,-2.724402331249e+00, 5.433973272390e-01,-1.527901058619e+00,                  B, 6.675175702068e-01, 3.244249567096e+00,-8.645998862544e-01,                  B,-9.519158136710e-01,-5.085176266169e-01, 1.592828845360e-01
                  B,-1.281227384827e+00,-6.128769421184e-01, 3.042126849854e+00,                  B,-1.956975700075e+00,-2.266489743903e+00,-1.740494384637e+00,                  A, 1.863789853851e+00,-1.834340460266e+00, 1.241420319605e+00,                  A,-1.917388100582e+00, 2.920162204261e+00,-1.497100304080e+00
                  A,-2.029969992257e-01, 1.274003881155e-01,-6.247761980347e-02,                  A, 3.095373761875e+00,-4.168634674041e+00,-3.779792215724e-01,                  B,-1.335980074488e+00,-2.696023851524e+00,-4.186487873513e-01,                  B, 2.046318635194e-01,-2.415904667700e+00, 1.598733929155e+00
