##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  3.0560504233611e-01, -1.5178518942457e+00,  8.3205995397375e-01,                    B, -9.2616795925756e-01, -3.2831813544025e-01,  3.4383516610117e+00,                    A,  2.0059716285722e+00, -1.5985322236177e+00,  1.9183198022101e+00,                    A,  2.1409334733288e-01, -8.1934989165347e-01, -6.8441740951684e-02,                    B,  1.7326387278324e+00,  6.6994677923751e-01,  1.2689242514040e+00,                    B,  6.3523781154701e-01, -1.8756880266288e+00, -9.2678406762648e-01,                    A, -4.0576080979596e-01,  3.2106989641106e+00,  1.0389736179998e+00,                    A, -8.7602438068331e-01,  9.5167497165049e-01, -2.4775891681404e+00
                    B,  2.4193626219180e+00,  1.4684563425453e-01, -5.2942832544640e-01,                    A,  7.7755293317348e-01, -2.0634537581432e+00,  1.3551411167610e+00,                    A, -5.6205730775073e-01, -3.6466912760747e-01,  1.7666628934276e+00,                    B, -2.5047491739510e+00,  2.1961222745192e+00, -2.7362764116709e+00,                    A,  4.0072959513429e+00, -1.3820264219580e+00,  9.2491565263933e-01,                    B,  1.2224606318751e+00,  1.5932030749371e+00,  1.4658022724933e+00,                    B,  1.0330141253953e+00,  2.0466564012014e+00, -6.9686825340046e-01,                    A, -2.9777623158127e-01, -4.6069533462385e-01, -3.1481376900247e+00
                    A,  4.7494599089190e-02, -4.7006187627550e-01,  8.7913258855472e-01,                    B,  6.0507579036175e-01,  7.8400425812386e-01,  1.5256144821085e+00,                    B, -1.0811074118880e+00, -1.7516294392799e+00, -5.0190521742914e-02,                    A, -1.2562829151885e+00, -7.3053324470820e-01,  2.0836151863393e-01,                    B,  3.0569241443011e-01, -7.5243670922776e-01, -1.8588308862344e+00,                    B, -1.1970416094004e+00,  4.3802345268601e-01,  6.9507212728640e-01,                    A, -5.5551280487808e-01,  3.4804440357890e-01,  2.1081784988563e-01,                    A,  3.4392609159169e-01,  4.8163032966369e-01, -2.7152861131839e+00
                    B, -6.2874243851936e-01, -8.9671902284197e-01,  2.3224539587409e+00,                    B, -1.7309362479909e+00,  1.1515361468356e+00, -4.1103691632697e-01,                    B, -7.8789292420622e-01, -8.9376269375852e-01,  1.0787892815996e+00,                    A,  2.0799608162587e-01, -2.2989580761714e+00, -9.0524665416237e-01,                    A,  4.1356316823857e-01,  2.8259977760161e+00, -2.6700344372542e+00,                    A,  1.2642844284248e+00,  4.3572347182751e-01,  6.9138736267076e-01,                    A, -3.6721572515498e-01,  1.3520854202953e-01, -3.7354244774764e-01,                    B,  1.7741241518091e-02, -2.1616973326299e+00,  3.7031772664151e+00
                    A, -1.6768535285738e+00,  3.1571269100450e+00, -4.2457235393027e-01,                    B,  1.2862617306217e+00, -1.2215461472400e+00, -1.7025828536017e+00,                    B,  1.4089486634754e+00,  4.9082364882918e-01,  8.1970175287989e-01,                    B, -7.8407741534311e-01, -2.4386131183409e-01, -2.7691413095705e-01,                    A, -2.8065877459565e+00,  9.4166696196900e-01, -4.0916845536763e-01,                    A,  7.4449699622202e-01, -6.2770872400511e-01,  1.0372749394647e-01,                    A,  1.6495482119161e+00,  4.5965120928645e-03, -9.0045112944145e-01,                    B, -6.4690350931205e-01, -9.2693856761242e-01, -4.4678319457412e+00
                    B,  3.9264977723989e-01, -2.8714325645045e+00,  1.6473498276890e+00,                    B, -2.1615642494514e-01, -6.8162407033642e-01,  8.3032778170176e-02,                    A,  5.4721382711725e-01,  1.2538271168155e+00,  1.0591983853089e+00,                    A, -3.2074658234304e-01,  4.9232333750827e-01, -6.8233898859258e-01,                    B, -1.5861921318336e+00, -2.5758022994558e+00,  7.5186141643607e-01,                    B, -2.4944978533096e+00,  3.5818443786363e+00, -2.9401062834362e+00,                    A, -1.0157908231457e+00,  2.0754969895303e+00, -3.7021335928310e-02,                    A, -5.6221766795032e-01, -4.2500298424788e+00,  6.3400066783332e-01
                    B, -4.0285812440179e-01,  2.1894976997291e+00,  1.5265565709228e+00,                    B,  5.0257907590339e-01,  6.5108476598934e-01,  1.7904341944947e+00,                    A,  8.8540168362566e-01,  1.4243870181002e+00, -4.8305165839252e-01,                    A,  6.0904401884548e-01,  7.3803251550458e-02, -5.9441502820095e-01,                    B, -1.8154228600765e+00,  5.8052891533685e-02,  2.5342629219553e+00,                    A,  1.8418550701610e+00, -1.6213760401796e+00,  9.7627795156712e-01,                    B, -8.3584234154089e-01,  1.2592463483781e+00, -3.4424573290337e+00,                    A,  1.0887116386231e+00,  1.3305976357404e+00, -3.8795784090628e+00
                    B, -9.3980994161525e-01, -6.5480412601684e-01,  8.4006918241473e-03,                    A, -3.6058442391535e-01, -1.5387037645991e+00, -6.6585620659890e-01,                    A,  1.2611099660503e-01,  2.2006539282013e-01, -9.8415741692235e-01,                    B,  3.6411544943577e+00,  1.4952493612172e+00, -1.1804686323164e+00,                    A,  1.1344099866660e+00,  1.7743277550928e+00, -1.8320029687883e-01,                    B,  7.5757983066298e-01, -3.4180809326337e+00,  2.2008403435909e+00,                    A,  2.3397181258571e+00, -5.9233557247727e-01, -2.4359692082650e+00,                    B, -3.9116501034697e+00, -1.8307568940348e-01, -8.3003019752812e-02
                    B, -9.0564986010492e-02,  3.1567397441678e+00,  2.7305064314122e+00,                    B, -2.6819748817700e+00,  1.7358407153468e-01,  3.3011927336748e-01,                    A, -1.8497706431478e+00,  3.2612130379721e-01, -8.7956960255339e-01,                    A,  1.8873223392069e+00,  1.7175160838851e-01,  1.6343120041037e+00,                    A, -2.1768366862179e+00, -3.9716567439007e-02,  1.5733445869756e+00,                    B, -4.2574213198715e-01, -1.0629885742683e+00,  4.0852841929752e-01,                    B, -1.9235132039957e+00,  1.2633466328075e+00, -2.5018983543297e+00,                    A,  1.0226819845157e+00,  3.2578504080513e+00,  8.4493167902928e-01
                    B, -8.7465614706163e-02, -3.0337243225037e+00, -2.6570493818636e+00,                    B, -3.8233114694166e-01,  7.6580865210963e-01, -1.5960950878864e+00,                    A,  3.7971012896815e+00,  1.1933872526882e+00, -4.8453694788994e-01,                    B, -9.1752552868274e-01, -1.0507559703495e+00,  3.4593829436527e+00,                    A,  3.3712764021450e+00,  3.4159225869280e+00,  1.2609898727392e+00,                    A, -5.8122369571505e-01,  2.3253811185933e+00, -4.3015549735088e-01,                    B, -1.4237198069592e+00,  1.1655579578163e+00, -2.0097982954528e+00,                    A, -1.9541927995290e+00, -1.4637309666546e+00, -8.5526266423495e-01
