##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -2.4145985293549e-01,  3.4608273029276e+00, -1.1145785717537e+00,                    B,  1.2315696537237e+00,  2.7311058429772e+00,  4.0512959588996e+00,                    A, -1.2007840045465e+00,  3.0915242317654e-01,  1.2351441276331e-01,                    B, -3.4658020480623e+00,  9.5868069301206e-02,  4.7752663549765e-01,                    A, -5.1008381043523e-01, -9.5096309763207e-01,  1.4275224930768e-01,                    B,  1.0526003486854e+00,  1.0299572300458e+00, -1.1421186017689e+00,                    A, -1.4014572226158e+00,  1.9183909256287e-01, -2.3316901119993e+00,                    B,  1.2613167420385e-02,  1.4570789070501e+00,  1.2118005989812e-01
                    A,  1.1344854470465e+00,  3.2430611936384e-01,  5.7323569630208e-01,                    B, -5.2404501098098e-01,  1.0597222765114e+00,  2.3803191475022e+00,                    B,  2.2724087376008e+00, -9.4152819208827e-01,  1.4439329524045e+00,                    A,  5.9548584107112e-01, -4.6184668164727e-02, -1.3820740601925e+00,                    A,  7.0238616802824e-01,  3.1119180433961e-01, -2.4986513287683e+00,                    B, -3.2413622447995e+00,  1.7272026784383e+00,  2.9806144201976e+00,                    B, -2.3902815900428e-01, -9.2311421543317e-01, -4.5843768145874e-01,                    A,  1.2149745753140e+00, -1.5735011686386e+00,  2.4704062642837e+00
                    B, -2.3189215637438e-01,  1.3157641631552e+00, -1.9280273357174e+00,                    A, -3.3108654981226e+00, -5.0384854037783e-01,  9.9076844447242e-02,                    A, -3.1504996822687e+00, -1.9252846688940e-01,  2.5146170100156e+00,                    B, -3.7432854673166e-01, -2.0931010486926e+00, -2.0302791318120e-01,                    A, -1.8344338747176e+00, -1.4074718756667e+00, -9.3505538350522e-01,                    B,  4.1163205155162e-01, -1.6597580464176e+00,  7.5006987169022e-01,                    B,  1.1285459843056e+00, -3.9666421571281e+00, -6.9149692250551e-01,                    A,  9.0878145869058e-01, -4.3939567396057e-01,  2.0577926629480e+00
                    B, -1.7634555585662e+00, -2.7039314834827e+00,  3.4111092731665e+00,                    B,  1.4158551856645e+00, -1.9765883189039e+00,  1.3249425301787e+00,                    A, -5.5578104011628e-01,  2.6240699525854e+00, -1.2980192537997e-01,                    B,  5.5810272037398e-01,  1.7162385917500e-01, -1.2374529485448e+00,                    A, -1.3899571242620e+00,  9.7334709878960e-01, -2.7324813062813e+00,                    B,  1.1897642450251e+00, -9.6060566407044e-01,  7.4534315540392e-01,                    A, -1.0437190217161e+00,  3.8826434525525e+00, -5.3071811143466e-01,                    A, -1.6835849959990e-02,  3.4779157204275e-01, -2.5815688996630e+00
                    B,  1.5263759193672e-01, -3.4193213333588e+00, -7.9959873514872e-02,                    B,  9.5774109742020e-01,  1.2933955428164e+00, -2.8185207368264e-01,                    A, -8.2069766411660e-01,  2.2735296591867e-01, -5.0929710185466e-01,                    B, -2.6867516060953e+00,  2.1793851059865e+00,  2.5301653406217e+00,                    B, -2.6018720209425e+00, -1.0902351054659e-01, -2.4879274405331e+00,                    A,  1.1415881809017e+00,  2.0898742663732e-01, -1.3816611730970e+00,                    A, -6.1771163589076e-01,  1.4701849554180e+00, -1.0383986995815e-01,                    A, -1.0734259311257e+00, -5.4248463202410e-02, -1.8201429470219e+00
                    B, -9.5033104345041e-01,  2.4829445938591e+00,  1.6850341751455e+00,                    B, -2.8449599018387e+00,  4.0297086942166e-01,  7.0555447777195e-01,                    A,  1.5187492751285e+00, -1.5983436257258e-01,  1.1833662852231e+00,                    A,  8.0507593051671e-01,  3.3792498739833e-01,  2.4314137828904e+00,                    B,  7.8671757871614e-02, -2.0253350363347e-01,  3.4475502670672e+00,                    A, -8.3123673722795e-01, -4.1281418812660e-01,  6.9024906350062e-01,                    B, -1.9432217610871e+00, -9.9070211537639e-01,  1.9202952184195e+00,                    A, -2.7087765188636e+00, -9.5408975731613e-01, -8.6317678386579e-01
                    B, -2.6918125907102e+00, -4.2097382172062e-01, -3.8802757323090e+00,                    A, -7.2970455786101e-01,  1.6751258408022e+00, -3.4274561665672e+00,                    B,  1.5892629601574e+00,  3.6202504978613e+00, -2.9433476843104e+00,                    A,  1.8498594049098e+00, -2.2953430727095e+00, -1.2150941343182e+00,                    A, -5.1437851411478e-01, -1.3322706523618e+00, -5.8991420369305e-01,                    B,  3.2870436509940e-01,  1.8785859576159e+00, -1.5467361919598e+00,                    A,  1.1088797237290e+00,  2.0856339097953e+00, -3.2993494452574e-01,                    B, -1.2512461686473e+00,  1.5573994684270e-01, -1.2991110096461e+00
                    B,  1.5095310773691e+00,  2.5115163742985e+00, -1.2865600750936e-01,                    B, -9.9544114157639e-01, -4.5993570603291e-01, -4.1680378860990e-01,                    A, -1.2111575105948e+00,  4.8016191684538e+00, -1.3361183598549e+00,                    A,  1.5775728643759e-01,  1.6529484834252e+00,  2.0335981617473e+00,                    B,  1.9419510255192e+00,  3.1042270362964e-01, -4.6965365066672e-01,                    A, -3.3988229793527e+00,  1.2098841276456e-01, -1.2027518258923e+00,                    B, -9.5116984584772e-01, -1.4740704916903e+00, -2.2640667853723e-01,                    A,  2.2023128160344e-01, -1.9192327968511e+00, -3.2442184850328e+00
                    B, -1.3515204762734e+00,  1.8095627852717e+00, -2.0074093095856e+00,                    B,  2.7186449396875e+00, -2.5344092597955e+00,  1.6137423984939e+00,                    A, -3.6149077861277e+00, -1.4490950070632e+00,  5.3022685810656e-01,                    B,  2.2111288737164e-01, -1.5693539563696e+00,  5.1560909435127e-01,                    A,  7.2395503539194e-01, -1.8268912719738e+00, -2.5882927964026e+00,                    B, -2.8953770121704e+00,  8.3626675913091e-01, -2.3528713452324e+00,                    A,  5.0597102095414e-01, -2.8644724612829e+00, -4.1664850466542e-01,                    A,  1.7734510744174e+00, -1.2993754609797e-01,  1.3331121474774e+00
                    A, -5.2645714560495e-01, -2.9531036806099e+00, -1.9523711453515e+00,                    B,  2.2156056365074e+00, -3.7084547379986e+00, -3.7135242655099e-01,                    A, -1.8277639351950e-01, -1.2155102081731e+00, -4.8923268395342e-01,                    B, -4.1773237714881e+00,  2.4437806004066e+00, -1.3654792206139e-01,                    B, -3.1695240649217e+00, -1.1075023964134e+00,  1.2189265221688e+00,                    A, -4.9171529300248e+00,  1.4922123029956e+00, -8.1372257474190e-02,                    A, -2.0851314522655e+00, -1.8813167096710e-01,  5.9163733128015e-01,                    B, -8.1815964140965e-01,  1.6373770696011e-01,  1.5801200209155e+00
