#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-6.246951009503e-01,-5.940975206757e-01,-2.966287152463e+00,                  B,-2.794938687842e+00, 3.372713127523e-01,-1.060806803447e+00
                  A,-2.111202730283e+00,-1.556979170740e+00, 1.188825295684e+00,                  B, 2.197333856672e+00,-5.488837752242e-01, 2.276020971656e+00
                  B,-1.831153958783e+00, 1.666707884896e+00,-1.849811328215e+00,                  A, 2.108233545485e+00, 2.090573848251e+00,-2.202472634914e+00
                  B,-3.433184043869e+00,-6.850663104677e-01,-1.221698481060e+00,                  A,-1.563554917625e-02,-1.547475770555e+00, 2.884704813407e-01
                  B, 7.767708028472e-01, 1.314482798646e+00,-8.704104659856e-01,                  A, 6.085225110519e-01,-1.578012430009e+00, 6.568636622447e-01
