#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-4.113985024860e+00,-1.645195244766e+00,-1.331825242194e+00,                  A, 3.189597916982e+00,-5.169082021511e-01,-7.494172127197e-01
                  A, 1.159816318129e+00, 5.312843112573e+00,-6.364393028137e-02,                  B,-2.158900366365e+00, 1.845190782026e+00,-2.262869163624e-01
                  A,-2.263857732045e+00,-7.557681264367e-01, 9.928947993068e-01,                  B,-6.703025338859e-01, 5.340236985183e-01,-3.833032518934e+00
                  A,-1.080617311211e+00, 1.389641517256e+00, 5.189161007062e-01,                  B,-1.046304138381e-01, 8.718239660347e-01,-4.748011588783e-01
                  A, 5.960357091409e-02, 1.926329277405e+00,-3.039163896065e+00,                  B, 5.471099938765e+00, 6.176762180589e+00,-8.832215398705e-01
