##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  7.7054280670161e-01,  2.6244856329313e+00,  9.2084158553768e-01,                    B,  1.0599422676098e+00, -2.2462910239106e+00, -1.7036221086473e-01,                    A, -1.2880470113891e+00,  2.3820903575841e-01, -9.9750893015453e-01,                    B,  2.5046447632476e+00,  6.2796041741993e-01, -1.1796202770259e-01,                    B, -2.3457011828018e+00,  6.6775103824377e-01,  1.7446956095061e-01,                    B, -1.6231412988843e+00, -2.0093952157290e-01,  8.0824951717767e-01,                    A,  5.9693188417158e-01,  1.1339361565823e+00, -8.6798179612693e-01,                    A, -3.8176801126060e-01,  5.7785061519753e-01, -1.4640183898642e+00
                    B,  6.8739177897472e-01, -1.6162917092482e+00, -1.3564354488360e+00,                    A, -1.8099349744796e+00, -8.0056310005283e-01,  1.3962718062949e+00,                    A,  1.6465429535976e-01,  7.4784540438769e-01, -5.4819379891778e-01,                    A,  2.2946461954988e+00,  2.0910318653465e+00, -2.2646996400743e+00,                    B,  1.4482310590778e+00, -3.3278112580725e-02, -4.1127524037603e-01,                    A, -5.3122178404748e-01, -3.5023983569211e-01, -1.0894991292038e+00,                    B, -2.2550491136047e+00,  3.7709217202576e-02, -1.3084092607795e-01,                    B,  1.9008181105611e+00, -1.0633773253049e+00, -8.4316933556407e-01
                    A, -1.2244743474819e+00,  1.0834595253643e-01, -1.7179568102327e+00,                    A,  1.1920209845685e+00,  5.6404856133099e-01, -6.2337988656280e-01,                    B, -4.9666363245561e-01,  1.5757635863086e+00,  3.6220240750997e-01,                    B,  3.0107005728041e-01, -2.0857076801733e+00, -1.0596516611224e+00,                    A, -2.8438215880662e-01, -5.9520618046700e-02,  9.3116081945933e-01,                    A,  2.2917051787416e-02, -8.7277781676890e-01, -9.2742373633259e-02,                    B, -1.6759701017533e+00,  1.3199398078482e+00, -8.5638495034328e-01,                    B,  4.9839211531618e-01,  1.6522834454597e+00, -4.6453912696848e-01
                    B,  2.5221296932797e+00, -6.4459269971361e-01,  1.4737857208663e+00,                    A,  1.0158604913576e+00,  6.2031865262031e-03, -7.4067709754409e-01,                    B,  1.9491076404540e+00, -1.9255412622776e-01,  1.2303044798582e-01,                    B, -3.9399355248217e-01,  7.9705617885886e-01,  2.5818270845479e-01,                    A,  2.4587339132081e+00,  2.7988834987979e-01, -1.2367478423432e+00,                    A, -1.5810629928808e+00, -1.9842870892763e-01, -1.3433920813865e+00,                    B, -9.9124540620462e-01,  2.1233597305578e+00,  2.6147503812868e-01,                    A, -3.2579541291044e-01,  1.7108613748468e+00, -1.0751488981192e+00
                    B, -1.4809951245423e+00,  1.2119098871266e+00,  1.9500498525020e-01,                    A,  6.2883320386525e-01, -2.6559978158949e-01, -8.0532290080065e-01,                    B,  1.9112104882880e+00,  1.0689665171778e+00,  1.7628195463695e+00,                    A, -6.7817173559871e-01, -1.1321625748917e-01,  4.7444771731914e-01,                    B, -3.4746416147605e-01, -3.4530124010454e-01,  1.9917755852752e+00,                    B, -8.8657624703121e-01,  2.0084572446292e+00,  1.8260125868813e+00,                    A, -9.4037361181987e-01,  1.0812073876628e+00, -1.0248109322226e+00,                    A,  6.9670742114594e-01, -9.1842077812871e-01,  5.5684791906505e-01
                    A, -3.6517147762531e-01, -9.9593981773136e-01,  1.9953505314053e+00,                    B,  1.4846122585976e+00, -1.3757390547165e-01,  1.8176455220001e+00,                    B, -3.7356458130527e-01, -4.4394896461623e-01,  4.6513053903655e-01,                    A, -1.0210282421547e+00, -1.4661938267137e+00,  2.0312902283786e-01,                    B,  4.0721916394136e-01, -2.1500444422458e+00, -1.1826620229004e+00,                    B,  1.4101887654833e+00,  3.1681514054803e+00, -1.1497550903056e-01,                    A, -1.2958226815047e+00,  1.4661669003709e+00, -1.8668375907485e+00,                    A,  3.3968253922628e-01,  5.3463607551904e-01,  2.4963913254938e-01
                    A, -1.4473957436944e+00, -1.6850732981697e-02,  3.9088159806675e-01,                    A,  1.1354540411919e+00, -1.9944031109088e+00, -3.6489281540264e-01,                    A,  1.5805643577862e+00,  2.0576605281606e+00,  2.5327547042391e-01,                    A,  8.1445494597984e-01, -1.7586045733771e+00,  2.5016741297209e+00,                    B, -9.7227701643962e-01, -1.1347769089873e+00, -2.5432748467538e-01,                    B, -1.8476761606280e+00,  1.8668885231738e+00, -2.0807153352498e-01,                    B,  2.1020542149279e-01, -1.7552085102615e+00,  7.2300715350211e-01,                    B,  2.4729114164805e-01, -1.3009949079312e+00, -1.1066901500701e+00
                    B,  3.5390459803030e-02,  9.3245542936193e-01, -1.1614002660936e-01,                    B, -4.4834228172761e-01, -6.3002511889138e-01,  9.9864202091203e-01,                    B, -1.9694259805841e-01, -2.6015125552659e+00,  4.5392181701741e-01,                    A,  9.5067972793661e-01, -1.1340467922538e+00, -9.7946088730978e-02,                    A, -2.6642179576354e+00,  5.4699832215653e-01, -3.3894392314174e-01,                    B,  1.5905872808437e-02,  2.8774705098569e-01, -1.5332915434571e+00,                    A,  1.4914876643956e+00,  2.5884150372367e-01,  5.9300187097853e-01,                    A, -1.6015541984228e+00,  1.5145123032456e+00,  1.5799338490687e+00
                    A,  2.1448793196873e+00, -2.6269131194743e+00, -1.9211879435097e-01,                    A, -5.8883169855917e-01,  5.5337051540006e-03, -2.8954937520156e+00,                    B, -1.4825173306059e+00,  4.5170004275050e-01,  1.4146979343588e+00,                    A,  5.0608705809339e-01,  5.3023209709718e-01, -9.5617233107996e-02,                    A,  5.0910977598749e-01, -4.0512269629369e-01,  5.6786747220693e-01,                    B, -3.5942603898729e-01, -1.0538739457427e+00, -2.3058084891181e+00,                    B, -5.0329830839520e-01, -1.1256032677446e+00,  2.9620511650576e+00,                    B, -1.2506168319301e+00,  9.6244023925733e-01, -1.1278568625012e+00
                    A,  9.8376537374296e-01,  2.6209562113637e+00,  1.5189719838544e+00,                    B, -1.6234409982644e+00, -4.0394288142752e-01,  8.5594966066924e-01,                    B, -8.2422773881965e-01, -1.3926169739906e+00,  1.4833862436531e+00,                    A,  7.3351795572418e-01,  3.7606610148394e-01,  1.9314134871553e+00,                    B,  1.3674944829081e+00,  5.0522739290930e-01, -6.1965182287576e-01,                    A, -5.6555858173654e-01,  6.4055255010091e-01, -1.3925027720051e+00,                    B, -1.0162872380126e+00, -2.7925420144290e+00, -1.4377179328384e-02,                    A,  1.7710233334107e+00, -1.7282000054401e+00,  1.2228401946946e-01
