##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A,  1.1509305914041e+00,  2.0454505994657e+00, -9.9494521976465e-01,                    B, -1.9389546898489e+00,  1.0634604441744e+00, -3.8005490307846e-01
                    B, -7.3028114300867e-02,  2.2394472370426e+00, -4.5766015071627e-01,                    A,  1.2206848853786e+00, -3.3641882574477e+00, -2.1634068575565e-01
                    B, -1.2880633456603e+00,  2.5786162781538e-01,  6.5596146414453e-01,                    A,  7.2785770645803e-01,  1.1702596808004e+00, -1.3758728550472e-01
                    B,  2.7480405286643e-01, -2.1297473512539e-01,  2.4453792659622e+00,                    A, -7.8839916337622e-01, -1.0777465444484e+00, -2.7963613344490e+00
                    A,  3.7826921657874e-01,  9.3720313200865e-01,  8.6082653701730e-01,                    B, -1.6378704646744e-01, -1.0742196167119e+00,  3.3384203938882e-02
                    B, -2.6282457689102e-01,  1.2549482107609e+00,  8.4347697677377e-01,                    A,  2.7797694150160e-01,  2.1392730811533e+00,  3.3529859939808e-01
                    A, -1.0400482705407e+00, -6.4136969395835e-01,  3.6475016724500e+00,                    B, -1.4081419964206e+00, -1.2472002993579e+00,  5.1395559030833e-02
                    A,  2.8216837626886e-01, -3.2531971208069e-01, -3.4745857350871e-02,                    B, -8.3463452476341e-01, -1.5695395582493e+00, -1.4053539472154e+00
                    B,  4.9410286753850e-01,  1.3313784502278e+00,  1.3584313193388e+00,                    A, -1.6966072251065e+00,  8.7356639745178e-01,  1.4549303778854e-01
                    B,  2.3680998337944e+00, -6.2839231828921e-01,  1.0306556160047e+00,                    A, -2.1014850579515e-01, -1.0297227894773e+00, -1.4757523140506e+00
