##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -4.2619053413297e-01,  1.5381140775912e+00, -1.3774455034271e+00,                    A, -3.3276505865306e-01,  1.3149972229348e+00,  9.5115311619923e-01,                    A,  2.0702746006162e+00,  5.7897246691209e-01, -5.0425642776022e-01,                    B, -1.3829495151575e+00,  2.7185996359106e+00,  2.5551641900978e+00,                    B,  1.3123747125856e+00, -2.9153651647722e+00, -8.6948009528770e-01,                    A,  3.7948107208747e+00, -5.6650654824820e-01, -1.8974757434396e+00,                    B, -2.0795875430553e-01, -1.8022165212338e+00,  2.9019458294740e+00,                    B,  1.6878811133434e+00, -1.6966599619794e+00,  1.8898203949504e+00
                    B, -5.2996506641694e-01, -1.1526661923757e+00,  1.8783652198757e+00,                    A,  1.1013668422450e+00, -1.3786859279014e+00, -1.0914701595688e+00,                    A, -1.6673001867071e+00, -2.9669324094967e+00, -1.6582257728680e+00,                    B,  1.1616453602247e+00,  2.5423652079535e+00,  1.9310801813509e+00,                    A, -1.4061444513942e+00,  2.3204608206816e+00,  3.2785856607045e-01,                    A, -1.4366034176594e+00, -1.5472618182180e+00, -8.1222218944404e-01,                    B,  2.3477565683606e+00, -1.4103833765437e+00,  1.8327506265410e+00,                    B, -1.3539057204715e+00,  3.9863267851622e+00, -4.7720824780695e-01
                    B,  3.5912292779000e+00,  6.2748743532140e-01,  2.6288125625656e+00,                    B,  3.2984510478428e-01, -1.5084159865105e+00, -3.8059810391130e-01,                    B,  1.9131685199861e+00, -2.7935402792611e-01,  1.9514561922831e+00,                    A, -2.1446528815693e+00, -1.7989764914014e+00,  4.8908009099256e+00,                    A,  2.8664095893237e+00, -5.1386087464080e-03, -9.9387468312519e-01,                    A,  7.7130997194092e-01,  2.7759866699742e+00, -1.1340411954632e+00,                    B, -7.7560354245256e-01, -7.4689252099938e-01,  5.3337119262067e-01,                    A,  9.3667221147219e-01,  4.1264677663801e-01, -5.2651444956372e-01
                    B, -3.8200601422214e-01,  5.3041767597208e-01, -1.1035067429922e+00,                    B,  2.0775591939244e+00, -3.2774465124367e-01, -1.2592940821973e+00,                    B, -1.1293785346670e+00,  4.3094154522734e+00,  2.5427676400975e-01,                    A, -2.4830341839293e+00, -3.2517147307122e-01,  9.9760607876454e-01,                    B,  1.1508234491859e+00,  1.3445101374439e+00,  1.7916210198747e+00,                    A,  7.4377275120193e-01, -5.8171725322310e-01,  8.8232843399760e-01,                    A, -1.9354690545746e+00,  1.2366205055411e+00,  2.0624029027762e+00,                    A,  1.8653710789126e+00, -1.3321872010188e+00,  1.3208501448838e-01
                    B,  2.3682763854771e-01, -2.9893365113370e+00,  5.4643104943410e-01,                    B,  9.7098670137973e-01, -6.1714800586518e-01,  1.5932014478103e+00,                    B, -1.3779474152226e+00, -5.4335354210181e-01,  5.6405469451537e-01,                    A,  1.3366373226695e+00, -1.0078261098239e+00, -2.6247546378406e+00,                    A, -1.8359760707776e+00, -1.2404571046453e+00,  1.3662230572523e+00,                    A,  1.6133989283295e+00,  7.2071057203514e-02, -2.5564419938637e+00,                    B,  1.4969616687225e+00,  1.5713465227501e+00, -1.3818438498936e+00,                    A, -1.3011225542567e+00, -1.4056104395981e-01, -1.1955914884374e+00
                    A, -4.3346278009322e+00, -8.3587308845189e-01, -1.4681254470541e+00,                    B,  1.6849807693438e+00,  8.6895397778156e-01, -2.9552584298696e+00,                    A, -1.3391377559181e+00, -4.9689587369750e-01,  1.0305993583883e-01,                    B, -6.6141571289504e-01,  6.6279632469349e-02,  2.6335151998716e+00,                    A,  1.2603579777022e-01,  3.8972403198239e+00, -1.7510001892727e+00,                    B,  3.0605748011066e+00, -3.4585652785663e-01,  1.1467947701286e-01,                    A, -2.0361500016126e+00,  8.6709350839275e-02,  1.7034643664208e+00,                    B,  1.1538378761950e+00, -1.5746329023301e-02, -9.3977187971417e-01
                    A,  1.0573195675037e+00,  1.5274570231845e+00, -3.1438581163246e-01,                    A,  3.4529126520272e-02,  7.4758432471257e-01, -2.5717879310990e+00,                    B,  1.4409934463504e+00, -1.1467492923203e+00, -2.1780579908620e+00,                    B, -3.4905413222892e+00,  2.2519454231402e+00, -1.1685318488295e+00,                    A, -6.6342924578624e-01, -2.5000739441440e+00,  4.2402659088545e-01,                    B,  4.5867770377350e-01,  1.5858830832331e-01, -9.5624462386499e-01,                    B,  3.2059747778451e+00, -8.9648678082011e-01, -6.2046794756410e-01,                    A, -9.5740724919640e-01,  1.0429061484028e+00, -8.1476532869543e-01
                    A, -2.4765955471231e+00, -1.2517419824341e+00,  1.9932549343073e-01,                    A,  7.8408091604970e-01,  1.8964690445666e-01,  2.0050658718534e-01,                    B, -1.3963415934190e+00,  1.9698778616202e+00, -2.5400137178189e+00,                    A,  9.3347766122324e-01,  1.9751525610542e+00,  3.9432029857791e-01,                    B, -9.4648932351613e-01,  7.2375494964317e-03, -9.7385823764007e-01,                    B,  2.8223179638834e-01,  1.1638693449521e+00, -2.5340373267141e+00,                    A, -1.8886856307729e+00,  8.8698830380247e-01,  2.4495569524767e+00,                    B,  1.3529132577679e+00, -2.0317160834203e+00, -2.8151860481008e+00
                    B, -6.1188134575989e+00,  1.0985219964417e+00,  1.3643757635796e+00,                    B, -1.2510675448894e+00,  2.0502438118948e+00, -4.9401336013597e-01,                    A,  3.0562123057399e+00,  2.5654451826175e+00, -5.3009222629370e-01,                    B, -7.5700560045914e-01,  7.3444326148476e-01,  1.3780379007240e+00,                    A, -5.0990458555385e-01, -7.3954503604060e-01, -6.4862462351710e-01,                    A, -2.1550682064084e+00,  5.9156670379261e-02,  6.7131642146667e-01,                    A,  1.1991988377632e+00,  2.2357239005035e+00,  2.1077199259090e+00,                    B, -1.5464718601473e+00, -1.1354258821400e+00, -1.0455246106336e+00
                    A, -1.0473824546455e+00,  5.0166116837892e-01,  5.5631404012953e-01,                    B, -1.5196248028039e+00,  1.2870289564198e-02, -1.8873767587187e+00,                    B,  5.1357468336579e-01,  6.8868152425758e-01,  2.8438224324958e+00,                    A, -1.8989330137472e-01, -1.0958182159314e+00, -9.8600967381663e-01,                    A, -3.7799841264286e+00,  6.2266307719743e-01, -6.4014426801447e-01,                    A,  3.7725196973066e+00, -2.3165703963125e+00,  8.5358568863039e-01,                    B,  1.7248087165995e+00, -6.9229544648638e-01, -1.2124702041068e+00,                    B, -1.4896184404006e+00,  2.7004732216284e+00, -9.9161288465540e-01
