##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A,  9.7462174633712e-01, -5.4215139491716e-01, -1.3570819570304e+00,                    B, -1.9065608472140e+00, -1.5554949255641e+00,  1.4747007859087e+00,                    B, -2.2826530062747e-01,  1.2564939964834e+00,  9.5147194374079e-01,                    A,  1.1696147492181e+00,  1.5206746277112e+00, -2.7888945857571e+00
                    A, -2.2728627706097e-02,  3.9585100171881e-01, -7.9729399707747e-01,                    A, -1.6874971725272e+00,  1.0264605501504e+00, -8.7731293545739e-01,                    B,  5.3015826286430e-01, -2.0598085472399e+00, -4.9761269750081e-01,                    B, -5.8998084464470e-02, -7.7978933434388e-01,  2.9822790529831e-01
                    A, -2.5787272902582e+00, -3.1882626104788e-01,  4.5545643817013e-02,                    B, -3.0043661081855e+00, -2.2334570191446e-01,  1.2076523030889e+00,                    A, -1.9151309182324e+00,  1.7041787108934e+00,  1.1957573552578e+00,                    B, -1.5750364642829e+00, -3.6119381783907e-01,  2.8051665774697e+00
                    A, -9.4714457375148e-01,  7.9973398343802e-01, -1.7413803039019e+00,                    B,  4.5245146549654e-02,  3.9773482045705e-01,  2.2396499581320e+00,                    A,  1.7238044869859e+00,  4.9900300833297e-01,  1.1405373703543e+00,                    B, -5.8125340695333e-01, -2.3194634093579e+00, -1.9941533935653e+00
                    B, -1.4172887098586e+00,  5.4528813525059e-01, -7.8908310675604e-01,                    B, -2.8833276763898e+00,  4.9393299509220e-01, -1.6981649779952e+00,                    A, -4.1373139421571e-01,  5.0993687201313e-01,  3.9373611942487e-01,                    A,  3.8403770521630e-01,  1.1392354838706e+00,  6.6071572092969e-01
                    B,  8.6133204123440e-01, -4.3969739530264e-01, -1.1511966510520e+00,                    A,  5.1146179719966e-01, -2.2837545016990e+00,  9.2418155860413e-01,                    B, -2.9819881407667e+00,  6.0672067323767e-01,  1.6383646787046e+00,                    A,  2.0774766774991e+00, -5.1062680814517e-02, -2.4930370774140e+00
                    B, -4.3171959540230e-01, -2.2117556592159e+00, -3.5562123264931e-01,                    A,  1.0839178846205e+00, -1.9304465485718e-01, -1.9907693922540e-01,                    B, -1.7734467008352e+00, -2.8252572260187e-01,  1.6224867593420e-01,                    A,  2.5644227531922e-01, -2.1560540499413e-01,  1.3556602766964e-01
                    B,  1.1048934709509e+00,  9.4722610502938e-01, -2.9375174072421e-01,                    A, -1.5945867499096e+00, -1.1104000130539e+00,  1.1324919832173e-01,                    B, -9.2822562632201e-01,  2.3428051551159e-01, -5.5082655714998e-01,                    A,  1.1521939298399e+00,  7.6670235047215e-01, -1.3578795747127e+00
                    B, -1.9381990395696e+00, -1.4303861773973e+00,  1.1212059220636e+00,                    A,  1.1856405272676e+00,  8.9318071596899e-01,  1.2433893722380e+00,                    A,  1.3136424404887e+00, -9.7897381289898e-01,  3.2771026363895e+00,                    B,  3.9210520751282e-01, -1.2664638566060e+00, -2.4508946989762e+00
                    A,  1.5143852827561e+00,  1.9373467524143e+00, -6.6407068702657e-01,                    B, -9.4796383040254e-01,  7.1496767647866e-01, -3.2455528641036e+00,                    B, -2.7909876443058e-01,  2.9702993231658e+00, -8.0544891048581e-01,                    A,  1.3923657520196e+00, -1.8940728818120e+00,  2.0591577746834e+00
