##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -3.2315071538477e-01,  8.0560858197172e-01,  7.0577896541271e-01,                    B, -2.1011058717592e+00,  1.4605875703607e+00, -1.1650916372436e+00,                    A, -1.0722371229312e+00, -5.7647157649784e-01, -1.7995800345271e+00,                    A, -1.8234217478882e+00,  2.2780926920151e+00,  7.0053816076971e-02,                    A,  1.1173063735990e-01, -1.6653174073493e+00,  1.9641474335391e+00,                    B,  1.2050828510817e+00,  2.9809112401288e-01,  1.0536986206080e-02
                    A,  2.0534330949439e+00,  3.0793752935157e+00, -7.3661515730404e-01,                    A,  2.0623119489849e+00,  1.1309682206234e+00,  6.9612698793430e-01,                    B,  1.5578483717903e-01, -7.5010439697178e-01,  1.2038674429309e+00,                    A, -7.5766666252680e-01, -2.8202723753946e-01, -5.5229307242275e-01,                    B,  1.7799178041673e+00, -1.2163792092188e+00,  4.7214663098875e-01,                    B, -1.2905862823790e+00,  1.0284882230133e+00, -7.9201491712329e-01
                    B, -2.7763421429157e+00, -4.2840795888942e-01,  1.6830668354676e+00,                    A, -7.5545958368277e-01,  3.1847007801313e-01, -1.1625135657036e+00,                    A, -1.4512658201943e+00,  1.6631561142563e+00, -2.8469022165118e+00,                    A,  3.4004483922702e-01, -1.8959758681625e+00,  6.5090492862241e-01,                    B, -5.8104486830626e-01, -9.7220876051707e-01, -1.5442549598093e+00,                    B, -1.4582301616567e+00,  1.1876136387273e+00, -9.3637467250896e-01
                    B,  1.6746716301646e+00, -1.0993136478086e+00, -4.0616253897864e-02,                    B,  1.2818391350928e+00,  6.8295977436891e-01,  1.0346799407863e-01,                    A, -2.4124985041233e+00,  1.3090254182767e+00, -1.9680986569196e+00,                    A,  2.2042728753351e+00,  2.0039835868513e+00, -6.1202111401244e-01,                    B,  1.8130062339217e+00,  1.6663291838679e+00,  9.4322978713548e-01,                    A, -1.8670980497783e+00, -1.0852760187738e+00, -3.6038191393683e-02
                    B, -1.8073602358575e+00,  2.1522825742744e-02, -2.9907296447154e-01,                    A, -4.1087413501704e-01, -5.6667061111903e-02,  1.5904642018314e+00,                    A,  2.4335530356013e-01,  3.2392054853794e+00,  3.3060706611480e-01,                    A,  2.4010811473210e+00,  6.3551777879490e-01, -1.6070000517997e+00,                    B,  7.0857430669128e-01, -1.6839929396874e+00, -1.0656146032165e+00,                    B, -8.7581726027619e-01,  9.5711760305851e-01, -1.5109651275441e-01
                    A,  8.9774411854002e-01, -1.2140974503273e+00,  3.1910353189591e+00,                    A, -2.1683634492793e+00, -1.5138836183181e+00,  4.5742839237891e-01,                    B, -1.0271951133810e+00, -7.8944750235617e-01, -3.0979247843455e-01,                    B, -2.4692186798473e+00,  6.1821302046260e-03,  5.2482297533319e-01,                    A,  1.4940278035690e+00, -7.5347328953893e-01,  2.8056294974218e-02,                    B,  5.0967823112925e-01,  9.0898674563947e-01, -5.5286789975110e-01
                    B, -3.5351180525724e-02,  1.7140730225715e+00,  1.3029967656110e+00,                    B,  4.0196529446464e-01, -2.1425134015805e+00,  5.7757683530941e-01,                    A, -1.2885362987409e+00,  1.5606215429847e+00, -4.4518954801160e-01,                    A, -4.0490600801475e-01, -4.6355397093792e-01,  4.9053154513213e-01,                    B,  2.9559388747408e-01,  2.4827287390320e+00,  2.2714424592392e+00,                    A,  1.0160804894914e+00,  2.9106933863573e+00,  1.1183029491449e+00
                    B,  4.7856887879109e-01,  1.0148229957842e+00,  1.0092484028736e-01,                    A, -1.6139010847487e+00, -1.9990298809475e-01,  5.7473556486556e-01,                    A,  1.1143447965150e+00, -1.2852828945895e+00, -1.7572138702445e+00,                    B,  3.5382659078534e-02,  2.3451848369331e-01, -1.1091429533902e+00,                    B,  1.5927648613795e+00,  1.9358457831420e+00, -1.4976925721757e+00,                    A, -2.1483051442815e+00, -1.5214606113226e+00,  1.8719466611552e-01
                    A, -2.0186347639093e+00, -2.5212917107948e-01,  2.2750427556237e+00,                    B,  5.3952426766454e-01, -1.3149483047449e+00, -2.2410008325834e+00,                    A,  4.0176436487196e-01,  1.3120102498058e+00,  1.9187483115478e+00,                    B,  7.4123792850046e-01, -2.3404535181809e+00,  1.6346316813970e+00,                    B, -1.3779819492478e+00,  1.2333970475271e+00,  3.2963077611563e-01,                    A,  2.8756834450894e+00, -3.3403267802646e-01,  9.6126946011179e-01
                    B, -4.0380022970681e+00, -3.1944932720688e+00,  4.8017709124926e-01,                    A,  1.1655924281667e+00, -3.3304465638787e-01, -6.7532845992328e-01,                    A, -2.7876937159242e+00,  5.4670495563566e-01,  2.4991955609870e-01,                    A, -6.9121879983236e-01,  1.6087792469221e+00, -1.0298103718356e-01,                    B, -1.8798817661075e-01,  4.0383477408639e-01,  2.9911850124084e+00,                    B, -1.1207545346573e+00, -2.7958362525452e+00,  1.5940355094845e+00
