##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.6678977192467e+00,  4.2000679751115e-01, -2.0712013769855e+00,                    B, -1.3629488604913e+00, -1.0228858102636e+00, -4.2171243919409e-01,                    A,  4.1407311075826e-01,  9.5079652725616e-01, -7.6554948062139e-01,                    A, -8.3694210596432e-01,  1.4452328008694e+00,  1.5203317942791e+00,                    B,  4.0437626978866e-01,  2.4714067173486e+00, -1.3232017269574e+00,                    A,  5.3116743388940e-01,  1.4706489307780e+00,  2.9202411907685e-02,                    B,  6.1602533223955e-01, -5.1738537301260e-01,  7.0011364475964e-01,                    B,  1.0393817719762e+00, -1.4386349298803e+00, -1.0994963970112e-01
                    B,  1.2256805212246e-01, -2.2150359822784e+00, -5.7292275165112e-01,                    A, -1.5097771716813e+00, -7.4194825070194e-01,  5.1522499791161e-01,                    A, -1.5638568826025e+00,  2.1156294774334e-01, -2.9187124738119e+00,                    A, -2.3664615200618e+00,  9.4291333141688e-01,  4.3321882780431e-01,                    B, -8.0235031307247e-02, -1.4822204919572e+00,  1.2999969507656e+00,                    B,  2.1834318138624e-01, -8.8873094773200e-02,  2.7179078303383e-01,                    B, -1.0461252389206e+00,  2.8296340875743e+00, -1.3657744139035e-01,                    A,  2.6600130068378e-01,  1.1989650127478e+00, -6.8916038493824e-01
                    B,  5.7994258704024e-01, -1.5910057719039e+00, -2.9158646560093e-01,                    A, -5.9751186446552e-02,  1.1851413819649e+00, -7.5166614154132e-01,                    A,  7.4610042936133e-01,  2.5875705798742e-01,  7.5995026250574e-01,                    B,  9.7682824398141e-01, -9.9871089642117e-02, -4.8499521383247e-01,                    B,  9.9405058647113e-01,  9.0921062495637e-01, -7.1196244443846e-01,                    B, -8.8735738334610e-01, -7.3775050626332e-01,  5.3750870289154e-01,                    A,  1.3014989328236e-01, -9.4158144586185e-01, -1.4752622828208e+00,                    A,  4.0810381201473e-02,  1.8508638181094e+00,  1.8501139569614e+00
                    B, -1.1308686898840e+00,  6.0078613914085e-01,  2.2734868463041e+00,                    B, -1.3866736282605e+00, -2.2166657557797e+00,  8.6622646582679e-01,                    B,  1.1633569852409e-02,  1.2897481523858e+00, -1.0765945245694e-01,                    A,  2.7021607242258e-01, -1.1388342945995e+00, -9.3386278276060e-01,                    A, -1.1365061683233e+00,  1.1509337630404e+00, -2.5332087014015e+00,                    A,  4.8678466367809e-01,  1.0578875209093e+00, -1.7437471315021e+00,                    B, -8.1469405712121e-01, -2.1932529873560e-02,  5.6518738858732e-01,                    A,  9.8800438832435e-01,  7.0210094481424e-01, -6.1921182445777e-01
                    B, -8.4914567921035e-01, -1.7230399708498e+00, -1.7613655697326e+00,                    B, -1.9647007962324e+00, -5.7191656713659e-02, -1.8205332231515e-01,                    A, -3.2169793894417e-01, -1.6601727099251e+00,  1.0457491957724e-01,                    B,  1.3058883032850e+00, -6.4403800776804e-02, -9.2189323199643e-01,                    B,  7.2620842099007e-01,  1.1635334125367e+00,  1.8326538229212e+00,                    A,  1.5775425030172e+00, -4.9117156265440e-01,  4.7969243624234e-01,                    A, -5.5671328761180e-01,  1.1269663708428e+00, -3.2487874765238e-01,                    A,  1.4790397755229e-01,  8.1173748621626e-01,  8.6524567066077e-01
                    A, -9.3450082679634e-01,  9.6629421528164e-02,  2.2149642293103e+00,                    B, -7.3001688614725e-01, -1.0564338925865e-01, -2.7406064705545e+00,                    B,  2.6373076074033e+00,  2.6471427979504e+00, -1.4456295596217e+00,                    A, -3.0986328901826e+00,  1.2129207839056e+00, -4.6788944433052e-01,                    A,  5.9497150546807e-01,  1.9456404927568e+00, -1.0663659890427e+00,                    B,  9.3229853707458e-01, -7.6222858519901e-01, -6.6616974591952e-01,                    B, -1.0702927786290e+00, -9.5423531876944e-01, -3.5208381696137e-01,                    A, -1.0807664899133e-01, -1.8747004811945e-01,  2.7056974636520e-01
                    A, -1.0942964788887e+00, -8.5293678995121e-01,  1.2204359327986e+00,                    B, -9.4496408887497e-02,  6.4107820765509e-03,  8.4317037763110e-03,                    A, -1.9710955854997e+00,  1.0680133447823e+00,  8.8297001012056e-01,                    A, -1.5816171396802e-01,  9.5738550540916e-01, -6.0445951491026e-01,                    B,  2.0452970370683e+00, -1.6386774520630e+00,  7.7407218780993e-01,                    B, -1.4573989756020e+00, -2.4036518851829e-02, -1.3316278305587e+00,                    B,  7.5527441645851e-01, -2.5291344004016e+00, -1.4944708923233e+00,                    A, -2.6459073382972e-02,  1.0334779633202e+00,  7.8341895241905e-01
                    A, -1.7283015373224e+00, -6.4117625977819e-01,  4.3520764816796e-01,                    A, -6.6624972809814e-01,  4.4127801022498e-01,  2.7882834283786e-01,                    B, -2.0984793624950e-01,  1.4426211207069e+00, -2.8242591302325e+00,                    B,  4.6505562909407e-01, -1.6622301733151e+00,  8.1191626634977e-01,                    A, -9.8070759035831e-01,  1.1564801426088e+00,  1.6412336113416e+00,                    A,  6.2345704881502e-01,  1.6636783546655e+00,  7.9237661794336e-01,                    B,  1.6578304805124e+00, -8.8010402024324e-02,  6.4939198292185e-02,                    B, -1.7699948208647e+00,  1.5752456674582e+00,  1.1853867378602e-01
                    A, -6.5205369010658e-01,  8.7662934828170e-01, -2.8412522719763e-01,                    A,  1.2344038195084e-01, -5.6580723667384e-01,  2.1017256022436e-02,                    B,  1.5342507784159e+00, -1.0193445509660e-01,  1.5635056818462e+00,                    B, -1.3550975224498e+00, -1.4830729527327e+00,  7.6548293444486e-02,                    B, -2.7566141459035e+00, -1.0566824820144e+00, -1.0896316127982e-01,                    B, -1.1166029279032e+00,  2.2382904380029e-01, -1.2057387890075e+00,                    A, -6.0549999414824e-01,  2.0347176029648e-01,  1.2724839120212e+00,                    A,  9.2541752406534e-01, -1.7492574114714e-01, -1.0763985889909e+00
                    B, -5.3252981574482e-01,  2.9413591253534e-01, -6.5138100518910e-01,                    A, -1.9382659437092e+00, -2.1848090517875e+00,  1.8213761673745e+00,                    B, -3.7972567102226e-01,  2.0106697680416e+00, -9.9195226741761e-01,                    A, -1.9782168323096e+00,  4.9667607691256e-01,  1.7423567822647e-01,                    A, -1.0174667068566e-01, -2.9003371435197e-01,  3.1859522375666e-01,                    B, -6.0527398121805e-01, -1.8611227473094e+00,  8.6127746096881e-01,                    B, -3.1230321701747e-01, -1.2565780930950e+00, -1.8446159284818e+00,                    A,  1.7583377100257e+00, -9.0997938770040e-01,  1.6077521759863e+00
