##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  4.8227136121914e-01, -1.2160300805346e+00,  2.1940439076389e+00,                    A, -3.2130329075102e-01,  1.5353243794673e+00,  8.6923339340272e-01
                    A,  2.3321886647171e+00, -8.6160184301952e-01, -3.1923295798576e-01,                    B,  2.4072850734659e-01, -1.5564941723759e+00, -3.5209615524382e-01
                    B, -9.5817756366854e-02, -3.0403890870805e+00, -1.2931725185105e+00,                    A,  4.1535911583660e-01,  2.5475913950980e+00, -9.1119565426341e-01
                    A, -1.9223411775513e+00,  2.0598606782333e+00, -1.4908402996310e+00,                    B,  7.1032318838190e-01,  3.5720689684370e-01,  7.9591803123331e-01
                    A, -4.6637336543409e-01,  7.7903120375630e-01, -1.8354842616515e+00,                    B, -7.1408663114332e-01,  1.2446946983658e-01,  3.0574059355273e-01
                    A,  1.1672358390764e+00, -9.6881638402346e-02,  2.0668438960252e+00,                    B,  3.9504317288512e-01, -1.6165765224472e+00, -1.1633835115196e+00
                    B, -1.2831103901225e+00, -1.4570463001886e+00, -1.8798060132148e-01,                    A, -6.9133852443265e-01,  1.9829552509198e+00, -1.5450413307060e-01
                    A, -1.2008161913493e+00, -7.2841058521128e-01, -1.1086808189911e+00,                    B, -6.1529228485577e-01, -1.1589862287946e-01, -2.8537785005953e-01
                    B, -8.3341695466507e-02, -8.7906278756901e-01,  2.0130721371594e-01,                    A, -1.9317579230200e+00,  1.2478560698932e-02,  2.4678189860501e+00
                    A, -1.8300330460784e+00, -1.4630888698672e+00, -1.2807869094452e+00,                    B, -1.1628473783323e+00,  2.6126875243537e+00, -3.5471659948368e+00
