##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B,  2.7095743557817e-01,  1.5263979056470e+00, -1.7501492361780e+00,                    B, -2.4039771982138e+00, -9.7476069611408e-02, -1.4618534728820e+00,                    B, -3.8069932426140e-01, -1.4070749728800e+00,  4.8981251916002e-01,                    A, -1.0331045577626e+00,  7.5423864469426e-01,  2.4893477454577e-01,                    A, -1.8805074289395e+00,  1.8814733184442e+00,  7.8082364193247e-01,                    A,  7.9213183427827e-01, -3.1418543090861e-01, -3.2408839043428e-01
                    B, -9.9503051481261e-01,  1.6674745126509e+00, -3.7905547084790e-02,                    B, -9.5376277505397e-01, -1.5578381162856e+00,  2.1471692424662e+00,                    A, -2.0537715233653e-01,  1.8847269652470e+00, -1.3869934080329e+00,                    A, -2.8503089389384e+00, -5.5744384342384e-01, -1.7936515660736e+00,                    B,  3.1976731218415e+00,  1.2588776398603e+00,  6.1909125151876e-01,                    A, -1.8255741418173e+00,  2.3740511222661e-01, -1.2228563986720e+00
                    A,  6.8809655442825e-01, -4.1185732702410e-01,  1.8853160494983e+00,                    B,  2.8201917093030e-02,  1.4173147222117e+00, -1.0515713459625e+00,                    B,  1.1987716024196e+00, -1.3680229288230e+00, -8.9621996368854e-01,                    A,  3.0162211034617e+00, -1.4568427275829e+00,  4.1061402577978e-01,                    A, -1.5915465606759e+00, -1.3400088877134e+00,  1.6257157121131e+00,                    B,  1.7681252470695e+00,  5.3601945792293e-01, -1.2914908416498e+00
                    B, -2.5224503370467e+00,  8.9209094424522e-01,  3.1907785597447e+00,                    A,  2.5457153297832e+00,  5.6548317785791e-01, -1.5834764072689e+00,                    B,  8.6670872184820e-01,  6.0722244339764e-01, -9.7902906296558e-01,                    A, -8.3661627575025e-01, -4.2381789129729e-01,  4.6515427994999e-01,                    B,  9.4012593602563e-01,  1.0967589787240e+00,  2.0041034851714e+00,                    A, -1.4274189589625e+00,  2.5672546988303e+00, -1.3370799537732e-01
                    A,  1.2624157632466e+00,  4.0203653585013e-02, -5.0134310315144e-01,                    A,  2.2444498829706e+00, -3.5150714214054e-01,  1.2670525214332e-01,                    B, -2.3318675101740e+00,  8.1809778584674e-01, -6.2052565266987e-01,                    B, -2.1805326129421e+00,  3.2633200483117e-01,  1.5866963451643e-01,                    B,  2.5109357890918e-01,  2.7490120425856e+00, -2.4131998218080e+00,                    A,  2.0111103504020e-01, -2.7073846325787e+00,  1.6034919634310e+00
                    A,  1.2824286433664e+00,  5.1942131918291e-02,  8.1351874383778e-01,                    B, -1.8149368116442e+00, -2.8635121615815e-01, -2.8029003329999e-01,                    B,  1.6021400987910e+00,  5.3260198711289e-02, -2.6851609302453e+00,                    B,  4.0002869090965e-01, -1.8356851461449e+00, -1.2647883643999e+00,                    A, -1.2418506787763e+00, -1.4836690693877e+00, -1.9494908100701e-01,                    A,  1.0211654602663e+00, -8.6420854126589e-01, -7.4358523779773e-01
                    A,  7.8145317893838e-02, -1.8199432493377e+00, -1.0917361204505e+00,                    B, -4.4113900017067e-01, -4.3339787213709e-01, -1.5699213546472e+00,                    A,  8.0459944374565e-01, -1.3796567203641e+00,  2.6426905715916e+00,                    A, -1.1729514653769e+00,  9.2115451771194e-01,  5.5248273366911e-01,                    B,  1.8978984739648e+00, -7.4299315542853e-01,  1.7223449548474e+00,                    B, -2.8720226701239e+00, -4.9365982767665e-01, -1.0557224083626e+00
                    B, -2.8653283647443e+00, -2.2440903956667e+00, -1.0087864369859e+00,                    B, -1.9489096160626e-01,  1.2549963674825e+00, -3.3081435176897e-01,                    A,  8.7406985735478e-01, -1.5475004694280e+00, -4.3570715391949e+00,                    B, -2.6975279782490e+00,  1.3684352557167e+00, -4.2469340020855e-02,                    A, -1.8718428049592e+00, -6.2382884310601e-01,  1.8549118486334e-01,                    A,  6.4319233411512e-01,  2.3327284330344e+00, -5.4161592267448e-01
                    A, -1.8531023473456e+00, -7.9165792598406e-01,  2.0323891632584e+00,                    A,  2.9520870062814e-01,  9.8238215877489e-01,  3.4131529870583e+00,                    B, -3.8957436492984e+00, -9.7615763009045e-01,  1.8566283611231e+00,                    B, -4.5659081587982e-01,  5.9335323320838e-02, -9.7958111546309e-01,                    B,  3.9692662638691e-01, -2.1955859271201e+00, -1.8679819920748e+00,                    A, -3.7062994564008e-01,  2.7925079012634e+00,  3.0893316934437e-01
                    A, -1.2536769159391e+00,  2.4385538034431e+00,  1.5465273760184e+00,                    B, -1.4006096696039e+00, -5.4294485333807e-02, -1.0036800377140e+00,                    B,  1.1057196591789e+00, -1.6968909176367e+00, -3.4942753709732e-01,                    A, -1.5758197033274e+00, -7.4987783807906e-01,  7.1923121091555e-01,                    B,  3.6150979139067e-01,  1.6119509885801e+00,  1.0183054542107e+00,                    A, -1.6921868733244e+00, -1.3583317699904e+00, -6.7958782220433e-01
