##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.2888330193633e+00,  3.2146513467022e-01,  2.2162385740541e+00,                    A,  2.0470625751068e+00,  5.3547038425230e-01,  2.1109693774660e-01,                    B, -1.4562427290000e+00, -5.1943268481059e-01,  1.3725522274544e-01,                    B, -8.2741091866098e-01,  1.6388346225820e+00,  1.3233890435558e+00,                    A, -3.9878851850149e+00,  9.5767716578856e-01, -1.4539437584170e+00,                    B,  1.0800920648728e-01,  2.3315212056415e-01,  2.4106543028937e-01,                    A,  1.6270974953297e+00,  2.6985087099598e+00, -5.2935573449652e+00,                    B,  2.7442372515411e+00, -8.1162822782902e-01, -8.9522578192838e-01
                    B,  1.2546846357476e+00,  6.4651661707073e-01,  4.6402200241063e-01,                    A, -1.4545380942647e-01,  2.2610706769155e+00,  4.2272472747789e-01,                    B, -6.9690850671832e-01,  2.4564478646055e+00, -9.2693470908362e-01,                    A,  2.5334804127488e-01,  4.4086398591242e-01, -1.8905693019657e+00,                    B, -5.4048727739643e-02, -7.1125109018696e-01, -2.1681389070486e-01,                    A,  2.5386808481675e+00,  3.2519111430404e-01, -2.0030270851297e+00,                    A, -1.5097505470212e+00,  3.1170535201241e+00, -1.0504949127564e+00,                    B,  9.9747652858191e-01, -2.4550341552002e+00,  9.5577590263371e-01
                    A, -1.0111807514534e+00,  1.2134708069149e+00,  1.4570823868126e+00,                    B, -8.1355239379809e-01,  2.4378815641612e+00,  5.6395459098188e-02,                    A,  1.7349005003586e+00, -7.1974432252707e-02, -2.3680779733685e-02,                    A,  3.9858789115157e+00,  4.9681407317664e-01,  2.6031307958999e+00,                    B,  1.9737732730378e+00, -1.0200258607919e+00,  2.4587738501341e+00,                    A,  5.4078565842071e-03, -2.1265044324349e+00, -1.3742923301828e-01,                    B, -8.0652621228199e-01, -4.5626279706436e-01, -1.1520248046521e+00,                    B,  1.8072225905324e+00, -1.0990410382240e+00,  6.7343298267906e-01
                    A,  2.1086953534537e+00, -8.7683330472832e-01, -3.8866913574689e+00,                    A, -2.8713389799426e-01, -9.3348127880974e-01,  1.6475286492799e-01,                    A, -1.8737943764911e-01,  9.8331442259220e-01,  3.1160378577451e+00,                    B, -4.9111476562492e-02,  8.6584741203836e-01,  7.8217811335931e-02,                    B,  8.8998056117674e-01,  1.6356878151038e+00, -2.0601228515833e+00,                    B, -1.9200635356933e+00, -4.1929627186685e-01, -5.0978319409500e-02,                    B,  1.7516670983032e+00, -6.4454020959459e-02,  1.2584953392950e+00,                    A, -5.7514725167437e-01,  2.2979784251792e+00, -1.8264369851559e+00
                    A,  1.9932530755358e+00,  2.9437339953327e+00, -1.4130657032992e-01,                    B, -8.1417625704244e-01,  1.6925372012374e-01, -4.6090880795723e+00,                    B,  3.9801084136027e-01, -2.5239065910181e+00, -3.1743260833973e+00,                    B,  3.1434205340643e+00,  2.6117920402561e+00, -2.7389963180610e+00,                    A,  1.6402709334452e+00, -8.3985118585226e-01, -2.7269529389050e+00,                    A, -3.0126961889293e+00,  2.8234268962374e-01,  2.2039310232522e+00,                    B, -9.4088221401348e-01, -1.4788108865965e+00, -2.6192957388023e+00,                    A, -1.5352281730125e-01,  5.8433759432165e-01, -1.6298515030448e+00
                    B, -4.3452043828008e-01,  6.3268046591140e-01, -2.9407558486965e+00,                    A, -1.5862395896491e+00, -3.1268788046754e-01, -2.2576136796292e+00,                    A, -4.7224256672319e-01,  4.4667235741969e-01, -1.3751182405345e+00,                    B, -1.5085292560313e+00, -6.9730071183360e-01, -7.9295204696584e-01,                    A,  1.7537320368333e+00, -1.2859800489119e+00,  1.8688746068352e-01,                    A, -1.7576426830203e-01, -3.0514495593193e+00,  8.7139303988300e-01,                    B,  1.5488770417165e+00, -6.4721891721534e-01, -8.3238075933312e-01,                    B,  8.5666728110711e-01,  8.3236354833466e-01, -2.9872851755171e+00
                    A, -2.0583001470797e+00,  1.7030362019523e+00, -4.6335070373575e-02,                    B,  2.6168331569243e+00,  1.5886504587982e+00,  1.1959112099883e+00,                    B,  5.8474800349009e-03, -8.2744358003114e-02,  1.0272196065864e+00,                    B,  5.8160094299904e-02, -1.0713124432689e+00,  3.3795015479176e+00,                    B,  7.8960020082598e-01, -2.3213648080825e+00, -1.4694030963479e+00,                    A,  2.3985241502728e+00,  8.9248501722917e-01, -2.7796454654856e+00,                    A, -7.5412944485894e-01,  6.0705006120209e-01, -4.6957321901314e-01,                    A,  6.0141775525802e-01,  1.1477583605196e+00, -6.0744841084636e-01
                    A,  3.6200656043789e-01, -8.5006054627305e-02,  3.7643119690686e+00,                    B,  1.3965312391422e+00, -2.7791253989386e+00,  1.4705441558383e+00,                    B, -1.7809186358296e+00, -1.4627148034605e+00,  1.9569451735647e+00,                    B, -1.2435618100433e+00,  2.6090278307287e+00, -1.0110447474014e+00,                    B,  1.9799626034685e+00,  1.6174743620396e+00,  8.7109748363651e-01,                    A, -1.5032948768015e+00,  2.1932216225660e+00,  2.3661555306324e+00,                    A,  1.1089956319722e-01, -2.7563979394435e-02,  2.9222373779884e-01,                    A,  2.6346848029214e+00, -8.7000358325410e-01,  9.2441593026201e-01
                    B,  7.4210050227791e-01,  3.9530366710265e+00, -1.2963377256182e+00,                    B, -1.3350667519298e+00, -2.1516397523449e+00, -2.4116703447267e+00,                    A,  8.2973055534034e-01, -2.3462089317828e+00,  3.2329984141207e-01,                    B,  6.4735955086975e-02, -2.3864934328547e+00, -2.3895651391124e+00,                    A,  5.0959604870700e-01,  5.3141556946956e-01,  8.9962691287442e-01,                    A, -1.0149602270024e+00, -2.8561627173296e+00,  1.5524113767491e+00,                    B, -1.7446759140756e+00, -3.4569945773788e-01,  4.3924523313528e-01,                    A, -2.7834699333200e+00, -1.5344176113639e+00, -1.6786326086203e+00
                    B, -4.5072579475021e+00,  5.7157830475365e-01, -1.0068118728454e+00,                    A, -5.2360691058652e+00,  2.3346522180032e+00, -1.0675549082053e+00,                    B, -1.3037306349368e+00, -5.8728278654912e-01,  4.9037172702592e-01,                    A,  1.4109666357416e+00, -2.5540350767758e+00, -4.4394313362622e-01,                    A, -1.8843044612127e+00, -1.2925135626624e+00, -3.7807005520845e+00,                    B, -2.2039427270350e-01,  8.4697757601260e-01, -1.0887675213065e+00,                    A, -1.1253652107597e-01,  3.2193701525449e+00, -7.2825036754362e-01,                    B,  3.6778893986551e+00,  1.3346780709053e+00,  2.8320050630871e+00
