#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 1.530467384060e+00, 2.505156154563e+00, 2.825908827191e+00,                  A,-2.473369895292e+00,-6.069231634816e-01, 1.465356079779e+00,                  A, 2.382397181758e+00, 1.166308736585e+00, 5.870358275195e-01,                  B,-2.566388070007e+00, 9.175398472111e-01,-3.438437863237e-01,                  A,-7.374520728204e-01,-2.220385615484e+00, 5.602957089181e-01,                  B,-6.134256544819e-01,-1.575316215553e+00,-6.934413052265e-01,                  B,-2.578476905348e+00, 3.899852487246e+00,-6.641462367103e-01,                  A,-1.954657927083e-01, 5.604163375669e-01,-1.722882573244e+00
                  A,-5.244722982558e-01, 7.856997059949e-01,-2.175353481303e-01,                  B, 8.301153986595e-01, 2.124251797685e+00,-1.680942296340e+00,                  B,-1.859967032040e+00,-2.659146563831e+00,-2.030186594405e+00,                  A, 1.690440433312e-01,-2.428671195703e+00, 1.370541581187e+00,                  A, 2.281955434126e+00,-1.986967213867e-01, 8.621227612060e-01,                  B, 2.842913573964e+00,-3.324879223158e-01,-1.966090510998e+00,                  A, 3.416686047199e+00,-8.682358625787e-01,-2.094264894372e+00,                  B, 1.013963217763e+00,-4.179533071372e+00, 8.725958828776e-01
                  B, 6.252238848174e-01, 7.451185613935e-01,-1.720832868553e+00,                  A, 1.007342664403e+00,-9.531143693711e-01, 2.933357154478e+00,                  A,-2.160170485715e+00, 5.645195984877e-01, 2.088503748401e+00,                  A,-7.036318369555e-01,-2.318476932625e+00,-1.180410924338e+00,                  B,-5.241655173691e-01,-5.424853070364e-01,-7.720934855664e-01,                  A,-2.305499734341e+00, 3.064690205468e-01,-2.151464456436e+00,                  B,-2.811271478478e+00, 1.837016380204e+00, 3.098442309069e+00,                  B,-1.621132302963e+00, 1.181146633214e+00,-8.989485314180e-01
                  A, 1.405494682983e+00, 3.357423917892e-01,-1.740453036916e+00,                  A,-2.103806650143e+00,-1.332744316380e+00, 3.503475522148e-01,                  A, 1.654072090212e+00,-6.325395650912e-02,-5.571274105293e-01,                  B, 1.146423072412e+00, 6.868443122519e-01, 3.693409996206e-01,                  B,-2.539031425104e+00, 6.841499910503e-02,-1.077003083738e+00,                  B,-5.649579382858e-01, 6.244044228873e-01,-6.023709744842e-01,                  A,-9.655930941263e-01, 1.394754813310e+00, 9.972610543646e-01,                  B,-1.171443286955e-01,-2.859162717953e-01,-1.120534982695e+00
                  B,-3.131657318194e+00,-3.263139208955e+00, 6.022312778812e-02,                  B,-2.491576184831e+00, 5.796711518828e-01,-3.472414701431e-01,                  B, 1.927862078471e+00, 6.081537740687e-01, 6.742793102326e-01,                  A,-4.468564211587e-01, 2.014866334979e+00, 8.809963062968e-01,                  A, 2.277920175094e+00, 9.215606542236e-02, 1.016628206924e+00,                  B,-1.605016305127e+00, 7.120695504400e-01, 2.423176178450e+00,                  A,-3.215434696876e+00, 5.882367135966e-01,-2.501757607707e-01,                  A, 1.668376148491e+00, 9.710118789424e-01,-1.026512948981e+00
