#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-3.660772769352e-01, 5.162479391593e-01,-2.800218850938e-01,                  B, 1.639624991102e+00,-3.479466251003e+00, 8.488045155496e+00
                  A, 7.048032683876e-01, 3.326184494571e-01,-3.425828800700e+00,                  B, 2.696039769202e+00,-3.963774887025e-01,-3.522950188156e+00
                  A,-4.698044692895e+00, 4.602468957001e+00,-1.032751654198e+00,                  B,-2.669993666499e+00, 3.282866581078e+00,-4.815729145391e-01
                  B,-2.530497466152e+00, 1.859773893447e+00,-7.830635888479e-01,                  A,-7.245769442134e+00, 4.928998535040e+00, 7.533950639183e-01
                  A,-2.237507724819e+00, 9.473494751057e-01,-6.235413116420e-01,                  B,-2.880771094720e+00,-1.653674557508e+00,-1.572539408606e+00
