##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B,  4.2366512936304e-01,  1.6427387794377e+00,  2.3762159518016e-01,                    B, -5.8053038935797e-01,  1.4093493859865e+00,  1.2910273338979e+00,                    A, -1.3193222273059e-01, -3.5734351167540e-01, -9.6311083377218e-01,                    A,  3.1743557199171e-01, -1.8884877050699e+00, -5.7284786661025e-02,                    B,  1.0704621720425e+00,  4.9111843251083e-02,  9.1873512853453e-01,                    A, -6.3102468214536e-01, -3.0491456298032e+00,  1.7991024785959e+00
                    A,  4.9627517741321e-02,  1.4051955663092e-02,  8.5408357936633e-01,                    B,  1.9039230149984e+00,  4.2559705113533e-01, -1.1291529597467e+00,                    A,  2.7037728925827e-01, -6.4730210918998e-01, -4.5057654386181e-01,                    B,  4.3510545820381e-01, -9.2853605088606e-01,  2.3593198699416e+00,                    A, -1.6084263368085e+00,  5.6769658265171e-01, -6.5295807727965e-01,                    B,  1.4612651247890e+00, -1.5588988256793e+00, -1.7676520905402e+00
                    B,  1.8208084374607e+00,  1.2619774492232e+00, -8.6696143454191e-01,                    B, -8.3071010835764e-01, -2.2920121591355e-01, -4.5784830212090e-01,                    B, -2.3929167385639e-01,  6.6574792503008e-01,  8.0800933523395e-01,                    A,  6.1726811532832e-02,  2.0264178451517e+00,  1.0639116379721e+00,                    A,  2.4312179566536e+00, -3.5906463419557e-01, -1.7245266350819e+00,                    A, -8.7197141369158e-01,  8.3071206037374e-01, -1.1809344918248e+00
                    A, -2.7600607802309e-01, -2.5031506271564e+00, -4.3707097470396e-01,                    A,  1.8896344662560e+00,  2.4949156885226e-01,  1.5290512758769e+00,                    A,  8.2410996492301e-01,  7.4341867882376e-01,  2.4819528253770e+00,                    B, -4.3178653987057e-01,  6.7980827815042e-01, -6.8291871376038e-01,                    B, -1.0795319302850e+00,  1.3661483055811e+00,  1.5608747165850e+00,                    B, -1.4348776345178e+00, -2.2386150091668e+00, -1.0601801702157e+00
                    B,  1.0844488892648e+00,  9.8531905380968e-01,  5.5680499127662e-01,                    A, -1.3768183024567e+00, -4.1767291049485e+00, -1.3851407344212e+00,                    B,  1.2223211432343e+00, -2.3257050030411e-01, -3.6998491559609e-01,                    A,  1.6858229367289e-01, -4.5730490567389e-01, -1.3222696339852e+00,                    B, -1.0120953209938e+00, -9.4998431052044e-01,  1.0555925507143e+00,                    A, -3.9440164511021e-01,  1.0720123559543e+00,  2.1431770448526e-01
                    A,  2.1442814088733e+00, -9.6460187072846e-01, -1.0168400413912e+00,                    B, -1.8825439349605e+00, -8.9146813184355e-01, -3.6362748679113e-01,                    B, -3.6885616223648e-01, -3.5549843231002e-01, -2.4395075794592e+00,                    A,  2.1569348159285e-01, -1.2865180524794e-03, -8.1817915156142e-01,                    A, -1.5917352075434e+00, -5.0094888098494e-01,  1.0499211399776e+00,                    B,  1.0666306494781e+00,  2.6471515158228e+00,  1.1040353780007e+00
                    A, -7.0401412598581e-01,  2.1423582098175e+00,  3.7705827002550e-01,                    A,  1.0648044060913e+00,  3.0165748924307e-02,  9.0379588506780e-01,                    B, -8.1178571600747e-01,  9.2521597699611e-01, -3.3235150661968e+00,                    A,  2.5685372156672e+00,  2.6717062700951e-01, -1.3989979368773e+00,                    B,  1.2275558276805e+00,  4.0187107086436e+00,  8.5331794510159e-01,                    B,  2.6811706327880e+00, -6.5596751854836e-01,  1.3800407940209e+00
                    A, -1.0711900379704e-02, -5.4944297832900e-01,  8.5398026409706e-01,                    B, -1.3962296017222e+00,  2.0359697353341e+00,  6.8261786515682e-01,                    B, -2.0752134289760e+00, -1.9081315322560e-01, -1.1806798714116e+00,                    A, -8.5070982251683e-01,  1.4255299451610e+00,  1.7086178857353e-02,                    A,  3.8124656463534e-02, -1.4291348984860e+00, -1.1333483337952e+00,                    B, -1.3600873773567e+00, -9.5651554331168e-01,  4.5501067222524e-01
                    A,  6.9295741387004e-01,  5.8560411950046e-01,  5.5839139358022e-01,                    B, -1.6779608683439e+00, -5.2687238175633e-01,  2.6226112014826e+00,                    B,  1.3807489897952e+00,  1.0003022004357e+00, -9.9659591507177e-01,                    A, -9.1378796112445e-01, -1.5751234127806e+00,  3.5505366293620e-01,                    A,  9.3444405419181e-01, -2.9599032673656e+00,  1.9953559009917e+00,                    B, -2.5520376949609e-01, -1.0440082815663e+00, -6.6300982926905e-01
                    A,  1.2560362212465e+00, -8.9353226773091e-01,  9.8186667086681e-01,                    B,  4.1086900571761e-01,  4.9971102082311e-01,  5.3691051140053e-02,                    B, -1.1443510674158e+00,  4.3629425018516e-01,  5.3245620708979e-01,                    A, -2.1855503011004e+00, -1.2826059367911e+00, -4.6115995979570e-03,                    A,  1.1070970493583e+00,  2.0212933047657e-03, -2.5185148983193e+00,                    B, -8.4415971197946e-02,  2.5250819019674e+00, -2.2645787694938e+00
