#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-7.263170720718e+00, 2.425930864820e+00, 1.243151678861e+00,                  A, 1.258120922152e-02, 6.661912273224e-01,-1.460326858943e+00,                  B,-6.906685148385e+00,-2.375102176053e+00,-8.952198427992e+00,                  B, 5.946151292909e+00,-3.477754451701e+00,-4.717775551725e+00,                  A,-6.954828084250e+00,-3.035641212147e+00, 4.348435565504e-01,                  A, 2.719523988444e+00, 1.689558816353e+00, 8.660205902684e+00,                  A,-1.096524407791e+01, 2.969197722389e+00, 1.256756419131e+01,                  B, 1.916002893568e+00,-6.549447326620e+00,-5.886089635693e+00
                  B, 6.112605697824e+00,-5.308487765040e+00,-5.276227177503e+00,                  A,-1.001514458293e+00,-4.732544062816e+00, 8.433200693213e-02,                  A,-3.964610663614e+00, 4.142082226120e+00, 8.036087727255e+00,                  B,-7.146340358100e+00,-2.611100400517e+00, 4.199277722193e+00,                  A, 2.565665305859e+00, 4.175320271319e+00, 4.478846389909e+00,                  B,-4.514881215476e+00, 1.527649487418e+00, 8.558311515587e+00,                  B,-5.608362266749e+00, 5.245669062767e+00, 3.332592593703e-01,                  A,-7.543238022654e+00,-1.555457933804e+00, 4.149097558588e+00
                  B,-1.921180133081e+00,-8.439765025108e+00, 2.610062153041e+00,                  A, 6.741685538604e-01,-5.407486798762e+00, 2.198620562900e-01,                  A, 3.888652274793e-02,-7.445761597556e-01, 4.073043761451e+00,                  B, 5.127078083499e+00,-3.513919848051e+00,-3.487665570414e+00,                  A,-1.008059800064e+00,-2.518672766984e+00, 2.195853027454e+00,                  B,-3.586669023227e-02, 1.854004502256e+00, 3.491641090282e-01,                  B, 1.325871072529e+01,-6.149301612567e-01,-9.181682303111e+00,                  A,-4.611047250885e+00,-5.946564804714e+00, 1.618423676907e+00
                  A,-7.522844059607e+00, 1.560969151115e+00, 6.332840462970e+00,                  B,-2.706144003882e+00,-5.989048738310e+00, 3.057825763486e-01,                  B, 8.244891842274e-01, 2.399488785036e+00,-2.977422799352e+00,                  B, 6.921930596172e+00,-1.367901974782e+01, 5.859319838700e+00,                  A, 5.433856383335e+00, 4.702853324521e+00,-8.877166208884e-01,                  A,-6.433361085463e+00, 3.153841328052e+00, 1.500162232885e+00,                  B,-6.682530092092e+00, 1.123558644269e+00,-7.913405912929e+00,                  A, 5.536643062374e+00, 3.834658822799e+00,-2.512638952814e+00
                  B, 9.534640180960e+00, 1.056414428605e+00, 5.323758677769e+00,                  A, 8.344957919467e-01, 1.942896203173e+00, 2.746866118389e-01,                  A,-4.000933742704e+00, 1.902072140057e+00, 3.827972092811e+00,                  A,-2.866464441556e+00,-1.472503622216e+00,-1.346103458165e+01,                  B,-6.935865472707e+00,-2.500988666325e-01,-2.647953114787e-01,                  B, 7.687325318237e+00, 6.877839687608e-01, 7.098039717232e+00,                  A,-5.295611305097e+00,-2.980122326995e+00,-4.144918703975e-01,                  B,-3.014736062452e+00,-1.227844996054e+00,-1.002017813543e+00
