##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -4.4973268928137e-01,  9.1908501940230e-01, -1.7086907094148e+00,                    A,  1.3386519518003e+00, -2.1865018190796e+00, -3.1285627772120e+00,                    A, -1.1940377849540e+00, -4.1648681352365e-01,  1.2258094770276e+00,                    A, -4.1242260904758e-01, -1.3163868686604e+00, -1.2041467001330e+00,                    B, -1.4708330644659e-01, -2.2232971577777e-01, -2.7337854673849e+00,                    B,  3.8113874239516e-01,  4.7406110441491e-01,  3.0685550119092e-01,                    B,  9.0811082896397e-01,  8.8011384632245e-01, -9.0678791095808e-01,                    A,  2.0173018978305e+00, -1.6108747789536e-01,  1.0058206878979e+00
                    B,  1.6922125681821e+00,  1.5866771392678e+00, -5.4502328061829e-01,                    A, -3.5246560554463e-01, -4.7685211208397e-01, -1.6314568466225e-02,                    B,  1.6079463720583e+00,  2.0881377767755e-01, -1.4578809855144e-01,                    B, -1.0251591023178e+00,  3.2698190611868e-01,  1.4638828473347e+00,                    A, -2.1313977597646e+00, -3.0818501211001e-01,  9.9982310840413e-01,                    A,  1.0436070688821e+00, -1.5518482395134e+00, -3.5602010104737e-01,                    B, -4.9805444874577e-01,  1.2210898377354e-01, -1.4875353336293e+00,                    A,  1.5248170516938e+00, -1.4242376078688e+00,  6.4951943612827e-01
                    B,  2.2508299840206e+00,  2.0107226475944e+00, -3.8093526808614e-01,                    B, -7.8475701320661e-02,  2.2957350154017e+00,  8.5591147535620e-01,                    B,  9.6086061441542e-01, -2.3347384020393e-01, -2.0847058698839e+00,                    A, -7.6258946634717e-01, -2.1054556319184e+00,  3.5878297490137e-01,                    A, -1.0275158104354e+00, -1.6985620478870e+00, -5.3633560807485e-01,                    A, -2.0553605221248e+00,  6.7105861482896e-01, -8.5701360507966e-01,                    A, -2.1664016109370e-01,  1.9455228066749e-01,  1.3493470129941e+00,                    B,  9.4086383868370e-01,  1.2602149575634e+00,  4.1567493466004e-01
                    B, -1.6603637409958e+00, -1.4358220729840e-01, -1.0937764171826e+00,                    B,  2.0959296634170e-01,  3.2862247681291e+00,  7.5089021278252e-01,                    A, -5.9118382463444e-02, -8.5705648498637e-01,  6.9851157722668e-01,                    A, -2.5387064423707e+00, -6.0437484871509e-01,  5.8322348423482e-01,                    B,  5.0422772569188e-01, -1.4007929510372e+00,  1.9872055484593e+00,                    A,  2.2697249558541e-01,  3.9370408854600e-01,  2.7393838003615e+00,                    B, -6.9082163849396e-01,  2.8672634012546e-01,  1.0552403151595e+00,                    A, -9.6875859186791e-01, -1.7896138708338e+00, -2.5994990153001e+00
                    B,  8.3633931674860e-01, -6.7361934458478e-01,  2.3980850012581e+00,                    B,  6.6067247732770e-01, -1.7487875045126e+00,  3.1522651222278e-01,                    B, -1.3982433861393e-01, -7.7598676136763e-01, -1.5575321120894e-01,                    B, -9.9800936347459e-01,  7.4789282937252e-01,  3.9119181983999e-01,                    A, -7.6357521236319e-01,  1.1976201593471e+00, -2.8591281553868e+00,                    A, -1.2855181636475e+00,  4.2796050987975e-01,  1.9320057478757e+00,                    A, -2.0698690953345e+00, -1.1293209883207e+00,  3.8169227889443e-01,                    A, -6.8354458474542e-01,  1.1016653474031e-01, -9.2966857629185e-01
                    A,  5.2051274789970e-01, -1.2226498469711e+00,  3.7125402486396e+00,                    B, -3.9806067845658e-02,  3.1867182862317e-01,  2.4885148942463e+00,                    A,  1.6304769251218e-01,  1.5789453605193e+00,  8.1099365006389e-01,                    B, -1.1662346387552e+00,  2.5980380490949e-01, -8.3755287498506e-01,                    A, -1.0254607559086e+00, -2.1927993534723e+00,  3.1165443598908e-01,                    A,  3.8594880387276e-01, -2.7497914812079e-01, -4.4093339332748e-01,                    B, -7.6294540620840e-02,  1.5100097650858e+00, -9.6210503441592e-01,                    B,  2.2512456165020e+00, -1.9935399333294e+00,  1.1566382187625e+00
                    B,  1.8934749319201e+00, -5.5514772046530e-01, -7.0260927925177e-01,                    B,  1.3094582532370e+00, -2.7912085763317e-01,  1.5971755595125e+00,                    B, -1.8547537930218e+00, -1.0321883227349e-01, -1.7659050613839e+00,                    B, -1.6363936052700e+00, -1.1568169540193e+00, -7.1161730524034e-01,                    A,  4.3104518194953e-01,  2.2276574213722e+00,  3.4677327995060e-01,                    A,  7.8475171406571e-01,  1.2244356133696e+00, -2.9982185923244e-01,                    A,  7.9734556824269e-01, -1.4171567183912e+00,  2.6968057571198e+00,                    A, -1.4320716860759e+00,  1.8900756357157e+00,  6.2735195368217e-01
                    A,  1.5811688017017e+00, -2.4122228131651e+00, -1.1800317012941e+00,                    A, -8.3650246954748e-03, -1.3309304161928e+00,  7.3114266377800e-01,                    A, -1.7965298824530e+00,  1.2979601580990e-01,  7.6081217872629e-01,                    B, -4.0265860731143e-01,  1.4367726960744e+00,  2.5304213453322e+00,                    B, -9.2260842833284e-01, -1.5448475990904e+00, -1.1339850353571e+00,                    A,  4.8988091920709e-01, -4.6632801382679e-01, -7.1981676233552e-01,                    B,  2.2298954211828e-01,  9.4519607784376e-01, -5.6596229578456e-01,                    B,  8.4377165523345e-01,  1.4720484978721e+00,  2.3387530032871e-01
                    A, -7.4086960627069e-01,  1.1683973483762e+00, -1.7453933181034e+00,                    B,  5.6968218982433e-01, -1.1837034102929e+00, -1.0340822119225e+00,                    B, -5.2632759655905e-01, -8.8580909209171e-01,  1.4064079201153e+00,                    A, -1.3163110457055e+00,  1.0866875708068e+00,  4.0587300030436e-01,                    B, -2.9478725323126e-02,  1.0957051803149e+00,  4.3246489280511e-01,                    A,  1.2334950649055e+00, -1.9807106817623e+00, -2.4882610268080e+00,                    A, -1.4490796537181e+00, -9.4926312086295e-01, -6.9169794638960e-01,                    B,  1.9347022871217e+00,  4.9116759868312e-01, -9.2970958994935e-02
                    B,  7.0114390578476e-01, -2.1738422042791e+00,  2.6103239168097e+00,                    B,  1.2575500625070e+00,  8.3475275836958e-01,  5.4189567487934e-01,                    A, -1.3870212101787e+00, -6.1182378250613e-01,  1.6284219500309e+00,                    A,  8.3396512721428e-01, -2.1164472280238e-01, -1.0561495598960e+00,                    B, -3.6392376176318e-01, -3.1987613845221e+00, -1.3472867089217e+00,                    A,  1.3616588332960e+00, -1.0748170872979e+00, -1.9923979758094e+00,                    B,  6.9784746028348e-01, -9.5887264061831e-01,  9.9258845522303e-01,                    A,  5.6904810743815e-02,  4.3783913704172e-02, -1.9373738877411e+00
