##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2,           p12 flavor,               p12 x0,               p12 x1,               p12 x2,           p13 flavor,               p13 x0,               p13 x1,               p13 x2,           p14 flavor,               p14 x0,               p14 x1,               p14 x2,           p15 flavor,               p15 x0,               p15 x1,               p15 x2
                    A, -1.1180312801441e-01, -2.4693922709195e+00, -2.7913829864680e+00,                    A,  4.7031210563189e+00, -1.2648877096078e+00,  9.9255323181163e-01,                    A, -4.9147347748275e-01, -1.9303627585014e+00,  2.7406664210414e+00,                    B, -7.1789352566814e-01, -7.2073182438038e-01, -4.6760900013648e+00,                    B,  2.7829915541847e+00,  4.7525951386501e-01,  4.7010280258162e-01,                    B,  3.2114851434896e-01, -4.9752659934895e+00, -2.1149252082854e+00,                    A, -1.0829108145560e+00,  1.2737467113361e+00,  2.2062538741977e+00,                    A,  1.8870256497042e+00,  3.7779226810759e+00,  6.7175214581168e-01,                    A,  3.0962139455267e+00, -5.1032504702752e-01, -2.7152656772534e+00,                    A,  2.8674738782149e+00, -1.1751570600805e+00,  8.2178348488456e-01,                    B,  4.7816611817519e-01, -5.8098588744981e-01, -1.2886639627548e+00,                    A,  1.8603589598205e+00,  4.2044352671748e+00,  2.6952169058320e+00,                    B,  8.9726050117706e-01, -8.7761797148266e-01,  6.0526977258825e-02,                    B, -1.4594066830019e+00, -1.5233451060182e+00, -3.0906934446017e-01,                    B,  7.9467919749959e-02, -7.0124206875189e-01,  2.2743281187630e+00,                    B, -2.3700410390380e+00, -3.7178254664775e+00, -5.1044658147452e-01
                    A, -1.8125674559542e+00, -2.3265152855237e+00,  9.0853248545409e-01,                    A,  1.1563002509655e+00,  8.7138132839664e+00, -6.2776852644004e-01,                    B, -1.0401173671142e+00, -4.3883066220845e-01, -3.0345359390242e+00,                    A,  2.9297699999198e+00,  1.9839555328527e+00, -1.3343647828218e-01,                    B,  1.4721827285977e-01,  1.8005768031147e-01, -4.5767259164770e-01,                    A,  8.1085034031634e-01,  7.5407364792979e-01, -2.6402446953307e+00,                    A,  1.9640883951591e+00, -9.5420351449486e-01, -3.3867422001564e+00,                    B, -2.3113294326102e+00,  6.3806487512252e-01,  2.3212763099457e+00,                    B,  2.2176834204274e+00,  3.6513224348174e+00,  5.0430280512742e-01,                    B, -2.8477800434807e+00,  1.8136289308200e+00,  1.2785030409936e+00,                    B,  8.6983290211829e-01,  3.9751643235138e+00,  2.6519651227425e+00,                    B,  4.7902700990380e-01,  4.1123642974503e-01,  2.6157862612582e+00,                    A,  3.1324845341632e+00, -4.6148811812438e+00,  4.2590957191103e+00,                    A, -9.0143675212663e-01,  1.2019334281284e+00,  1.4805450681520e+00,                    B, -3.2525284847006e-01, -2.8833422892946e+00, -5.2535994583073e+00,                    A,  3.7740269054698e+00, -2.0135846530397e-01, -7.5037756397570e-03
                    A, -2.4994474145957e+00,  2.1719728255648e+00,  2.3080002152462e+00,                    B, -2.6665160417951e+00, -2.0464441050631e+00,  9.2991994339213e-01,                    A,  2.7457113254019e-01,  3.9199671100305e+00,  3.8959411421801e-01,                    A, -9.6109004802292e-02, -5.9384480402791e-01, -4.4773304168098e+00,                    B, -3.1737424842727e+00,  1.8266366918112e+00,  3.4502046881460e+00,                    B,  6.7871620314399e-01, -3.4181393185433e+00,  3.1460192008617e+00,                    B, -3.2856347002361e+00, -3.1572489151739e+00, -2.2626202470940e-01,                    A,  2.3195831693418e+00, -4.7132978336772e-01, -2.0526706618033e-01,                    A, -3.7303034581297e+00,  3.3676436181708e-01, -3.1854875276922e+00,                    B,  1.5825908781626e+00, -7.6172857735786e-01,  1.7734233284173e+00,                    B,  2.5640635712534e+00, -2.0172054074109e+00, -3.1489159025957e+00,                    B,  4.4590190483673e+00, -2.3278310883697e+00, -1.0053594784487e+00,                    A,  1.8020498142650e+00,  1.4567324394559e+00, -1.4158093373256e+00,                    A, -2.1240251319589e+00,  6.9525284307418e-02,  2.8618860553055e-01,                    B, -1.0594263120612e+00,  2.3366556393296e+00,  3.5578942976005e+00,                    A, -3.7478583288976e+00,  1.4481376035639e+00, -9.0565348618847e-01
                    A, -1.8060603322604e+00, -1.4026772850651e-01,  4.8684063921194e-01,                    B,  2.0160345841331e+00,  1.4995793803158e+00,  4.4667014377474e+00,                    B,  1.4006637525530e+00,  1.8549901538127e+00, -2.7422113126628e+00,                    B,  1.2022822801315e+00,  3.0488840429912e+00, -1.3113363518727e+00,                    B,  2.9263073851617e+00,  6.8478735207056e-01,  6.0541669369247e+00,                    A, -1.6792740714407e+00, -3.5938227610819e+00, -1.9431326229004e+00,                    B, -2.9318696261522e+00, -5.5442536718882e-01,  1.0043371769350e+00,                    B,  2.3085685111164e+00,  3.9567342280260e+00,  6.4993968943058e-01,                    A,  3.4079996711702e+00,  1.3633432879649e+00, -2.9224461060031e+00,                    A,  3.7221232928592e-01,  1.6759393259171e+00,  2.0531548460005e+00,                    A,  1.1884050636772e+00, -1.5164647769725e+00, -3.8316512224298e+00,                    A,  7.1958653907129e-01, -1.3678715062512e+00, -1.4701243358181e+00,                    A, -3.0906745531432e+00, -4.6278273140788e-01, -2.6193313018036e+00,                    B, -4.4772712723596e+00,  2.5819747064948e-01, -3.5942127876017e-01,                    B, -7.7927498054328e-01,  1.4466459649402e+00,  4.7090783334211e+00,                    A,  6.4887710690020e-01, -5.4679637822260e+00, -6.2967809280563e-01
                    B,  3.9267322434079e+00, -3.7738953898320e-01, -7.1910486078903e-02,                    A,  3.5609183904416e+00,  7.0837872698477e-01,  1.8023563344269e+00,                    B, -1.4653049469725e+00,  1.3288487551133e+00,  4.9072167425471e+00,                    A, -3.5032461027753e+00, -3.6803986543321e+00,  5.0096257197065e+00,                    B, -1.6446568408006e+00, -8.5966492523257e-01,  6.9467819449262e-01,                    B, -1.7825551196951e+00,  3.3153979340023e+00,  1.4069012445247e+00,                    B, -2.3738755052658e+00, -3.4863615428671e+00,  4.2114438093103e-01,                    A,  6.6851250707069e-01, -1.1425055878487e+00, -1.8093407989465e+00,                    B,  3.0148639077738e+00, -4.4964748717027e+00,  7.4866525738751e-01,                    A, -1.0101996682680e-01, -7.3209168483772e-01,  2.2028519809159e+00,                    A,  1.6224372376684e-01,  1.5405885284229e+00,  3.5988030493292e+00,                    A,  6.0131070194493e-01,  4.7813148307292e-01, -8.9134259957211e-02,                    B, -3.2409383059200e-01, -2.0023682996511e+00,  3.5019436680396e-01,                    B,  2.3240894264328e+00,  7.6228528904666e-01,  7.7066895486854e-01,                    A, -8.2223581122327e-01, -3.0892158079058e+00, -1.7384506656421e+00,                    A, -2.7509544444808e+00,  2.0667634417220e+00,  3.8066996873473e+00
                    A, -2.8077244776753e+00,  4.3214444136648e+00, -2.4033926113223e+00,                    B, -2.2818222532127e+00, -2.8210141494225e+00, -1.0573323654349e+00,                    A, -6.4540344749306e-01,  9.1092105974356e-01, -1.2766019971296e+00,                    B,  1.2167281479799e+00,  1.8484360376489e+00,  4.6341656484120e+00,                    A, -3.4092971302726e+00, -1.5249987691405e+00, -2.9513827962824e+00,                    B,  2.4836516534520e+00,  1.9182393611048e+00,  1.8572322963230e+00,                    B, -3.5585735557603e+00,  2.3910482152284e+00, -2.6360849587976e+00,                    A, -2.5008472768948e+00,  6.0862928973507e+00, -4.4566602919248e-01,                    A, -1.0197051310734e+00, -8.4628751296534e-01, -1.5482740555340e+00,                    B,  1.0319995954953e+00,  4.5099739032808e-01,  1.0882863363727e+00,                    A, -1.4035401605380e+00,  1.2478990210633e+00,  1.6614029366029e+00,                    B,  5.7322857778263e-01,  1.2675459822189e+00, -4.1848547059223e+00,                    B,  6.1909870196835e+00,  1.8561728099021e+00,  1.6219848303811e-01,                    A,  5.4432816413055e-01, -2.4251624306017e+00,  3.0212821945780e+00,                    B, -2.5776479013413e+00,  5.8215854786996e-01,  1.0267535593945e+00,                    A,  1.3051652482589e+00,  1.8129551604730e+00, -1.0810555202677e+00
                    A, -2.0398977326282e-01, -2.5294708452795e+00,  1.8454631960859e-01,                    A,  2.6513146336836e+00,  7.2520106915211e+00,  3.2979050634128e+00,                    A, -1.1861994151294e+00, -8.8570209919225e-01,  3.5544743577442e+00,                    B,  8.0187176194367e-01,  6.7805081953832e-01, -8.1065653094164e-01,                    B,  3.5072249956174e+00, -4.4414751412472e-01, -3.6627469697025e+00,                    B, -1.0221214051049e+00,  7.3040677169926e-01, -3.2480552095992e+00,                    B,  2.0270232663526e+00, -2.0126147359400e+00,  3.2182261263494e+00,                    A,  2.3211509572744e+00, -2.3577375296067e+00, -1.6525662235574e-01,                    A,  3.3080888706862e-01,  1.7792862379005e+00, -2.1472104933212e+00,                    B, -2.1151182443400e+00,  1.0503723254939e+00,  2.8538045329526e+00,                    A, -1.9804018790838e+00,  1.1040532951434e+00,  7.2390591359932e-01,                    A, -1.6206275703746e+00,  2.1126818910582e+00,  1.5983836680984e+00,                    B, -2.9070391134602e+00, -2.9049731687840e+00, -5.6870872432483e-01,                    A,  1.5756079854949e+00, -3.1925510730742e-01,  4.0483056468082e+00,                    B,  7.2101231009844e-01, -7.9891768219787e-01, -1.6391526048118e+00,                    B, -2.5641652458922e+00,  2.6414829108208e+00, -1.4533632372474e+00
                    A,  1.3184252656328e+00, -1.6480319526084e+00,  1.6593105905697e+00,                    B, -1.1017036618802e+00, -1.0792078886055e+00, -3.2355880926482e+00,                    A,  1.4192924123476e+00,  1.8252952992062e+00, -7.3822630244099e-01,                    B,  9.6950817803066e-01,  4.9094154706719e+00,  1.5624451288777e+00,                    B, -2.0756680951065e+00,  8.2034966695858e-01,  1.4723711700373e+00,                    A, -1.1541715659811e+00, -2.3460796588430e+00, -2.9512791793596e-01,                    B, -5.6113139612105e+00, -2.2263501456741e+00,  2.9380060941076e+00,                    B,  4.4513284224196e+00,  2.7338720514046e+00,  2.2756202396189e-01,                    B,  3.9080189884467e-01, -5.4100965666155e+00,  4.0835930367274e+00,                    B,  3.2099621196891e+00,  2.1975425135209e+00, -2.4905043230251e+00,                    A, -2.0916558902394e-01, -9.7562671630926e-01,  2.5756489749141e+00,                    A, -3.2817047426440e+00, -1.6406418361344e+00, -1.4385980788908e+00,                    B,  3.8801234771219e+00, -2.1160678969388e+00,  1.0998256848978e+00,                    A, -2.6664935947410e+00, -2.2500475518712e-01, -1.1917108419175e+00,                    A, -1.9631988505415e+00, -2.2224242287160e+00,  3.7337087353009e+00,                    A, -3.9950178228354e+00,  2.7452021429568e-01,  3.9442843240627e+00
                    B,  4.3185732099378e-01, -1.3919128016747e+00,  1.2385767872277e+00,                    B,  1.1000104542801e-01, -2.6778868652690e+00,  3.8308127935776e-01,                    A,  2.0935758774720e+00, -4.1930009920868e+00, -1.6871355531874e+00,                    B, -2.2792812639028e+00,  2.2905303439850e+00, -1.1832322259107e+00,                    B,  1.9641822838576e+00, -1.6375167928855e+00, -1.2664049767059e+00,                    A,  1.5568604582483e+00, -1.7101953560769e-01, -2.8225806071486e-01,                    A, -2.0361558225824e+00, -2.2030431094967e+00,  8.4669029261319e-01,                    A, -2.6130787823475e+00, -1.7190673742124e+00,  3.4136202438557e+00,                    A, -7.5456084805782e-01,  2.7523092078249e+00, -3.7383079010101e+00,                    A, -3.5011364477108e+00, -3.3349853817099e+00,  2.0911542504187e+00,                    B, -9.7644801285387e-01, -7.8464448798024e-01,  1.2090599179427e+00,                    A,  3.4292604935397e+00,  1.1081073075272e+00,  1.1319485646447e+00,                    A,  1.3411285844434e+00,  2.5258958862590e+00,  1.6299205249459e+00,                    B,  2.3356873386730e+00, -1.4631159636106e+00,  1.3554802873142e-01,                    B,  3.2091975245826e+00, -2.6027978524362e+00, -1.6452336526444e+00,                    B,  6.3507398427750e-01,  8.1741054497936e-02,  2.1166234856188e+00
                    B, -3.1740152163751e+00, -4.0332845294147e+00, -3.3090474352490e+00,                    A, -2.7457298875415e+00,  2.4133197073910e+00, -3.7188945104213e+00,                    B, -1.0127595042993e+00,  3.6778579822512e-01, -9.9137565372874e-01,                    A, -4.4113559096445e-01,  1.3031125978508e-01,  1.7892714299135e-01,                    B,  1.0777630146277e+00, -2.3531865252488e-01,  3.0915776736305e+00,                    A,  2.2347131259137e+00, -1.5168773935725e+00, -3.5618710185361e+00,                    A,  5.3736681514360e-01, -2.2751741802178e+00, -3.9343073225628e+00,                    A, -1.3899292161551e+00,  2.6167065416506e+00, -4.9159622430939e-01,                    A, -2.3631056174633e+00, -1.3278261172693e+00,  2.0375772067294e+00,                    B,  1.2733453197025e+00,  2.2007362189660e-01, -1.6514323757471e+00,                    B,  8.5986877340674e-01, -3.8544221942234e+00,  2.2034489265714e+00,                    B, -7.4823536895245e-02,  6.3797303296833e+00,  3.7732045243346e-01,                    A,  2.3274130378962e+00, -1.2078484053213e+00, -2.0526930438277e-01,                    B, -2.4168290248871e+00, -3.0677618608009e+00,  5.2048713205588e-01,                    A,  2.2767935905418e+00,  2.4477528957752e-01,  1.3215145696513e+00,                    B,  2.4087089498462e+00,  2.5881225907356e+00, -2.7041925396197e+00
