#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 1.729527446467e+00,-3.998204815335e-01,-3.764356044497e+00,                  B, 1.270705242857e-01, 4.848683039650e+00,-2.553316430433e+00,                  A,-1.111971626905e+00, 8.076597240593e-01,-6.228932228860e+00,                  A,-6.637450128439e-01,-1.694730675258e+00, 2.658885901959e+00,                  B,-2.688173495650e+00,-2.334952194134e-01, 1.157951925777e+00,                  B, 2.004452233275e-01, 2.988941786792e-01, 2.104163888985e+00,                  A,-5.128037163057e+00, 5.252083900234e-01,-1.341144277777e-01,                  B, 2.861756072530e+00,-2.109871339469e-01, 1.159171017006e+00
                  B,-2.085575384063e+00,-1.150809757178e+00,-3.295028130846e+00,                  A, 5.824955512779e+00, 6.207564629356e+00,-3.949170549666e+00,                  A,-3.227933188488e+00,-4.915444853318e+00,-5.432689200058e+00,                  A,-2.857933512438e+00,-1.930946255566e+00,-2.271497986573e+00,                  B,-2.952387975330e-01, 1.665108945523e+00,-5.755892870719e-01,                  A, 9.156631295702e-01,-3.313988524048e+00, 2.213449674752e+00,                  B, 1.568601286463e+00, 4.922796462717e-01,-2.451774560376e+00,                  B,-1.334857496831e+00, 1.088666517168e+00, 3.129045914731e+00
                  A,-2.181611659900e+00, 3.901356671589e+00,-3.888051489286e+00,                  A,-1.048206337969e+00, 2.417461259213e+00, 1.507255243010e+00,                  B, 2.906565278440e+00,-1.275093732760e+00, 2.676917415383e+00,                  B,-1.517470153367e+00,-2.252133870890e+00, 2.214519700784e+00,                  A,-5.678457923523e+00,-2.142424526073e+00,-3.791101898546e+00,                  B,-1.080210168501e+00,-1.650255348915e+00, 1.221005379424e+00,                  A,-3.701874946369e-02,-1.238751506315e+00,-1.141946706303e+00,                  B, 1.982138761775e+00,-9.699279769429e-01, 4.356102870741e+00
                  A, 4.561456017185e-01,-1.896155187174e+00, 2.569566324521e+00,                  B,-7.016456053887e-01, 1.701777190082e+00, 2.605897094894e+00,                  B,-2.569884146033e+00,-7.971762887153e-01, 2.035368706862e+00,                  B, 2.949292050403e-01, 6.541137598541e-01,-2.700598443739e+00,                  A,-1.061675816004e-01, 2.392572595356e+00, 2.642546427543e-01,                  A,-1.140134844265e+00,-3.422917867501e-01,-4.408446777990e-02,                  A, 3.641265208612e+00, 1.725066531100e+00,-3.206818170008e+00,                  B, 4.831317823112e+00, 5.033126289443e-01, 1.170284935229e+00
                  A,-4.488671987329e+00, 4.062812955119e+00, 1.135493935686e+00,                  B,-2.552380146664e+00, 1.448826880580e+00,-1.973463207072e+00,                  B, 2.956745416833e+00, 8.658569552566e-01, 3.246624977377e+00,                  B,-3.362449832259e-01, 8.888376451842e-02, 1.685114746131e+00,                  A, 2.191357810485e+00,-4.685636747031e-01,-5.258331838883e+00,                  A, 3.558189528104e+00,-1.468076797159e+00,-4.917260942221e+00,                  A,-1.549433786611e+00,-2.781322501885e+00,-3.236428271414e+00,                  B,-1.876285518174e+00,-2.166277332799e+00,-6.254434950005e-01
