#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 1.154460995961e+00, 1.508476419162e+00, 5.532941043293e-01,                  B, 3.219919353231e+00,-1.177116268222e+00,-6.919749533815e+00
                  B, 1.385422074040e+00, 1.089331734408e+00, 2.326418932708e+00,                  A,-8.198084621324e-01, 9.009991294875e-01,-6.516237553594e+00
                  A, 6.014523848811e+00,-1.928563965041e+00,-4.026510811203e-01,                  B,-5.204463654257e-01, 3.280205881103e+00,-2.430450102499e+00
                  B, 2.088473786427e+00, 6.947479627818e-02, 9.455075220832e-01,                  A,-3.645782927131e+00,-2.122199999071e+00,-2.659984771958e+00
                  A,-5.582548610384e-01,-1.374402904227e+00, 2.112814646806e+00,                  B,-4.666721649856e-01, 2.077125021584e+00,-2.654232016175e+00
