##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    B, -2.1030962898876e+00, -2.8614572227058e+00, -5.2591984364265e-01,                    A,  1.8830689358629e+00,  1.9332106477064e+00,  7.8339530878974e-01,                    B, -6.2363117336295e-01, -1.2325667102294e-01, -1.9890257308621e+00,                    A, -8.7364710145291e-01,  9.9183461120112e-01,  1.4572789198808e+00,                    B, -2.2928247435082e-01, -1.0792570091858e+00, -2.6420360087947e+00,                    B, -4.7281019614535e-01,  1.2694570468873e+00, -1.6362585511606e+00,                    A,  1.3167983763938e+00, -1.3765001678537e+00,  2.9834259273740e-01,                    A,  1.4770780913226e+00,  1.7559093902218e-01, -1.0416313465561e+00,                    A,  4.5004337271724e-01,  2.0585410029234e+00,  4.1297878830861e-01,                    B,  6.9703868675919e-01,  7.3843571008890e-01, -4.0787254943922e-02,                    B,  2.7277750062853e+00,  1.8709581188070e-01,  9.9030550995727e-02,                    A, -6.1355228709710e-01,  4.7328307387583e-01,  1.7284607276708e-01
                    A, -8.1962794984434e-01,  4.6417212270623e-01, -2.6563228666934e+00,                    A,  9.5954846601390e-01,  1.9155029663866e-01,  2.1696359024290e+00,                    B,  1.1607477522893e+00, -8.1322870774838e-03, -1.6083150624846e-01,                    B, -1.2486187397197e+00,  8.9316304952931e-01,  1.3413875513107e+00,                    A, -5.7450821140988e-01, -1.5642166876254e-01,  2.6951283840541e+00,                    B, -4.7238454104261e-01, -1.0031275466441e+00, -1.8816223858072e+00,                    B, -1.2894020647734e+00, -1.1053315453115e+00, -1.5562286806541e-01,                    A,  1.1729788234375e+00,  1.5317962072255e+00,  1.2358340551115e+00,                    B, -1.7434864206115e+00, -3.8043587573948e-01,  1.0503784017535e+00,                    B,  8.2251744307879e-01,  2.3683445167811e-02, -1.5473850223746e+00,                    A, -1.9375268514771e+00,  1.3083839714319e-01, -1.1995397965605e+00,                    A,  4.1951328408915e-01, -8.5488023601903e-01,  2.7215344310913e-02
                    A,  2.8848315235482e-01, -1.9730411786935e+00,  1.6511737856613e+00,                    B,  5.8218886997733e-02, -1.2807024200688e-02, -1.4083731735852e+00,                    A,  1.7324546112577e+00,  1.3696755428091e-01, -1.7921349229808e+00,                    A,  4.9719812357066e-01,  9.8451677113005e-01,  6.9398944206486e-01,                    B, -1.5007837277066e+00, -2.1120478291119e+00, -4.1054958521938e-01,                    A, -2.0733837570092e-01, -2.5155556015491e+00, -1.3285190811786e+00,                    B,  7.0375889187080e-01,  1.8718421376049e+00,  2.5881183697079e+00,                    A,  1.1366801851353e-01, -3.3233180819661e-02,  2.7669433277079e+00,                    B, -6.8067502092593e-01, -8.4738763949672e-01, -4.6671575526849e-01,                    B,  1.4436222210691e+00,  8.1941036826839e-01, -1.8814494318234e-01,                    B,  1.5042648894805e-01,  1.6167428603411e+00, -2.6230998847594e+00,                    A,  1.4465754101949e+00, -2.0416094192775e+00, -5.3577945265021e-01
                    A,  6.1201255060819e-01, -1.4634391911453e+00, -2.7644522989541e-01,                    B,  6.1136033867575e-01,  1.5717314524243e-01, -1.8046896236203e+00,                    B, -1.5836480342797e+00, -4.0983962990296e-01,  2.5463381481728e-02,                    A, -1.1155168065086e+00, -1.9881191536431e+00,  2.6518933327313e+00,                    B, -1.4098752351847e+00,  1.3984225550990e+00, -1.2972878279767e+00,                    B,  1.0368028741651e-01, -2.5375292407875e+00,  1.6217296663694e+00,                    A, -1.1449022520629e+00, -1.1021915480380e-01,  2.3431740288148e+00,                    A,  3.4830799407207e+00,  2.1510274697881e+00, -1.4715682402015e+00,                    A,  1.3506997718567e+00,  5.3743251343072e-01,  1.2335940327646e-02,                    B,  1.4027560124891e+00,  2.0977015785195e+00,  1.5398161656492e+00,                    B, -1.4990265013229e+00, -3.4967596375908e-01, -2.1677269609126e+00,                    A,  3.0005014382984e-01,  6.6028201458447e-01,  1.7634601902350e+00
                    B, -2.4647475751461e+00, -1.3002604734963e+00,  8.8595205792955e-01,                    A, -3.4173604544341e-01, -5.6857752086300e-01, -2.3126132643161e+00,                    A, -1.7152004301051e+00, -8.7873956791903e-03,  9.3283832958857e-01,                    B, -1.7643473135790e+00, -9.5780776861470e-01,  1.0752125237377e-01,                    A,  1.0964805925876e+00, -1.2559069418812e+00,  4.8339250888813e-01,                    B,  1.5598402451161e+00,  5.0923682138544e-01,  1.5870869426275e+00,                    B, -1.1230225955441e+00, -1.2136564657349e+00, -1.0889321423158e+00,                    B, -5.6316565903769e-01,  2.7848838081867e-01,  3.5152682119167e-01,                    A, -5.4832533606475e-01, -1.5447219294238e+00,  9.8368641271742e-01,                    A,  2.2435756710331e-01,  6.4906094177245e-01, -1.5521898103105e+00,                    B,  8.5206178255669e-01,  2.8378166240093e+00,  1.6915207193175e+00,                    A, -4.7112536611120e-01,  1.5839125578135e+00,  3.2526328543602e-01
                    A,  7.9824843642371e-01,  1.0286727018931e+00,  2.2392842095796e+00,                    B,  3.4833658892090e+00, -1.9580986881721e-01, -3.0165464147968e-01,                    A,  9.3961279442381e-01,  1.0436073835960e+00, -5.0002854394156e-01,                    A,  1.8315164160891e+00, -8.0937343255703e-01, -2.0440167165091e+00,                    B,  2.1270907317289e-01,  1.5911067536805e-01,  4.8192970725282e-01,                    B, -1.4792552878690e+00, -1.2237222115970e+00,  3.2066139308473e-01,                    B, -8.6059956061761e-01,  1.4450776375676e-01, -1.1659040200358e+00,                    B, -1.9377411262252e+00,  6.2888741834774e-01,  3.6711380520860e-01,                    A, -3.1627175796875e+00,  9.3376121157416e-01,  8.4913239768739e-01,                    A, -1.1180742227086e+00,  2.9010326245384e-01,  1.3758663113145e+00,                    A, -6.9880536162511e-01, -9.4720186537948e-01,  1.9333089937835e+00,                    B,  5.8125369257257e-01, -1.7550971083244e+00, -2.8539733778561e-01
                    A, -2.3087516897738e+00,  1.2560501176109e+00, -2.4015169391475e+00,                    B,  3.8509791581860e-01, -1.8423603402785e+00,  8.3232882450821e-01,                    B, -2.3398188104380e+00,  4.4052618585937e-01,  1.1770461903230e+00,                    B,  1.4925792248857e-01, -2.8339915988568e+00,  2.0338719309402e-01,                    A,  1.7581314857549e+00,  1.8246768271315e+00,  1.8488473742182e-01,                    B,  2.8908266448115e-01, -2.3192598142319e+00, -1.6006695009242e+00,                    B, -8.3690228550151e-01,  2.1960857027386e-01, -9.2297367703525e-01,                    A, -8.2045803687969e-01,  1.0376003593038e+00,  8.6013741856955e-01,                    A, -2.0870865179766e-01, -9.8921769440455e-01, -1.7176046169834e+00,                    A,  2.5345888278474e-01,  1.1678689810984e+00,  1.2896492139482e+00,                    A, -9.7307577031488e-01, -1.3033579526238e-01, -2.0657755279966e+00,                    B, -1.9642822090262e+00, -2.7506520400977e-02, -8.0137528040823e-02
                    B,  7.2439105873491e-01, -1.7865300530505e+00,  1.4588652236945e+00,                    B,  6.7898853558038e-01,  1.8398940212770e+00,  1.5030986706288e+00,                    A, -2.6734500986653e+00,  2.4247149513938e+00,  5.3724692046380e-01,                    B, -8.0953527769740e-01, -1.0988935052781e-01, -1.1243205869183e+00,                    A, -9.3119372079505e-01, -2.0704651301546e+00,  1.1671781482363e+00,                    B,  8.8388760405385e-01,  3.8760876567255e-01, -1.4627279239479e+00,                    B, -1.5504945218620e+00,  2.7615160829121e+00,  1.7017345133491e+00,                    A, -2.9804745212565e+00,  1.3547721111463e+00, -2.7996007757678e-01,                    B, -8.6536348088949e-01, -1.0461749202479e+00, -2.3497079569905e-01,                    A,  1.3232641063096e-01,  1.7906213751039e+00, -1.3625701415352e+00,                    A,  1.5741527422418e+00,  2.5305415322996e+00,  1.3581673164226e+00,                    A,  3.3006132924628e-01, -1.1713604389439e+00, -7.5870154794391e-01
                    A, -1.4078450550855e+00, -8.9624621523366e-01,  1.5029554990700e+00,                    B, -1.5706975480436e+00,  6.9548887732258e-01,  5.2547779666927e-01,                    A,  2.5186566002464e-01, -6.4566358429347e-02, -8.3708898687716e-01,                    A,  1.3262220806581e+00, -2.9842888428170e+00, -5.6532352865597e-01,                    B, -7.7854822313091e-01, -1.3615766286731e+00, -1.4055696963422e+00,                    A,  2.2515789649506e+00, -1.2162311263719e+00,  4.7066812158892e-01,                    A,  9.0861873807282e-01,  7.3522086016026e-01, -1.6572160865442e+00,                    A,  2.1028195051981e+00,  1.0771367313626e+00, -1.2957791135351e+00,                    B, -2.5538632744820e+00,  1.8919150575342e-01,  7.4572137783020e-01,                    B,  1.1462747704364e+00,  1.3030725725163e-01,  1.3564544630736e-01,                    B, -1.8457220378970e-01, -4.0416428988669e-01,  4.3111268871664e-01,                    B, -2.4662937604046e+00, -1.7685528531254e+00, -2.5566541249121e-01
                    A, -2.7085828322544e-01,  1.3642802873247e+00,  2.9258675966754e-01,                    B,  9.9854007132032e-01, -2.4385622889855e-01, -2.0647878515164e-01,                    B, -1.0186347569690e+00, -6.4348206416618e-02, -1.1017733883056e+00,                    B, -1.2962017887442e+00,  1.7101190071400e+00, -1.6796966559500e+00,                    A,  9.1029245645301e-01, -1.1167542561181e-01,  2.0095046612029e+00,                    A, -1.2784139323240e+00, -5.2463343828345e-01,  4.5883998064412e-01,                    A, -7.0949393672957e-02,  2.5881644201440e+00,  1.8738488305712e+00,                    A, -8.8695666562522e-01,  9.0422019693084e-01, -2.2920222331507e+00,                    B,  1.6421764375273e+00,  5.9854168144696e-01, -1.0345558963926e+00,                    B, -8.3709610019813e-02, -2.9850604849730e+00,  4.0840727258353e-01,                    B, -1.8285369283139e+00,  1.9415827513505e+00,  1.2303833619704e+00,                    A, -1.5757553544585e+00, -1.1860507689705e+00,  3.1171175251432e+00
