##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  2.3865653065470e-01, -5.6093527108419e-02, -2.4115357404361e-01,                    A,  1.2242354499858e+00, -1.5133690371916e+00,  1.1610182514608e+00,                    B, -2.8533266760465e-01,  1.3124245873103e+00, -2.7428663372752e+00,                    B,  1.6038296851140e+00,  9.0563447568206e-01,  2.3312221329539e+00,                    A,  2.6273504808629e+00, -1.5365948046211e+00,  4.5571584359287e-02,                    A, -1.6817701076548e+00, -1.5069359965754e+00, -1.0456978855183e+00,                    B, -1.6869251685903e+00,  4.0515004382797e-01,  2.5545061666846e+00,                    B, -8.4434777279209e-01, -1.1608176769403e+00, -1.6940142477888e+00
                    B, -1.3091248257992e-01, -9.5979941926257e-02,  3.5572074502029e+00,                    B,  1.4987680070850e+00,  8.9875727688782e-01, -3.8782755892063e+00,                    B, -1.1892249181953e-01, -7.0477474347619e-01, -6.1167560695938e-01,                    B, -2.5895785163309e-01, -9.4065399377156e-02,  3.0538367597390e-01,                    A, -3.2137599242172e+00,  1.5325473628889e+00,  2.1243938634043e+00,                    A, -6.4204819399731e-01, -1.5981866555895e+00, -1.9577141389262e-01,                    A, -5.0106843041202e-01,  2.8405870894386e-01,  1.6288397421449e+00,                    A,  6.9423710379749e-01, -4.4691916535496e-02,  9.9028849965495e-01
                    A,  1.2804797697308e+00, -7.9189990488589e-01,  2.9110490205065e+00,                    B,  3.5661942055554e+00, -1.9538121748583e-01, -7.0444687529787e-01,                    B,  7.4229265223027e-01,  1.2621830131364e+00,  5.0904727827554e-01,                    B, -1.0717271278789e+00, -1.5761596210015e+00,  8.1312720187697e-01,                    A, -2.3462516469368e+00, -1.1524634516966e+00,  3.1249102003313e+00,                    A, -5.2872750241273e-02,  2.4460465315662e-01,  1.4749890855591e+00,                    A, -2.1447424154068e+00, -5.2188120109234e-01,  7.3710037723735e-01,                    B, -2.1154159399875e+00,  1.5193497031654e+00,  7.7932898495820e-01
                    A,  1.6934237875924e+00,  1.1897957644651e-01, -1.6195150398806e+00,                    A, -9.9735669043811e-01, -1.6370213551157e+00,  1.0305847612382e+00,                    B, -1.8842379294635e+00,  8.4014696645056e-01, -2.7047896977158e-01,                    A,  8.6297764528451e-01, -2.0192127350653e-01,  1.4971335555917e+00,                    B, -9.4095226760900e-01,  2.3806273524329e+00, -3.6968665822196e+00,                    B,  5.8556515601871e-01, -1.2095406440947e+00,  2.5813802126350e-01,                    A,  2.7909701509075e+00,  4.7633917582185e-02, -6.6496402639973e-01,                    B, -2.3831397624299e+00,  4.6503272579028e-01,  1.2646237786462e-01
                    A, -1.2990693871427e+00, -2.6284343223075e+00,  1.4678904290485e+00,                    B,  4.9378011129290e-01,  1.4838861963820e+00, -1.4138414053340e+00,                    A,  4.8603739368600e-01,  3.9164180600294e+00,  8.0139950450036e-01,                    B,  4.5046709572305e-01,  3.6989944928523e-01,  6.5539092365299e-01,                    A,  1.0862248322153e+00, -6.8380204993241e-01, -8.1409754520212e-01,                    A, -6.8427097424893e-01, -3.1240853260099e+00, -1.2671410095419e-01,                    B, -4.3177387411953e+00, -1.3441571254484e+00,  5.8940627568304e-01,                    B,  1.1455897932982e+00,  1.1227656289954e-01, -3.9916918040612e+00
                    A, -3.2200402073231e+00, -1.2249130671757e+00, -1.1043530477085e-01,                    B, -2.2526475786693e+00,  2.3907906721760e+00, -5.5860266222302e-01,                    B,  2.0090205281121e+00,  2.7018410168205e-01,  3.2385351822175e+00,                    A, -4.4312698741143e-01,  2.2332089135851e-01,  5.5939100814304e-01,                    B,  6.3117059243906e-01, -1.7828900304281e+00, -6.0678410197918e-01,                    B, -1.3644433295081e+00,  1.1277139468537e-01, -1.2593487900576e+00,                    A,  1.0331838205526e+00,  8.0691720715388e-01, -1.6125423682278e+00,                    A,  2.2679577128533e-01, -2.0249625817591e+00,  2.8137607545932e+00
                    B, -1.3692339554455e-01,  4.3087082646697e-01, -1.5649065947286e+00,                    A,  7.1890055700553e-01,  4.1926224757759e-01, -2.4586525868871e+00,                    A,  8.6412135121164e-01,  1.0394420174925e+00, -2.9985441605477e-01,                    B,  2.7209439478450e+00,  9.7876588312730e-01,  1.0045190395659e+00,                    B,  7.0764212422429e-01, -4.3539672664449e-01, -1.0605841606507e+00,                    A,  2.5976804416736e-01, -1.2829021463877e+00,  8.3069744661929e-01,                    A,  3.2868482858729e-01, -1.9757091476477e+00, -1.1493344038220e+00,                    B,  1.3698381119988e+00, -6.3910188368596e-01, -1.5968411526533e-01
                    A,  6.0227713087856e-01, -4.1403895949589e-01, -1.2346661904798e+00,                    B,  5.9622290920087e-01, -1.4284032798147e+00,  1.1140246107857e+00,                    B, -6.8891571017774e-01, -3.0494438983172e+00, -5.9375207070465e-01,                    B,  6.6053156566971e-01,  6.6160793452214e-01, -1.9629131618013e+00,                    B,  8.6887305339002e-02,  2.1803379660645e-01, -2.2907734567848e+00,                    A, -6.8562949784371e-01,  1.7913919590626e+00, -1.0155653570323e+00,                    A, -4.1541656472242e-01, -1.9096612754016e+00,  6.8811512782311e-01,                    A, -4.1011294324918e-01,  2.8374146821618e+00, -4.4289231735028e-01
                    A, -2.7382808572614e+00, -6.6230474506217e-01,  3.2281760222362e-01,                    A, -2.9274596571158e+00, -1.0738727422948e+00, -8.6743625559570e-01,                    A, -9.5808271764961e-01,  1.2468788520858e-01, -1.0506341264658e+00,                    B,  1.3044368772325e+00,  1.2059722789539e+00, -1.8476290074889e+00,                    A,  1.0278202788883e+00,  5.0624657279143e-01,  6.5522781466844e-01,                    B, -1.1113421086384e+00,  1.4092119609979e+00,  3.7968113039512e-01,                    B, -1.1767820060837e+00,  2.5265348676299e+00, -5.5817933715003e-01,                    B, -2.3550192560008e-01, -1.6727159137035e+00,  3.1515425267287e-02
                    A,  5.1561145799188e-01,  2.8091190551351e+00,  1.8866382274098e+00,                    A, -1.9048293337757e-01,  1.8174412261971e+00, -9.9736496856184e-01,                    A, -8.9292424646930e-01,  6.7454635332133e-01, -3.8545140711906e-01,                    A,  5.0414265667633e-02,  8.8291233019394e-01, -1.2093076671395e+00,                    B, -2.8768067697602e+00, -2.2267324343043e+00,  2.8411553058423e-01,                    B, -1.6665872707578e+00, -1.8776092853366e+00, -7.3289943477063e-01,                    B,  2.7509963083019e+00,  9.9447866234564e-01,  3.1421351320767e+00,                    B, -1.3702266394618e+00,  4.4079674384383e-01,  1.4150179736700e+00
