#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 9.202678772909e-01, 2.391039433508e-01,-3.006141872836e+00,                  A, 1.227973957130e+00, 6.250983602601e-01, 7.203173542046e-01,                  B,-2.316743434295e-02, 1.012914985965e+00,-1.869675427695e-01,                  A, 1.349035424231e+00,-1.003900930172e+00, 2.818226775237e-01,                  B,-2.441432705828e+00, 1.687032661188e+00,-2.776699186701e+00,                  B, 4.390402650739e-01,-1.239451345867e+00,-1.693667443525e+00,                  B,-6.313759293113e-01,-1.547155660681e+00, 1.372859422064e+00,                  A, 9.769288687895e-01, 2.088629646030e+00,-6.271736988365e-02
                  B,-1.934153493560e+00, 3.274646008355e+00,-1.576845545280e+00,                  A, 3.857064361627e-01,-2.520109681982e-01, 6.137400407122e-01,                  A, 2.744427656359e-01, 1.862951556624e-01, 1.796240154980e+00,                  A,-2.470692856292e+00, 8.335007024720e-01, 2.501284674054e+00,                  B, 7.918123884315e-01, 8.588478883291e-01, 1.480263039235e-01,                  B, 2.098440139228e+00,-2.123327936516e+00,-2.770016823702e-01,                  B, 1.562778627303e+00, 3.364427635084e-01,-3.778007278663e-01,                  A, 7.742220197177e-01, 5.595271556793e-01,-1.600290108887e+00
                  B,-1.824860945980e+00, 1.900492013485e+00, 1.496611562526e+00,                  A,-1.081906939359e+00,-2.649179646335e+00,-2.705176705447e+00,                  A, 6.617017738804e-01, 3.200451637405e+00,-1.370862749455e+00,                  A,-3.534182711277e-01,-2.166122467844e+00, 1.597156680797e+00,                  B,-6.324663079200e-01,-7.572247595415e-02,-1.069392978983e+00,                  B,-1.078974900405e+00, 4.656253925942e+00,-8.857242234129e-01,                  A, 2.640133830881e+00, 7.883635860626e-01,-1.670102128536e+00,                  B,-5.886365244822e-01, 1.058794400200e+00,-3.544232897998e-01
                  B, 3.142667449983e-01, 1.674315292184e+00,-2.383818875429e+00,                  A,-1.291582069404e+00,-2.784079831169e+00,-7.894534383625e-01,                  B,-1.373385804535e+00, 1.543223306975e+00, 3.604158484694e-02,                  B, 1.802416374055e+00, 1.084416622886e+00, 2.389785586807e+00,                  A, 8.232775409025e-02, 1.610689858163e+00, 2.856857079240e+00,                  A, 1.894302225771e-01, 5.092258219820e-03,-1.977327120650e+00,                  B, 1.129253641110e+00,-1.019250253685e+00,-5.971857511741e-01,                  A, 7.199635161790e-01, 2.460672731753e+00,-1.236373277416e+00
                  A, 1.019575081683e+00,-7.936118357722e-01,-2.519228092563e+00,                  A,-1.157283082096e+00,-1.068845582748e+00, 1.041848614432e+00,                  B, 2.377014990057e-01, 8.889871565164e-01, 2.134410299713e+00,                  B,-7.866260551869e-01,-2.411755558451e-01,-1.036578721247e+00,                  A, 2.644193145909e-02,-3.414190089454e-01, 1.984291628511e+00,                  B,-4.618706441054e-01, 6.244333617625e-01, 3.499438941141e-01,                  A, 1.513720997915e+00, 1.875353242232e+00, 3.809558735758e-01,                  B, 2.969522146631e-01, 3.086927019882e-01,-4.821828406388e-01
