#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-9.846920493366e-01, 3.748181562564e-01,-1.102170463947e+00,                  B, 3.184328960992e+00, 5.281781283929e-01, 3.682693724217e-01,                  A, 7.174159032840e-02,-1.541310833506e+00, 5.246145454192e-01,                  A, 5.108424213884e-01, 1.891126352067e+00,-2.666069936349e-01,                  B, 8.254534651095e-01,-1.243755171077e+00,-2.312560098780e-01,                  A, 4.224299469818e-01,-1.269206445309e+00, 2.034851328695e+00,                  B, 1.509208066937e+00,-4.248827830643e-01, 2.026160587232e+00,                  B,-1.708366573927e+00,-2.066697647006e+00,-1.345316206878e+00
                  B,-2.698876891673e+00,-5.065849201201e-01, 3.476371186372e+00,                  A, 2.006745526762e+00, 7.952143299355e-01, 6.367025380826e-01,                  B, 8.319311078598e-01, 1.385198625925e+00, 3.413377830404e-01,                  A,-5.439396731672e-01,-5.339811122987e-01,-1.436906227876e+00,                  B, 9.546985447161e-01, 8.241073996863e-01,-2.683800607055e+00,                  A,-5.473201075882e-01,-1.485236862215e-01, 3.870877186680e-01,                  A,-9.311723013859e-01,-1.895327296097e+00, 3.879045593572e-01,                  B, 6.852283695796e-02, 1.180518706996e+00,-1.154352447453e+00
                  A, 7.327880923792e-01, 2.057581522770e+00,-1.029710668586e+00,                  A,-9.581332654735e-01,-4.601799948134e-01,-3.642920387146e-01,                  A,-9.379299697346e-01, 1.852424178768e+00, 2.052610157986e+00,                  A, 1.505702981883e+00,-7.586107229874e-01,-2.364524940057e+00,                  B, 3.668607090368e-01,-1.725445739255e+00,-8.262961366269e-01,                  B, 1.114571396333e+00, 9.713843601301e-01, 1.016764569950e+00,                  B, 6.698999602736e-01, 5.483993168658e-01,-4.050407858470e-01,                  B, 2.121734261481e+00,-6.229014159510e-01, 1.292742865676e-01
                  B,-4.338708616721e-01, 5.927515591917e-01,-4.553962061080e-02,                  B, 1.219689548431e+00,-2.770100234621e+00, 1.799584503949e+00,                  A,-1.273093523996e+00,-6.975993540715e-01, 1.119399362336e+00,                  A, 1.943731184333e-02, 5.512541492868e-01, 1.613104653559e+00,                  A, 1.202469619427e-01, 1.915733898508e+00,-6.524297635091e-01,                  A, 1.537564586496e+00,-4.601145356835e-01, 1.395205738055e-01,                  B, 5.483458786113e-01,-6.594902671384e-01,-2.235011271276e-01,                  B,-1.897561981438e+00, 4.997524820928e-01,-1.567531448892e+00
                  A, 1.552812622051e+00, 1.098797006752e+00, 1.140703830836e+00,                  B,-5.567417769911e-01, 2.831649652476e-01, 2.672634001645e+00,                  A,-1.781305888140e+00, 9.732408118628e-02,-1.361060361747e+00,                  B,-1.729476268141e+00, 2.231461240750e+00,-3.542033476133e-01,                  A,-6.542331197099e-02,-1.204555932303e-01, 8.607978901590e-01,                  B, 1.028112512385e+00,-1.045054424768e+00,-1.490367177186e-01,                  B,-4.974324101763e-01, 2.583635975345e+00, 9.655445432442e-01,                  A, 1.227452776651e+00, 1.158535251882e+00,-7.075495526195e-01
