#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 2.319062108075e+00,-5.417870896876e-01,-1.010611950628e+00,                  A,-2.618998981129e+00,-1.951873008454e+00, 5.122132218497e+00
                  A, 2.278600728524e+00, 6.903918473933e-01, 1.024069656952e+00,                  B,-1.691691280499e+00, 1.815340626908e+00,-6.974142383541e-01
                  A, 3.705228235674e+00,-9.400512359667e-01, 1.728376277319e+00,                  B, 2.225765832473e+00, 3.748616009821e-01,-2.094646142683e+00
                  B, 3.317747682322e+00,-3.654704534515e+00, 8.948231419678e-01,                  A, 1.548652974014e+00,-1.146662977947e+00, 2.835203394422e+00
                  A, 2.699402785084e-01,-2.607551608506e+00, 1.551232127967e+00,                  B,-3.066705693135e+00,-2.381697700836e+00, 5.448028938211e-01
