#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 2.545445584943e-01,-3.064993735781e+00,-2.619477431492e+00,                  B, 1.242079932984e+00,-2.137354457005e-01,-4.865076161870e+00
                  B, 1.266397082631e+00, 4.816147391118e+00, 4.175980221546e+00,                  A,-1.029584013271e+00, 2.899038066561e+00,-3.587256566596e+00
                  B,-9.436691546324e-01, 4.264123465123e-01, 2.655711821865e+00,                  A, 2.008362431899e+00, 1.535797255486e+00, 3.226609282817e+00
                  B, 3.940305941593e+00,-1.692511611412e+00, 2.871089460674e+00,                  A, 3.051868403930e+00,-5.020088087463e-01,-1.751398838376e+00
                  B,-3.045297195543e+00,-1.204264812406e+00, 1.250725419733e+00,                  A,-3.671589402748e+00,-3.770230634274e+00,-8.401067874846e-02
