#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B,-3.741788955851e+00,-2.933762638212e+00,-4.379758037869e+00,                  A, 6.888684824626e-01,-8.232877613395e-02, 1.454130008237e+00,                  A, 1.095660855815e+00,-1.971973787101e+00,-3.231532770721e+00,                  B,-5.016529856856e+00, 2.085898127204e+00,-1.645649891359e+00,                  A, 1.954239084646e+00,-4.326547246238e+00, 2.383472839823e-01,                  B, 3.043722989673e+00, 1.318233222246e+00, 3.869565297729e-01
                  B,-1.937161739818e+00, 4.702069987401e-01,-2.113422634777e+00,                  B,-8.377728656585e-02,-3.912502636153e-03,-5.555323565132e+00,                  A,-3.537873272103e+00,-2.497758189465e+00,-7.816617368660e-01,                  A, 1.869867632800e+00,-2.745149333861e+00, 3.069336343431e+00,                  A,-3.583041344160e+00,-1.737802084394e+00,-2.697889003256e+00,                  B, 5.006790084369e+00, 1.571469586519e+00,-1.995274140480e+00
                  A, 2.592378594948e+00, 2.088873163743e+00, 8.789182850663e-01,                  B, 1.378762012887e+00, 4.063884557909e+00, 2.906565521318e+00,                  A,-5.929016955362e-01, 7.592083094585e-01, 9.090573573238e-01,                  A,-5.566124502781e+00,-3.815576844535e+00, 2.833709246193e+00,                  B, 3.597116763516e+00, 2.462325557793e+00, 4.338437726950e+00,                  B,-1.801261395796e+00, 2.686001293838e-01,-8.277467777130e-01
                  B, 4.947198281501e+00,-1.194088251556e+00, 3.380546618285e+00,                  B, 3.982888965364e+00,-2.608709358823e+00, 3.147790035231e+00,                  A,-1.908390461291e+00, 3.869902080294e+00,-2.869591015984e+00,                  B, 3.435244349195e+00,-2.120530164793e+00, 1.037109960436e-01,                  A, 1.684758151241e+00,-2.088624083158e-01, 2.611700305101e-01,                  A,-1.604382103548e+00, 4.851863271268e+00,-7.914063251446e-02
                  B, 1.794262264460e+00, 2.988335948103e+00, 1.255382073536e+00,                  B, 4.538313878510e+00, 3.922016760736e+00, 4.292359764195e+00,                  A,-3.373851513255e-01,-4.446198469913e-01, 1.971068731731e+00,                  A,-1.123288204155e+00,-2.462980934916e+00,-5.149920826738e+00,                  B,-3.028117499096e-01,-4.920223318124e+00, 2.000114320246e+00,                  A,-2.131880092035e+00,-7.493358395616e-01,-5.422500135826e+00
