##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  2.7284473870538e+00, -1.0268056799463e+00,  7.0480871662104e-01,                    B, -5.7564853743484e-01, -4.6481050023536e-01,  2.4465324720243e-01,                    A,  5.6434011688373e-01,  2.0769795442974e+00, -1.8238797682117e+00,                    A,  2.5511414767314e-01,  1.1258370571911e+00,  1.5397485219084e+00,                    A,  2.3665295254713e-01, -1.6090467774173e-01, -1.4552070836170e+00,                    B, -2.1704740646116e+00,  1.6218981481724e+00,  4.5724505835682e-02,                    A,  5.9002726513982e-01, -1.0358830477040e+00,  1.3114700309583e+00,                    B,  3.4447834022649e-01, -2.3642265304857e+00,  5.7758498124938e-01
                    B, -7.3358983589949e-02, -6.2959681042292e-01, -1.4028621660840e+00,                    B, -1.4158422180401e+00,  9.6440538647765e-01,  4.1463955621888e-02,                    A,  8.5502559395030e-02, -9.6954403194842e-01,  7.8265250302220e-01,                    A,  6.0256441998317e-01,  8.5112733262547e-01, -2.2600312224651e+00,                    A,  9.3838337868976e-01, -1.1036237548344e+00,  1.8457356765931e+00,                    B, -1.6942067261445e+00,  9.1337686330728e-02, -2.2998263873040e+00,                    A,  1.4463978574107e+00, -1.6086826439509e+00,  5.9263545975629e-01,                    B, -5.4205611600723e-01, -1.3509056833409e+00,  2.5471147045558e-02
                    A,  9.1135679842809e-02, -7.0593660992798e-01, -4.6678804677766e-01,                    B,  1.1820173769850e-01, -3.9942559233926e-01,  8.7207829191463e-01,                    A,  2.6226955293295e-01, -1.7548471863562e+00,  4.6365207530233e-01,                    B, -8.7524642159151e-01,  8.7057287559147e-01,  5.2760662953944e-01,                    B,  5.4718753568023e-01,  7.8754912260136e-01, -4.7884874138726e-01,                    A,  1.8721089703503e+00,  1.2558098008183e+00, -1.0008648271693e+00,                    B,  1.7755786986160e+00, -1.1919776749513e+00, -1.1434822332665e+00,                    A,  5.8864625309648e-01, -1.5883646550796e+00, -2.1037153292515e+00
                    B, -1.0514649562547e+00, -1.0188956784018e+00, -5.8302036069038e-01,                    A, -2.8857197315631e-02,  5.5743160090778e-01, -2.1365415594614e+00,                    A,  1.7900110430165e+00, -1.1564542699094e+00, -2.6982089473501e+00,                    B, -1.8454916516701e+00,  9.6708666934870e-01,  1.3283377256870e+00,                    B, -3.3716957852123e-01,  1.1130509660663e+00,  1.0639852165182e+00,                    A,  3.8439520253830e-01,  2.0841394513627e+00, -8.8702787004911e-01,                    A,  1.0857622139608e+00,  9.2049793536730e-01,  1.5837710885751e+00,                    B,  5.0191848936780e-01, -1.9193269624328e+00, -1.9932939805941e-01
                    B,  1.2848650625169e+00, -1.5264129160345e+00, -2.0557012195858e+00,                    B, -1.7262465289696e+00, -9.7179177896518e-01,  3.0361557823778e-01,                    A,  1.0841616728923e+00, -3.0708224068258e-02, -3.9536034556975e-01,                    A, -8.3971232002694e-01,  2.2054445837329e+00, -6.4289814549106e-01,                    A, -2.9143851631693e-01,  1.8583092912449e+00,  3.2625768391541e-01,                    B,  1.5176682080657e+00,  1.6412545659637e+00, -1.5756876387849e+00,                    B, -1.4648969905157e+00,  5.6344073033276e-01,  2.6136440744056e-01,                    A,  1.4172936680258e+00, -1.6900856764269e+00, -7.2733442891062e-01
                    B,  3.0731197954147e-01, -1.4626035865411e+00, -1.5848633302455e+00,                    B,  1.5473021633715e+00, -2.0108968962197e+00,  1.3739465967100e+00,                    B, -1.1707289144799e+00,  1.5185472611165e+00, -2.4949641129853e+00,                    A, -1.1266792867483e-01,  8.7302351207754e-01,  2.3921821017809e+00,                    A, -3.3334028111720e-01, -1.9291058683566e+00,  1.7376161472652e+00,                    B, -1.1884735550369e+00, -1.1521234454629e+00,  5.8578183348976e-01,                    A,  1.3798964194418e+00,  2.1932035622404e+00, -5.5611653067127e-01,                    A,  1.0208491491872e+00,  7.9645115301000e-01,  1.0976662560252e-01
                    A,  3.1938313178268e-01,  1.2742611770368e+00, -2.5357113474153e+00,                    A, -1.5417588840981e-01, -1.7802993016829e+00, -6.9550451002924e-01,                    B, -7.9448958094685e-02,  7.3557696055616e-01,  2.0909847823087e+00,                    B,  1.0540883928497e+00, -7.9033349354769e-01, -4.9758894455365e-01,                    B,  1.1752264927568e+00,  8.3076842016788e-01, -2.1758253550476e-01,                    A, -1.2536313519819e+00,  9.7184117238692e-01, -1.3966555417261e+00,                    A,  2.8987865749766e-02,  1.9986218661781e-01, -2.4035448363475e+00,                    B,  9.9163556194152e-01, -1.4887255040393e+00,  1.3382334276931e+00
                    A,  3.6846620802622e-01, -3.7836603616947e-01, -6.4455028073669e-01,                    B, -9.2702396674720e-01, -5.0105306807619e-01, -6.5622010274448e-01,                    A,  6.0212543678717e-01, -2.1473380243458e-01, -2.8017242133025e+00,                    B,  7.2426063913827e-01,  1.2352670788964e+00, -8.2685064776776e-01,                    A, -2.3583697680298e+00, -1.0456972578890e-01,  6.7212052046952e-01,                    B,  6.7465931017922e-01,  1.1251391618691e+00,  1.6810595126763e+00,                    B,  2.1205659711899e+00, -3.3937560236604e-01,  1.0139700547788e+00,                    A,  1.2638201952976e+00,  1.8879594293110e-02, -1.4263047684014e+00
                    B, -9.3974463722788e-01,  1.9601750151044e-01, -1.9396871197367e+00,                    A, -1.4072931990125e+00, -1.2776433198945e+00, -4.9153672489875e-01,                    B, -1.2418700703421e+00,  6.4201711793227e-01,  1.4089469959619e+00,                    B, -1.6074822458546e-01,  2.2748720998862e+00,  1.0626560287073e+00,                    A,  1.6990464962177e+00,  5.6259016825237e-01, -8.0159784491098e-01,                    B,  1.3739762588454e+00,  6.9237332411038e-01,  9.7008580696460e-01,                    A,  1.2708376105443e+00, -1.0806250855872e+00,  3.9425599829035e-01,                    A,  1.0788745800010e-01, -7.5210420466480e-01, -1.5142251632648e+00
                    B, -1.0763838017585e+00, -1.6923361701346e+00,  3.2593039417655e-02,                    A, -2.3826801390920e+00,  1.4947489019478e+00, -1.7948135796582e+00,                    B, -3.0606127879992e-01, -2.9422718897264e-01, -1.8960852598845e-01,                    B, -7.1522684475209e-01, -9.6218450174573e-01, -1.4334127518029e+00,                    A,  9.7904396562456e-01,  1.7660857443456e+00, -2.3217280030859e+00,                    A,  5.1978735070146e-01, -3.9656427182330e-01,  5.9548329901974e-01,                    B, -5.5090657911789e-01,  9.4143252080068e-01,  1.4219201348394e-01,                    A,  2.0496480430787e+00, -6.0947622934827e-03,  8.4347801326943e-01
