#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2
                  A,-2.557106946685e+00, 1.020577927264e+00, 1.207422813654e+00,                  A, 1.869123982195e+00, 3.430040275813e-01,-7.851350371962e-02,                  B,-1.031878131801e+00, 1.186440222237e+00, 1.268049833997e+00,                  B, 1.659216613467e+00,-1.096930553002e+00, 1.527751352183e+00,                  A,-1.723356894375e+00, 2.355931938098e+00, 1.046276789134e+00,                  B,-1.264773574475e+00,-8.055914764020e-01,-8.229020162646e-01,                  A, 1.091321141061e+00, 1.691843987054e+00, 6.802571277224e-01,                  A,-1.161669658024e+00, 8.361919994285e-01,-1.243183552755e+00,                  B,-6.858804094506e-01,-8.885193851300e-01, 1.883489940684e+00,                  B, 3.670141703940e-01,-5.481067892524e-01,-1.566893748211e+00,                  A,-2.087136727413e-02,-6.487427297681e-01,-1.279952887328e-01,                  B,-4.289854542063e-01,-2.482563251184e+00,-1.478104906039e+00
                  B, 7.967463283886e-02, 1.914000386521e-01,-1.875727017097e+00,                  A,-3.194686794543e-01,-1.150590865640e+00, 2.314460316459e+00,                  B, 3.502224864318e+00, 4.078207530435e-01,-1.690710633035e+00,                  A, 2.680074360772e+00,-8.672728160649e-01, 4.060311124259e-01,                  A, 1.545825256510e+00, 7.114659802823e-03, 2.507551077990e-01,                  A, 1.297081208677e+00,-2.444425301429e-01,-1.807951185537e+00,                  B, 5.613875286316e-01, 1.238914715558e+00, 7.613878086502e-01,                  B, 2.313840379144e+00, 1.057280862101e+00, 1.126433720006e+00,                  B,-1.972555821054e+00,-6.078423161511e-01,-1.027030734116e+00,                  A,-1.848934561119e+00,-9.031523922797e-01, 3.566104010525e-01,                  B,-3.591074533864e-01, 2.722897043699e-01, 2.467169420639e-01,                  A,-6.846737438529e-01, 1.317959286623e+00, 8.624632179900e-01
                  B,-5.425568589887e-01, 4.828328533181e-01, 9.455649586962e-01,                  B, 1.961957584305e+00, 5.551966962859e-01,-6.724438673676e-01,                  A, 9.045688336825e-01,-1.020843403216e+00,-5.374404300861e-02,                  A,-3.251650599962e+00, 1.305371538148e+00, 2.158841566958e-01,                  B,-1.245377741738e+00, 1.020542900503e+00,-1.117663334349e+00,                  B, 1.335221169679e+00,-3.897901874083e-01,-2.473367011682e+00,                  B,-1.750098999514e+00,-2.968651405075e-01, 1.936039608994e+00,                  A, 7.365386668053e-02, 1.772717811254e-01,-4.920389776398e-01,                  A,-1.572537512323e+00,-1.131011018352e+00,-8.450877384461e-01,                  B, 8.807005383860e-01, 1.702603395574e+00, 7.209645908233e-01,                  A, 2.524440252751e+00,-1.981354889167e+00, 8.043986537697e-01,                  A,-1.358511576329e+00, 2.818930652929e-01, 2.942132202266e+00
                  B,-4.158201124468e-01, 2.219645904291e+00,-7.805438752511e-01,                  B, 8.848977654036e-01, 2.042102956021e+00, 8.557616012826e-01,                  A, 1.441937874244e+00,-9.179346736305e-01, 1.821802535741e+00,                  A, 3.025322141743e-01,-2.559961208786e+00,-1.693983971293e+00,                  A, 2.697184127278e-01,-3.080873779558e+00,-6.542698776948e-01,                  B, 1.454557343453e+00,-2.020375429762e-01, 4.490917277978e-01,                  A, 1.017494404156e+00,-6.904281822963e-01,-4.269875645863e-01,                  A, 2.827909228349e+00,-6.585899690438e-01,-1.269155433303e+00,                  B,-4.153187588955e-02, 1.477963524879e+00, 2.253263231218e+00,                  A, 3.817500303041e-01, 9.505404466753e-01, 1.035676032860e+00,                  B, 2.867821920906e+00,-2.054795083921e+00, 1.429092707312e+00,                  B,-1.923634183454e-01,-4.709345725368e-01, 1.133854520181e+00
                  A, 2.668839272665e-02, 1.357702760192e+00, 1.330031989694e+00,                  B,-1.367380049706e+00,-1.748913409184e+00, 4.668660327787e-01,                  A,-1.426842266819e+00, 1.396658411996e-01, 1.274643580094e-01,                  B,-2.310023921071e-01,-2.418623573511e+00, 3.939935633898e-01,                  A, 1.800694546859e+00,-1.348844637527e+00,-1.543851359007e+00,                  A,-2.844634385109e+00, 5.983799682241e-01,-1.723368795119e-01,                  B, 2.307088388293e-01,-5.834624070451e-01, 3.221808866798e-01,                  B,-3.382706941916e-01, 2.308011028847e+00, 2.596162356466e-01,                  A, 8.396267128795e-01, 8.955067297380e-02,-1.803286939334e+00,                  A, 1.391516711595e+00,-1.027478386712e-01, 1.928568861043e+00,                  B,-1.073319360632e+00,-1.536562954311e+00,-1.017034054116e+00,                  B, 4.198184543617e+00, 4.596495044413e-01, 2.082214011287e-01
