#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-6.046998439983e-01,-5.068912313497e-02, 1.764141565840e+00,                  B,-1.052486007821e+00,-7.389490714161e-01,-2.465853219370e+00,                  A, 1.362645861609e+00,-2.433642185428e+00,-1.934208296143e+00,                  B, 7.834303815027e-01, 1.258936463657e+00,-1.675789619790e+00,                  A, 7.660924184115e-01,-1.647006124691e+00, 1.514940962971e+00,                  A, 1.369803589107e+00, 1.714311014904e+00, 2.127833124478e+00,                  A, 2.292392445865e-01,-2.527935218129e+00, 8.057035556990e-01,                  B, 3.051663666460e-01,-9.680329621947e-01, 3.912595748721e-01
                  B,-1.781608207569e+00,-1.103307336501e-01,-2.836196108752e-01,                  B, 5.377242852603e-01,-3.336150397431e-01,-9.267253079377e-01,                  B, 3.481152497098e+00,-3.095507566432e-01, 2.105229207405e+00,                  B,-2.968041092629e+00,-8.686365723031e-01, 1.160679788003e-01,                  A,-1.907902925931e+00, 1.116932074625e+00, 1.247888842401e+00,                  A, 1.049018341424e+00,-2.668167306076e+00,-3.018323138178e+00,                  A, 8.514094934231e-01,-1.585428355433e+00,-1.359547035298e+00,                  A,-4.433293340387e-01, 2.056115214224e+00, 1.866704909182e+00
                  A,-1.212769277548e+00, 1.511524614343e+00, 3.840523442034e-01,                  A,-2.166423749217e-01,-5.666638428406e-01,-1.047156795330e+00,                  B,-1.317847002599e-01, 2.628422999659e+00,-1.775173103176e+00,                  A,-2.524028720768e+00,-1.692151596963e+00,-8.918006594810e-01,                  B, 1.010868517869e+00, 6.606281691159e-01, 1.895897248344e+00,                  A,-1.261143076288e+00, 1.939057431760e-02, 1.011172825973e+00,                  B,-2.388354771655e-01, 6.785308498117e-01,-9.546622217935e-01,                  B, 6.438851838618e-01, 3.347156690240e-01,-5.737126386193e-01
                  A, 3.186109289148e-01,-1.031538102903e+00,-4.156944857248e-01,                  B,-2.104498888825e+00,-5.742149951491e-01,-8.827146896214e-01,                  B, 1.273564888793e-01, 4.084065936425e-01, 8.076423098931e-01,                  B,-7.608968185442e-01,-9.160454494774e-02,-1.719196069335e+00,                  A,-1.216891893263e+00, 4.123966100400e-01, 4.791995877328e+00,                  A, 4.793300878070e-02, 9.028624064403e-01,-2.969786923413e+00,                  A,-6.521103588701e-01, 9.305779750468e-01, 1.737079749481e+00,                  B, 2.381109407467e+00,-2.741347833743e-01,-1.413575655110e+00
                  A,-1.377093855865e-01,-2.301939000004e-01, 2.429891735705e+00,                  B, 5.902810140727e-01,-1.946616504383e+00,-2.663533564046e-01,                  B, 1.947233264104e+00, 3.388692398846e+00, 8.667120848633e-01,                  A, 1.130755396289e+00,-3.180806845286e+00,-3.101420651633e+00,                  A,-6.591830973098e-01, 5.486541761816e-01,-6.515666194593e-01,                  A, 9.102698866688e-01, 3.283793683328e-01,-1.341351245648e-02,                  B,-4.513729453802e-01,-1.478423570362e+00, 3.023801456412e+00,                  B,-7.295255266217e-01, 1.317873012234e+00, 4.404943982700e-01
