#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-2.936646919497e+00,-4.608607501892e-01, 1.705310059674e+00,                  B, 1.945547985118e-01, 7.647165041620e-01, 6.440474727371e+00
                  A,-3.551762610216e-01,-1.236524458906e+00, 4.506907649581e-01,                  B, 8.320936546990e-02,-3.876999632952e+00, 4.415201125865e-02
                  A, 9.444178915182e-01,-4.188244770790e+00,-1.884199243991e+00,                  B,-2.031737615683e+00,-2.897962144062e+00, 1.390358165304e+00
                  A,-2.129123339365e+00, 5.784978192370e+00, 3.046556286855e+00,                  B,-2.987106508575e+00, 3.812697379103e-01, 3.739404438523e-01
                  A, 1.689529995286e+00,-3.919291497486e-01, 5.266114736655e-03,                  B, 1.657474383839e+00, 1.967390200526e-01, 2.210270783629e+00
