##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -1.5664020751923e+00, -5.0591060763339e-01, -4.3488555239342e-01,                    A, -2.0429299862729e-01,  3.2456386172647e+00,  1.4530112522443e+00,                    B, -7.0825545652224e-02,  4.1829629724595e-01, -4.4024176360683e-01,                    A,  1.7461671705252e+00,  2.0450287413781e+00,  2.0054377222260e+00,                    A, -1.6945551912673e+00, -4.1839344084193e-02,  1.4752858862789e+00,                    B,  7.9451248487206e-01,  4.8935649603528e-01, -6.4705454405752e-01
                    B, -7.1832836931985e-01, -5.2684562739758e-01, -7.7053241534161e-01,                    B,  4.0710300203478e+00, -6.4959447441921e-01, -1.6776553268061e+00,                    B,  2.5838405948754e+00,  9.4980365327123e-01, -1.5797399533604e+00,                    A, -2.2413044790834e-02, -1.3851892253532e+00,  2.1114667697993e+00,                    A, -2.2869057411570e+00, -7.4583023229598e-01, -7.3216202777209e-01,                    A, -4.9574908470971e-01,  2.0481587802367e+00,  2.6831016149515e-01
                    A,  3.8336987909495e+00,  1.3542174136772e+00, -1.0519606658175e+00,                    B, -4.0219303304372e-01, -6.6801901053765e-01, -1.0559444197774e+00,                    A, -2.2980950463322e+00, -4.2524534929101e-01, -9.6920281187699e-01,                    B,  1.9425433417174e+00, -7.4511058226161e-02, -5.3440909341583e-01,                    B, -1.2173884792576e+00, -6.2479565901182e-02, -7.7137216858707e-01,                    A, -8.3003375917698e-02,  6.8040874640855e-02, -1.8220952032052e+00
                    A, -1.0164802270713e+00, -5.0376035205525e-01,  5.3375935985511e-02,                    A,  2.7368358625138e+00,  5.3796584176506e-01, -6.2214967956625e-01,                    B, -1.1315226220412e+00, -1.6345395530786e+00,  1.4191741216605e+00,                    A, -8.9926131670544e-01,  1.6083761867682e-01,  1.1890952310225e+00,                    B,  2.1001797406039e+00,  2.8365476112247e+00, -1.5078858213424e+00,                    B,  1.2384645958548e+00,  8.6779695196835e-01,  1.4029403223491e+00
                    B, -1.7448590181663e-01,  4.1452939189336e+00, -1.3402272239124e+00,                    A,  3.9909665548352e-01,  1.5678569152536e+00, -1.7435833446190e+00,                    B, -2.4773036792249e+00,  1.6885128556320e-01,  2.4578169058373e+00,                    B, -1.3167743917500e+00,  2.2614499810251e+00,  3.2274211302195e+00,                    A, -6.4340391783788e-01,  9.0533205463205e-01,  1.0140991203485e+00,                    A, -2.1449353406466e+00,  5.3323002850878e-01,  3.5292260480448e+00
                    A, -3.0425691598651e+00, -2.1425640865919e+00,  6.4642996117603e-01,                    B,  6.0030045011426e-01,  9.0501149905453e-01, -6.1540784822498e-01,                    B, -7.5979500214912e-01, -3.9548705511258e-01, -2.6724856846487e-01,                    A,  1.8660000622960e+00, -1.4008710810734e+00,  5.2397696031006e-01,                    A,  1.7541369739588e+00, -3.8694218110966e+00, -1.5262833659941e+00,                    B, -1.1177035669982e+00, -2.0011901007545e+00, -1.1157807755946e+00
                    A,  1.7270538206006e+00, -1.4974308174034e+00, -2.5798130015193e-01,                    B,  6.2765576278026e-01, -1.1273171130255e+00, -7.5749678498765e-01,                    A, -4.3658783163245e-01,  1.0319038620417e+00,  7.2560691487559e-01,                    A,  6.0794985349826e-01,  3.3245099028907e+00,  1.3491572902673e+00,                    B,  2.4006363345809e-01, -7.6104742988976e-01,  1.9006614475856e+00,                    B,  1.6670772496862e+00,  1.7769351575347e+00, -5.2712182005442e-01
                    A, -7.8226571935960e-01,  3.1080740098931e+00, -4.2189922948965e-01,                    B,  1.5926847172562e+00,  1.9037469840572e+00, -1.1904248760837e+00,                    B, -2.9454960726411e+00,  5.1259581370171e-02, -1.2787723331074e+00,                    B,  8.4097419430380e-01, -2.2973039258620e+00, -5.2713220338365e-01,                    A, -1.4773943826743e+00, -3.0598089854563e+00,  5.1495145120158e-01,                    A,  2.1219131123744e-01, -1.0485409584742e+00, -4.0380674353510e-01
                    A, -5.6809912065290e-01, -1.1121873582495e+00, -4.1276396264267e-01,                    B,  2.1853567396579e+00, -6.6925316812746e-01, -9.1133038293683e-01,                    A, -2.9341454531275e-01, -1.1847741403288e+00,  2.0196411816597e+00,                    B,  1.9419539405457e+00, -8.0624203794087e-01,  4.8171622387819e-01,                    B, -9.9179111323301e-01,  6.6615877785549e-01, -2.4136911850797e+00,                    A,  3.9137593122159e-01,  7.8793685945426e-01,  9.6187531168583e-01
                    A, -1.7514250214303e-01,  1.4609838735374e+00, -2.2982188139485e+00,                    B, -2.4282348270219e-01, -6.8553238961461e-01, -1.6372871014992e+00,                    A, -1.4185632951830e+00, -2.7714063225219e+00,  1.4521346198867e-01,                    A, -6.0511872403453e-01, -3.4295005859577e+00,  5.6633189105273e-01,                    B,  1.2529976962801e+00, -3.5932192457668e+00, -1.2677625637976e+00,                    B,  2.2156883009496e+00,  1.8951001790535e+00, -2.4206624862998e+00
