##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -8.0957681585307e-01, -6.3260203864966e-01,  1.9409505890285e-01,                    B, -4.7651280488927e-01,  7.2184921963390e-01, -6.4141252898138e-01,                    B,  1.7336800755651e+00, -3.3068631518820e-02,  1.7929891615618e+00,                    B, -2.1633493874643e+00,  1.1334628701216e+00, -1.4518704857333e+00,                    A,  8.2619385347869e-02, -1.0522562061270e+00, -1.4463409526738e+00,                    A,  1.4691055833138e+00,  4.0001045497086e-01, -5.8240196623529e-01
                    A, -5.6825175990148e-01, -1.9317375980223e+00, -1.6757232814998e+00,                    B,  1.1163297863465e+00,  1.5598285879604e-01,  3.4586835498509e-01,                    A,  8.0322115188503e-01, -2.1877891718980e+00,  2.5141425646004e+00,                    A, -9.4100210467875e-01,  1.4636749706768e+00, -2.2790788800229e-01,                    B,  2.5220365890698e+00, -3.1244021807053e+00, -8.3308379292221e-01,                    B, -2.8594689955403e-01, -9.2854825058257e-01, -2.5566452026179e+00
                    A, -5.4020240080270e-01, -2.3314374859184e+00, -1.6034750028674e+00,                    B,  5.9512633466239e-01, -3.5996746309958e-01, -4.5896184604220e-01,                    A, -7.5156458350429e-01,  3.0157463286938e+00,  1.0134573161563e+00,                    B,  1.0660140084900e+00, -3.4460939059341e-02,  1.8918672574574e+00,                    A,  4.5703431355333e-01,  6.2970626906998e-01, -3.2026670946152e+00,                    B, -1.7306743712728e+00, -4.7938312990480e-01,  7.0746904770972e-02
                    B, -1.0132057649889e+00, -5.1888853421753e-01, -3.3429180636495e-01,                    A,  1.3769907391879e-01, -6.6317182591379e-01,  7.7042702642344e-01,                    B, -3.5281434109606e-01,  2.2861358073100e+00,  1.9543902625086e-01,                    B, -3.3614174144782e+00, -5.8654704376106e-01, -5.1939821950084e-01,                    A, -8.9095244333680e-01,  8.4563900021448e-01, -7.0371807332852e-01,                    A,  1.2882886351135e-01,  1.2336873411219e+00,  4.6022934381305e-01
                    A,  5.7865280618062e-01, -9.1398715010918e-01,  1.9611793090475e+00,                    B,  1.0652810323356e+00, -2.8492140816860e-01, -1.0380922816642e+00,                    B, -2.2581362044865e+00, -1.2284168345156e+00,  7.9096966769884e-01,                    A, -3.9848109756275e+00, -1.3925719143056e+00, -1.7129360049323e+00,                    B,  5.8992203470443e-01,  1.1921742415685e+00,  5.0340105912546e-02,                    A, -7.2997426170735e-01,  1.5271583096538e+00, -2.7006186387841e+00
                    B, -1.9304888489428e+00, -1.7001458237038e+00, -1.7672670417437e+00,                    B,  1.4950879410187e+00, -1.7812593463306e-02, -2.7889751404133e-01,                    A,  1.5932360908938e+00,  1.9128020724101e+00, -1.5831769752480e+00,                    A,  5.9525052187672e-01, -4.9910779184684e-01, -1.0363272919341e+00,                    A,  5.6049444737032e-01,  1.4009538209132e+00,  2.5811522263290e-01,                    B, -9.5690018182848e-01, -1.2935807050730e+00, -1.5507284087953e+00
                    A,  1.3523358437015e+00,  1.3292100257183e+00,  7.7206064136995e-01,                    A,  2.7437019322225e-01,  3.9694260264813e-01,  3.3170781671644e+00,                    B,  3.0286933204182e-01,  1.4383014662885e-01, -4.7510204023249e-01,                    B,  5.7412452769808e-01, -9.6141605412961e-01,  2.1327813808267e+00,                    B, -2.7215806984486e+00,  1.1682147818537e+00, -1.6759703802162e+00,                    A, -7.7892332702461e-01,  3.1675608460436e-01,  4.0503545486537e-01
                    A, -1.4812853304146e+00,  1.2096577171108e+00,  1.4637478382757e+00,                    B,  8.0730522290374e-02, -5.9484214849624e-01,  1.8264137576142e+00,                    B,  1.3166911529951e+00,  4.0092599010106e-01, -1.4050337909009e+00,                    A, -1.3157605309533e+00,  2.6384894910805e-01, -6.0685697478237e-01,                    B, -2.4067733636800e-01, -1.4240426501170e+00, -6.5528879910432e-01,                    A,  1.5608344354200e+00, -8.7245794573164e-01, -2.2594604263703e+00
                    B, -5.3262502959640e-01, -3.2822392585395e-01, -1.6836245728084e+00,                    A,  1.0655887445265e+00, -1.3389036472113e+00,  3.1560455405969e-02,                    A, -2.2680925522897e+00,  7.2776004637546e-01, -4.7017479218871e-01,                    A,  3.5483710795002e-01, -5.8444683605570e-01, -4.7173061535259e-01,                    B,  3.1050639033084e-01,  1.9729401614440e+00,  1.1499554629537e+00,                    B, -3.3410972265473e+00, -9.7913998541689e-01,  2.2007093012799e+00
                    A, -5.4065528368273e-01, -1.7695228576267e+00,  7.3226476130650e-01,                    B,  1.6453853557590e+00, -1.2262540448601e+00, -9.5407981859280e-01,                    B, -8.6039503657007e-01,  1.1167941773989e+00,  1.1381738030724e+00,                    B,  1.8106187221291e+00,  9.8321067464629e-01,  1.2615291730696e+00,                    A,  2.1376787532790e+00,  3.9955013952880e-01, -3.6207723492895e-01,                    A, -2.6372040403073e+00,  1.0505541008424e+00, -1.0914007218001e-02
