##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -2.1225618895901e-01,  8.4551830168140e-01, -1.4689137508696e-01,                    B,  3.9824404587949e-02,  4.2934790449847e-01,  1.4015198270418e+00,                    B, -5.3956229206001e-01, -1.1074291958691e+00, -9.2961158969670e-02,                    A,  2.5923321011686e+00, -2.2119196375554e+00, -1.1533655598597e+00,                    A,  1.4127281695105e+00, -1.3616384545321e-02,  1.0921905811618e+00,                    B, -2.5531588309499e+00, -2.6256029084519e+00, -1.2293169315342e+00
                    B, -1.7978514543429e+00, -2.1862596264731e+00,  1.2172147752804e+00,                    B,  8.1319026493488e-02,  2.8817863846105e-01, -1.5929352214346e+00,                    A, -1.2780760379545e+00,  2.8300220637760e+00, -1.7661312522087e-01,                    A,  3.5033006398227e-01, -2.8278650898553e-01,  2.2540814352357e+00,                    A,  1.2421222237859e+00,  1.5628782731704e-01,  4.4235825695100e-01,                    B,  2.7803693912709e-01,  1.2495159111383e+00,  4.0883634455090e+00
                    A, -4.8583445162008e-01, -6.2101500947341e-01, -2.7188877319361e-02,                    B,  3.0600275586931e+00, -1.6973922153958e+00,  5.0680995825018e-02,                    B,  1.2783528820902e+00, -2.1205184455167e+00,  1.5164195130991e+00,                    A, -6.8238756506527e-01, -2.5668567033587e+00,  4.6935062368865e-01,                    B,  1.9987205930026e+00,  1.5924042325821e+00,  3.4236452013710e-01,                    A,  6.7810691318217e-01,  2.0158230430800e+00,  9.1253409555367e-01
                    B, -1.1565510633676e+00,  2.6964277037840e+00, -3.9728965823804e-01,                    A,  2.0715699689219e+00, -5.8694209734238e-01, -9.2618124965282e-01,                    A,  9.6359912663299e-01,  9.9933719465559e-01, -2.4636212226378e+00,                    A,  3.9978673625701e-01, -5.3714492666981e-01,  1.3169344667449e+00,                    B,  1.1502229076303e+00,  8.2774788291726e-01,  1.9091808379254e+00,                    B,  1.9710898639603e+00,  1.1667760452559e+00, -1.5915318534675e-01
                    B, -1.0322072484433e-02, -2.6993336156520e+00,  1.1657260142932e+00,                    A,  1.9129979776939e+00, -4.1834490780212e-01,  1.9433915071988e+00,                    A, -2.6708168264479e-01,  2.0966523603420e+00, -1.2697238203637e+00,                    B,  9.7209588860432e-01, -1.3797503803172e+00, -1.3562938565585e+00,                    A,  6.2773597220089e-02,  1.9043961109746e-01,  2.1596711561264e+00,                    B, -2.5407096343713e+00, -7.0694432503408e-01,  2.4246951136847e+00
                    B,  1.0873732924037e+00, -1.8021768753772e+00,  1.7084000588047e+00,                    A, -2.3259448462996e+00, -1.8084869951802e+00, -3.0213790713181e+00,                    B,  4.4766827304875e-01,  3.1130069776178e+00,  1.9240645031412e+00,                    B, -2.3362206686063e+00,  2.1700588798359e+00, -1.8422346257956e+00,                    A,  2.5523501093827e+00, -1.4664871735545e-01, -9.1324898766953e-01,                    A,  9.6642477468670e-01, -7.3161506237283e-01, -7.6032185471533e-01
                    B, -1.8116770562765e-01,  8.7141267084877e-01, -1.5314201693493e-01,                    B,  1.6163220390262e+00,  1.1545864356575e+00,  2.6902993990597e+00,                    A,  3.7950965223108e+00,  2.3934622059356e+00, -1.7364524178348e-01,                    A,  1.8973473978044e+00, -1.6428178162773e+00, -1.7847365862576e-01,                    B, -1.6094510077161e+00, -4.0530541828374e-01, -5.9261998523922e-01,                    A,  6.2915909397442e-01, -9.6456859820261e-01, -6.2349054479027e-01
                    A,  8.6061831666234e-01, -1.7294659603376e+00,  8.4637925581798e-01,                    A,  2.2809896273566e+00,  2.2220195427217e-01, -6.1698044031609e-01,                    A, -7.1268306344401e-01, -2.1129298467276e-01, -1.1841802793999e-01,                    B,  9.7532472585466e-02,  1.2470626947877e+00,  6.4633657995955e-01,                    B, -1.1202967987432e+00, -1.6793430900241e+00, -1.5857059471427e+00,                    B,  2.7616482751183e-01,  5.1649374368323e-01, -2.7872537546914e-01
                    A, -1.6288087172494e+00, -4.6044674404789e+00, -1.3044518976461e-01,                    B, -4.0510657347514e+00,  1.0022131568999e-01, -6.9319516515912e-01,                    A,  4.0685838687951e-01,  7.1322813901826e-01, -1.7623668059821e-01,                    A,  2.2252146110096e-01, -7.3515782763675e-01, -1.1776303972470e+00,                    B, -1.2229729850805e+00,  2.6516787175839e+00,  4.9675987724250e-01,                    B, -1.9566517079680e+00, -1.5222203573149e+00,  2.1760558815090e-01
                    A, -1.4913813604750e+00, -1.7293668603622e-01,  3.0180520843085e-01,                    A, -2.3412159199256e-01,  3.2929823126336e+00, -1.7141141437332e+00,                    B,  7.7360466874348e-01, -1.9740754014835e-01, -1.1902796656629e+00,                    B, -2.5139168080407e+00, -9.8182334871554e-01,  1.1461958719097e+00,                    B, -4.3884824614440e-01,  1.4519116592961e+00,  1.2640372731530e+00,                    A,  1.1051925458261e-01,  6.9187959412505e-01, -4.1209254765762e-01
