#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-4.572302897968e-01,-1.117033145367e+00, 2.549054171085e-01,                  A, 1.056576869396e+00, 1.866009763537e+00, 1.618246145446e-01,                  B, 2.463326334161e+00,-3.701239735106e+00, 5.567643930253e-01,                  A, 1.075441142522e+00, 1.475111604212e+00, 2.755537926358e+00,                  B,-2.654166724579e+00, 7.743315812955e-01,-1.447989506538e+00,                  B,-1.929241442153e+00, 1.254684239679e+00,-2.817389080626e+00,                  A,-8.189945897423e-01,-2.506667482247e-01,-1.765940479662e+00,                  A,-5.744108032128e-01,-1.471209703037e+00,-9.564101125704e-01
                  A,-9.658210032878e-01, 1.760257401567e-01, 9.689759126562e-02,                  B, 8.494231172571e-01, 3.600208263688e+00,-5.730228344187e-01,                  B, 2.104168566565e+00, 2.320331504477e+00, 2.303417359784e+00,                  A, 3.045414051259e+00, 1.262607824434e-01, 8.657888056572e-01,                  A,-5.306384197257e-01, 7.529935815119e-01,-9.728477871264e-01,                  B, 9.877157346976e-01, 3.765117528293e-01, 1.159819165411e+00,                  A,-1.081963767895e-01, 1.273369924760e+00, 1.895997283305e+00,                  B, 3.930631109894e+00,-1.148400626642e+00, 1.141644288154e+00
                  A, 3.628851390628e+00, 7.797004319992e-01,-9.680404572259e-01,                  A,-1.569232742555e+00, 1.679205679523e+00, 1.782857463562e+00,                  B, 7.770228765847e-01,-3.092648082986e+00,-3.360909021485e+00,                  B,-8.122590807783e-01, 6.593346981371e-01,-2.136058852189e+00,                  A,-2.212243619845e-01,-4.388087044338e-01,-6.140504660014e-01,                  A,-1.215768074672e+00,-2.803383690461e+00,-7.106063705074e-02,                  B, 1.778885597852e+00, 2.534047144494e+00, 8.874889742484e-01,                  B,-2.430340763179e-01,-1.523333141838e+00, 3.453661561425e-01
                  A, 4.745309117449e-01, 1.015983296478e+00, 9.355678895116e-02,                  A, 2.329657968124e+00,-1.581507893561e+00,-1.669804366901e+00,                  B, 8.967767732004e-01, 2.593534400991e+00,-6.493896159234e-01,                  A,-2.266691004199e-01, 1.338321889280e+00,-1.122536782651e+00,                  B, 1.467492472526e+00, 1.200942490960e+00,-1.078502196621e+00,                  B,-8.316236966539e-01,-3.466363735775e-01,-6.007713196097e-02,                  B,-2.358430538299e+00, 3.120435990367e+00, 1.251817771929e+00,                  A, 2.524354349712e+00,-1.681606718649e-01,-1.862850384509e+00
                  B, 8.787301822954e-01,-2.271851870351e+00,-1.838920212258e+00,                  B, 2.679591465030e+00, 4.356646187252e-01,-7.208883717180e-01,                  B, 8.370038646017e-01,-1.100875702032e-01, 1.712411844671e+00,                  A,-2.687607987462e+00, 1.190504053300e-01,-1.206275883734e-01,                  A, 1.059036574837e+00, 2.896946672509e+00, 6.907347319910e-01,                  A, 2.904063699485e-01,-4.031163408240e-01,-9.341319681713e-01,                  B,-1.508558470602e-01, 9.592435751831e-01,-6.245576103244e-01,                  A,-3.490179360735e-01,-2.155654688535e-02, 5.368754231666e-01
