##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -1.7243366118625e+00, -5.9483359415297e-01,  1.5834998744786e+00,                    A, -2.7914736963816e-01, -5.3886644208053e-01, -1.3710320846932e+00,                    B,  2.2629287030507e+00,  2.2853812937157e-01, -1.8972662546937e+00,                    A,  1.4074673715654e+00,  2.8618897192090e-01,  1.4478133314070e+00,                    B,  2.8467105309884e+00, -4.7606867477347e-03,  2.8790992233703e-02,                    B,  8.0166850363865e-01, -1.8552263627238e+00, -1.1289869141056e+00,                    A, -1.0652549477638e+00,  1.1312887081316e+00, -2.4990808962280e+00,                    A,  9.7714401346847e-01, -1.1417581624692e+00,  2.0006080133649e+00
                    B,  2.5905494475402e+00,  2.6655075017623e-01, -1.3643642287213e+00,                    A, -9.8201489994930e-01,  1.6939545712751e-01, -4.1613213898506e-01,                    A,  1.1899793175875e+00, -1.1416842684157e+00,  1.0120411631673e+00,                    B,  5.6935763928009e-01, -3.0722409143129e+00,  8.7866003099663e-01,                    A,  2.0878131752443e+00, -1.9230298846116e+00, -1.3624646142372e+00,                    B,  1.7169009290807e+00, -4.3347308536803e-01, -1.7901166950072e+00,                    A, -8.2593932498414e-01,  2.0863422800448e-01,  3.0228426078850e+00,                    B,  5.8234800869322e-01,  5.6304483237344e-01,  3.8433630858350e-01
                    A, -9.7362283319000e-01,  4.3936988494545e+00, -2.4191850546581e+00,                    A,  1.5293861194621e+00, -2.2125317619728e+00, -2.1460269661306e-01,                    B,  4.1448533249084e-02,  2.5485462620671e+00, -1.2367694957849e+00,                    B, -3.6557342647545e-01,  1.0798575285744e+00, -1.1087569033674e+00,                    A,  6.9197182235613e-01,  6.6852828662131e-01,  6.8745467638752e-01,                    A,  1.5709503957036e+00, -1.5057454144052e+00,  3.8691659549018e-01,                    B, -5.0064430691803e-02, -1.1121853477842e+00,  6.6505941539804e-01,                    B, -1.1915399010451e+00,  5.6609600310216e-01,  1.8690520572299e+00
                    A, -2.6834237213020e+00,  5.5907143627987e-02,  1.2738406540665e+00,                    A,  1.0918876570200e-01,  7.4562935661697e-01,  1.3127012412704e-01,                    B, -2.2163155963979e+00, -4.1239240697007e-01, -2.4057263343209e-01,                    B, -2.8576514286356e+00, -3.5055075453026e+00,  1.4675044709809e+00,                    B,  2.5439766446142e+00, -1.1569664964810e+00,  1.3165821200598e+00,                    A, -2.9583067168445e-01,  1.8888713679172e+00, -2.7568006068283e+00,                    A,  2.7822953351890e-01, -1.8664675560588e+00, -9.5340046668229e-01,                    B,  1.0282985963446e+00,  2.0989090963136e+00, -2.5868772211544e+00
                    B, -9.1088785569873e-01,  3.8987015720669e+00,  6.0548221233151e-01,                    B, -1.4814530107376e+00, -2.3771350884503e+00,  1.0296468721857e+00,                    A,  5.7466944689045e-01,  6.4730503620274e-01, -1.7758302550601e+00,                    A,  1.9300835869988e+00, -3.2688818918792e-01, -8.0187711810257e-01,                    A,  8.0759098033642e-01, -8.2672868381767e-01,  1.9807348175637e+00,                    A, -1.1477823334875e-01, -2.6570746948118e+00,  2.3404462447528e+00,                    B, -1.1145539838020e+00,  1.4271869654337e+00,  8.6633037010525e-01,                    B,  4.5558712207716e-01,  1.4246940483646e+00,  1.0455814003659e-01
                    B,  1.4175838409459e+00,  8.3662264793812e-01, -3.6165712609101e-01,                    A,  1.8735913342980e+00, -1.4928444306225e+00,  9.6930988901751e-01,                    A, -1.7280597697501e+00,  1.1597332033824e+00, -1.7852130284311e+00,                    B,  1.0629147778820e+00, -4.0230122511651e+00,  2.1384991279510e+00,                    B,  1.3709427320643e+00,  3.5703405074322e+00,  1.6013461613691e+00,                    A,  3.3917496195156e+00, -1.6884347204205e+00, -1.0930951662610e+00,                    B,  2.0540297009998e+00, -4.7018408248000e-01, -1.4334208057392e+00,                    A,  6.5675235815194e-01, -1.1522864178561e+00,  4.7806665858176e+00
                    B,  1.8378055719212e+00, -2.9820931778515e+00, -1.3896359962517e+00,                    A,  1.9861932337217e+00, -1.1994254223628e+00,  1.7076614666616e+00,                    A,  2.7418263000654e+00, -1.3462728326550e-02, -1.3790486581905e+00,                    A, -2.2770707962529e+00,  1.2572741559494e+00,  1.1191354589423e+00,                    B, -3.2488971201252e-01, -4.5696243039874e-01,  1.7591716206052e+00,                    A, -6.0678305494767e-01,  3.8585475599474e-01, -6.3680604327130e-01,                    B, -4.2300677578256e+00, -1.1467565975688e-01, -3.3882817852564e+00,                    B,  5.4705584500654e-01, -1.3459791060106e+00, -1.2654614432410e+00
                    B,  6.0910690843589e-01, -9.5714001611171e-01,  7.7153034450916e-01,                    A, -5.8356215915124e-01,  1.0774299699424e+00, -1.0692595687810e+00,                    B, -2.9528449496473e+00,  9.2812080149573e-01,  9.4517867253304e-01,                    A,  9.1644070698936e-01, -6.4825674816680e-01,  2.6114857185029e+00,                    A, -3.1189698744763e+00, -9.0987060158597e-01,  1.2292940696430e+00,                    A, -1.9072670521425e+00,  1.8481384100207e+00,  1.9547560977227e+00,                    B, -1.0767225272356e-01,  7.7440741557428e-01,  1.6433527670442e+00,                    B,  1.3270895062217e+00,  2.1480656701130e-01, -6.5940845185332e-02
                    A, -7.1813516558915e-02, -3.8775976519021e+00,  1.6398222991846e+00,                    B, -1.9983351421275e+00,  1.6486755587592e+00,  1.7329443597838e+00,                    A,  1.4682955728175e+00, -1.0681078048995e+00, -1.9305011111063e-01,                    A, -2.7699202328726e+00, -4.3128174592250e-01,  8.7084250159262e-01,                    A, -2.0417024170948e+00, -5.4716391591961e-01,  2.4478540149809e+00,                    B,  4.2517667893679e-01,  1.5699897516801e+00,  3.2932718274307e+00,                    B,  2.5240393902613e-01, -1.2232099095173e-01,  1.6855203124719e+00,                    B,  1.6676779819581e+00,  2.3977252350624e-01, -9.6020571228772e-01
                    A, -1.0561372650123e+00,  1.0824281346074e+00, -1.6959789201813e+00,                    B,  3.5325086188020e+00, -2.5935281846311e+00,  2.1372057688379e+00,                    A,  1.3271747877131e+00,  8.9806419593187e-01,  2.7027487491131e-01,                    B,  5.7065284593535e-01, -1.2554574392460e+00,  4.2723957059075e-01,                    B, -1.2004836345662e+00,  1.3334866097971e+00,  1.9544559179617e-01,                    B, -1.3805309677267e+00,  4.8544474707565e-01,  3.2847833270964e+00,                    A,  2.1413460055984e+00, -9.6586793587055e-01,  8.8777394213919e-01,                    A,  6.7497591248384e-02, -2.0238562244335e-01, -1.7567398887111e-01
