#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 3.357027147197e+00,-1.358015693675e+00,-4.196906972636e-01,                  B,-2.233147195905e+00, 7.180002917506e-01, 2.822400119678e-01
                  A,-6.332719059919e-01, 9.318393884586e-01,-2.557556513591e+00,                  B, 5.126324372785e-02, 5.908625639605e-01, 1.424434330267e+00
                  B, 1.636016562325e+00,-7.257624327711e-01, 6.378972394725e-01,                  A, 2.394995502715e-01,-2.215069926917e+00,-3.520030651609e-01
                  B,-1.594232829821e+00,-1.417471403728e+00, 5.623691524100e-01,                  A,-8.900064455459e-01,-3.379718511388e-01, 6.109567856839e-01
                  A, 7.007252024534e-01, 4.979037478613e-01, 1.566158253562e+00,                  B, 3.903984546248e-01,-9.018546822828e-02,-2.347172079420e-01
