##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  6.4254405931570e-01, -1.0478010313395e+00,  1.8782539199089e+00,                    A,  2.1431602467664e+00, -1.3966051088090e+00,  1.2769650195971e+00,                    B, -2.5681099150055e+00, -2.1949413728822e+00, -1.7472275161557e+00,                    A, -1.4800811173015e+00, -6.9684895649083e-01,  2.6107074747805e+00,                    B,  2.2512585450302e+00, -2.8605819225524e+00, -3.1786690658451e+00,                    B,  9.7499058302612e-01,  6.5050160213157e-01,  3.0619407363986e-01,                    A, -1.4553290568075e+00, -1.8027719520287e-01, -3.5618894676250e-02,                    A,  1.5644335022130e-01, -2.1282593096475e+00, -2.7528868423539e-01
                    A, -1.0651987097725e+00,  2.6151986350526e-01, -7.2363609066187e-01,                    B,  2.6872428781308e+00, -6.8743374116265e-01,  3.0827304626069e-01,                    A,  1.3307187296032e+00,  1.7659448325303e+00, -3.1445618902777e+00,                    A, -1.3522518380145e+00, -3.2359519996878e-01,  1.5438764436016e+00,                    B,  3.4214973956887e+00, -3.6658992140470e-01, -3.0997153211409e+00,                    B,  9.8857681325927e-01,  1.3562634845910e+00,  8.9303022239841e-01,                    B, -2.4010522281987e+00,  7.2409589506694e-02, -6.0704619551743e-02,                    A, -8.2389933942364e-01, -1.2534482754074e+00,  2.3169534207653e+00
                    A,  8.8575244478857e-01, -9.8559797465081e-02,  1.2972103366164e+00,                    A, -2.7440867554202e+00, -1.7108032240413e+00, -1.0038969914295e+00,                    A, -4.7872154239827e-01, -6.3865609712426e-02, -2.7413365272793e+00,                    B, -6.8077150941841e-01,  8.2478994409258e-01,  2.1057799405219e+00,                    A,  1.3355032176129e+00,  3.3535864060201e+00,  3.0516990663981e-03,                    B, -7.1857971798545e-01,  8.2892778136862e-01, -1.6614290496425e-01,                    B,  5.8109029995586e-02, -1.7446821876620e+00,  1.2741073249626e+00,                    B, -1.8624155929740e+00, -8.8693977513982e-01, -3.0661510315167e+00
                    B,  2.5038160271773e+00, -2.4342042044763e+00, -1.7912601060672e+00,                    A, -2.6224745034754e-01,  7.0763107320102e-01,  7.9089308066733e-01,                    B,  1.3560803100495e+00, -1.2474101842384e+00,  2.2227027974392e+00,                    B,  5.5106390491214e-01, -1.7818210018655e+00, -2.5567257618337e+00,                    A, -3.1286159010711e+00, -2.2457427108525e+00,  2.6087857184669e-01,                    B, -2.7666648567903e-01,  1.6563573641589e+00,  1.4876262775585e+00,                    A, -2.3362033858119e+00, -1.8319163625770e+00, -6.1101753581248e-01,                    A, -1.0593166420166e+00, -1.2329585621155e+00,  1.7954603265488e+00
                    A,  3.1383834338682e+00,  1.5464853420323e-01, -4.9578358648049e-01,                    B,  8.2797278424211e-02, -1.0059885740230e+00, -1.5707624090777e+00,                    A, -2.0901435308661e+00,  1.2008021478587e+00,  1.2418339977724e-01,                    A, -1.4337818183052e+00, -8.1716236387929e-01, -1.6614759292426e+00,                    B,  1.1575469174879e+00, -3.2648549696594e+00, -3.8239387257427e-01,                    B,  2.5163263078504e-01, -3.8459148479638e-01, -3.0387846388666e+00,                    B,  1.6739359483420e+00, -5.3085298051895e-01, -2.6898914553407e+00,                    A,  1.9666832174153e-01,  4.2572356035337e+00,  2.7737661696841e-01
                    A, -2.4606709057957e-01, -1.4451529769528e+00, -1.5834552267471e+00,                    B, -1.1745325076196e+00,  2.5666794509609e+00,  4.5790314355225e+00,                    B,  3.9810729675176e-01, -3.8357681968766e-01, -2.1581463748193e+00,                    A,  1.5415914711526e+00,  2.3406298549703e+00,  6.9874613444189e-01,                    B, -9.4375802376927e-01, -6.8448089312021e-01, -9.5335387948532e-01,                    A,  7.9838658802880e-01,  5.5914611523532e-01, -5.1794773121829e-01,                    A, -6.4594199110730e-01, -2.4145710905452e+00,  8.7420815707445e-01,                    B, -1.3270033932224e+00,  3.1579265899129e+00, -8.0111353062139e-01
                    A,  7.0407078521857e-01, -1.3275026283803e+00, -2.2435712290609e+00,                    B,  1.1038005149984e+00,  3.5104132851720e+00,  1.2906602134897e+00,                    B,  1.1638159009753e+00,  1.9793981458714e+00,  2.5030270991575e-01,                    B,  5.7962677067374e-01, -3.3603939392861e+00, -1.0715541740364e-02,                    A, -9.1633561711838e-01,  6.3186895184593e-02,  5.2009302323899e-01,                    B,  1.0564482024219e+00, -1.3076329667466e+00,  9.8486387135534e-02,                    A,  2.5966745831579e-01,  1.5058327852036e+00,  8.4290590892706e-01,                    A,  8.2616847668903e-01,  9.9572166943723e-01,  2.5466079218475e+00
                    B, -2.2641080802595e+00,  2.7929889196312e+00, -7.1133438834723e-01,                    A,  3.8897102216764e-01,  1.1902643507648e+00, -1.0011438153976e+00,                    A,  4.6609891891417e-01, -2.9602817652435e-01, -3.7536822130705e-01,                    B, -1.7053940836215e+00,  1.3551578855831e+00,  1.4956082803323e+00,                    B,  3.5627728473778e+00,  3.4978919819291e-01, -3.5915331885831e+00,                    B, -7.8051809053128e-01,  1.2314549273462e-01, -1.8439704663669e+00,                    A, -1.6915730390722e+00, -7.6616435259756e-01, -1.6012445337109e+00,                    A,  1.8411738168675e+00, -5.3273744472158e-01,  7.1836001599175e-01
                    B,  3.3775216535358e+00, -1.6373529834317e+00, -1.4671563837377e+00,                    A,  3.3592996672826e+00, -1.2054508888224e-01, -2.2634119025967e-01,                    A,  1.3318152955863e+00,  1.3920092086330e+00,  2.5504818351431e+00,                    B, -2.8147123554636e+00,  7.7974219444133e-01,  2.4497471873554e+00,                    A, -2.4839946963879e-01,  2.2356218648852e+00, -1.7843330101170e+00,                    A,  1.1609003922046e+00, -2.2573110209069e+00, -2.2746936443434e-01,                    B, -6.9838313557094e-01,  6.6702609805940e-01, -1.2997233360406e+00,                    B,  1.8773670563804e-01, -5.6795989042170e-01, -1.3811312341797e+00
                    B, -1.7867029107273e+00,  9.8857750793409e-01, -1.9600394813123e+00,                    A,  2.4500287988463e+00,  2.8696799982969e-02, -7.5740400873266e-01,                    B,  2.5803834940457e+00,  7.7635949806167e-01,  1.5354819205153e+00,                    A, -1.0352182419554e-01, -1.9691627862388e+00,  9.2345340603069e-01,                    A,  1.8954735121606e+00, -2.8318891942576e+00,  2.6420604761659e-01,                    B,  1.0348659335162e+00, -1.7982706335760e+00,  8.1022183975595e-01,                    B, -7.0242555114140e-01, -6.8450286065595e-01, -8.4856046468357e-01,                    A,  2.4874320686306e-01,  1.6325196614457e+00,  8.1355115163248e-01
