#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B,-4.505685247638e-01, 1.295851065199e+00, 1.085591330177e-01,                  A,-1.991377919085e-01,-3.595989406473e-01, 4.047938320121e-01,                  B, 7.746547185607e-01, 1.780570791081e+00, 1.374730286169e+00,                  B, 2.954268270378e-01,-1.501526106034e+00,-5.569995407734e-01,                  A,-1.757697942189e+00,-1.769577932041e+00, 5.076489113500e-01,                  A,-8.280702992693e-01, 1.785672720503e+00, 9.756760562089e-01
                  A,-1.691340291315e+00,-8.428569115027e-01, 1.409481556383e+00,                  A,-1.587267333871e+00, 2.130909312240e+00, 1.876026797930e+00,                  B,-7.862446216875e-02,-6.228002211001e-01,-3.512807792451e-01,                  A,-6.853023404244e-01, 5.920610621681e-01, 3.530573545859e-01,                  B,-2.758499256291e-01, 2.116529321424e+00,-9.801539764878e-01,                  B, 1.462849760325e+00,-7.290402328275e-01, 1.742059875447e+00
                  A, 1.392424101260e+00,-2.154404584420e+00, 7.071700615792e-01,                  B, 1.149664942688e+00,-1.036414356095e+00,-3.536487139153e+00,                  B, 9.442661706301e-02,-1.017154845152e-01, 3.275422119149e+00,                  A,-1.954301962869e+00,-2.066751879770e+00,-1.232238636063e+00,                  B,-9.515464567632e-01, 6.441177190979e-01, 1.020985715444e+00,                  A, 2.813217844054e+00,-2.791778492116e-01, 8.440112633746e-02
                  A, 9.006866641553e-01, 3.887938160974e-01, 3.677882712078e-01,                  A,-1.707675603981e+00,-9.158193554084e-01, 1.594706792021e+00,                  B,-1.519777548446e-01, 1.884605812719e+00, 2.908800122222e-01,                  B, 1.986189834082e+00,-1.099751683568e+00, 9.194970570725e-01,                  A,-6.166403409413e-01, 6.101939161590e-01,-1.119680343716e+00,                  B,-1.719883705252e+00, 5.668240038211e-01, 1.058798561976e+00
                  B, 2.353674892256e-01,-1.232867684923e+00, 1.577120074155e+00,                  B, 1.618797459630e+00,-1.797567410039e+00, 2.773980691040e+00,                  A,-9.258312562606e-01, 3.454956564620e-01, 1.112535351968e+00,                  A,-1.775503078684e+00,-1.182264410111e+00, 6.377892532807e-01,                  A,-2.453837006064e-01,-1.968208033268e+00, 2.269687477484e-01,                  B, 1.289323325109e+00, 7.247916413191e-01, 7.957443020910e-01
