##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -2.3379806381817e+00,  1.8629690796175e+00,  3.1428146959031e+00,                    B, -3.9043702173151e+00, -2.6638420859961e-01,  6.4364140607132e-01,                    A, -3.4533049777036e+00, -5.4002001886600e+00, -2.9784096328372e+00,                    B,  3.0522341099876e+00,  9.2903054843789e-01, -2.1821323737529e-01
                    A, -1.6017547250193e+00,  6.4455527844266e+00,  2.3639746118818e+00,                    A, -7.7227099286353e-01,  1.5079922043264e+00, -1.4703768259007e+00,                    B, -1.9257487476698e+00,  2.2521418709724e+00,  3.4354930159667e-01,                    B,  6.1251858864202e-01, -2.3268996174734e+00,  2.6398835183410e-01
                    B,  4.0149116327884e+00, -1.0668870785002e+00,  3.6964426496190e+00,                    A,  3.5711640430501e+00,  1.7355640312407e+00, -2.6864902858725e+00,                    A, -8.5138801164324e-01,  4.4286095202423e-01, -1.4879655067132e+00,                    B, -2.0662362418638e+00,  3.8591518891414e+00,  3.8400065863740e+00
                    B, -6.3939726539971e-01, -4.0035937197758e-01,  4.9847222538161e-01,                    B,  1.3748973489950e+00, -8.9191959201757e-01, -6.4699801558953e-01,                    A,  2.8330724526943e+00,  2.1092659846665e+00, -1.5084789974265e+00,                    A,  9.2860904583246e-02,  1.0133079015918e+00,  2.2432207542820e+00
                    B,  4.8477509479176e-02, -4.6177113104387e-01, -4.5225981182406e-01,                    B, -2.7985345037573e-01,  1.4053540148718e+00, -2.4855965286816e+00,                    A, -1.0951039930676e+00,  9.3136389908289e-02, -9.8624381064062e-01,                    A,  5.6858702311282e-01,  9.5869400670011e-01,  3.6807241810067e-01
                    B,  1.4944845796363e+00,  2.5885635312772e+00,  6.4191467395584e-01,                    A,  2.4373289205752e-01,  7.4581479587159e-01, -5.4263160177194e+00,                    B,  4.4109844838579e-01,  2.6606905361723e+00, -2.6453267697226e+00,                    A,  3.0373855449461e+00, -9.0020736641374e-01,  4.5665021681570e-01
                    A,  2.6354823211516e+00,  2.3529423556705e+00, -2.4249464842031e+00,                    B, -4.0364937621020e-02, -4.6350227318659e-01, -1.1800895667644e-01,                    A, -3.5582361229054e+00, -3.9012549815685e-01, -3.9705886230888e-01,                    B,  5.9267341410055e-01,  2.8775813956816e+00,  3.4008803823957e+00
                    B, -1.5649885761927e+00,  2.2134123768943e+00, -6.5784185418356e-01,                    A,  4.2874436866892e-01, -7.7772203563684e-01, -3.2011143919804e+00,                    B,  7.1201316243100e-01,  9.0659062383198e-01,  1.1405364547965e+00,                    A, -7.4928072933410e-01, -1.3300608212861e-01,  2.3334869680420e+00
                    B, -7.4390652356761e-01,  1.8346063806697e+00, -1.4035464815954e+00,                    B,  6.8384238112517e-01,  1.2812281208424e-01,  7.3056303955112e-01,                    A,  1.2214865627370e+00,  9.3811609279691e-01,  1.7954791128339e-01,                    A,  2.9450166624980e+00, -6.9719226298043e-01,  2.4120133592155e+00
                    A,  1.4991712915185e+00,  2.8140583353274e+00, -2.2129955742051e+00,                    B,  3.5479497668374e-01,  1.6018061114543e-01, -2.6005672244329e+00,                    B, -2.0623134462576e+00, -1.8319207042235e+00,  9.3288999235235e-02,                    A, -2.5518681575380e+00, -2.1004716749411e+00, -1.9366109639388e+00
