##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -7.5697068819451e-01,  1.5253138395706e+00,  2.7785444528758e-01,                    A,  2.0585449879619e+00, -2.3035847767333e-02, -6.5847928389816e-01,                    B,  2.8143061883892e+00, -6.1497533438195e-01,  2.0092542597973e+00,                    A,  9.5853781401034e-01,  9.3295359122740e-01, -1.4189863522023e+00,                    B,  1.0689494669139e+00, -7.0542330715442e-01, -1.2396195763549e+00,                    B, -4.6154335667650e-01, -1.1202974733055e+00,  1.1103438259296e+00
                    A,  2.1736891653178e+00, -2.6446171682677e+00, -3.4153584947909e+00,                    A, -6.9068392715899e-01, -1.6321954487772e-01,  1.1284180562975e-01,                    B, -7.6790771384628e-01,  1.7490183170726e+00,  4.6956410558656e-01,                    B,  7.3186300557420e-01,  3.7945720608778e-01, -1.9129962943802e+00,                    B, -5.0754670482655e-01, -7.8310509216589e-01,  2.0000298358135e+00,                    A,  1.0680962643324e+00,  2.3487964757024e+00, -1.1927944461835e+00
                    A, -1.9106177915407e+00, -3.1170870879346e+00, -1.4439853606290e+00,                    B,  4.5318431095889e-01,  2.2569670130119e+00, -4.6531233152383e-01,                    B, -3.7324719811251e-01,  7.7831151964070e-01,  1.5260439867626e+00,                    A, -1.0456211937497e+00, -1.0210793841048e-01, -1.5868173143382e+00,                    A, -8.3122211081536e-01,  2.6576950421566e+00,  1.9492205564307e+00,                    B, -7.3697545271916e-01,  2.2392582479810e+00, -7.0018760947817e-01
                    A,  1.2269752405577e+00,  8.9221798283935e-01, -1.1065348047883e+00,                    B, -3.0336727947057e+00,  6.3069594999691e-02,  8.8374005337956e-01,                    A, -1.2398213052823e+00, -2.5461717861621e+00,  1.5345133426819e+00,                    A,  1.0104310436859e+00, -1.5981355442506e-01, -7.0203321329224e-01,                    B,  5.1698136686226e-01, -3.5325658429967e+00,  1.3925119372078e+00,                    B, -2.1109091738434e+00, -2.9898228811212e-01,  2.1968365805067e-01
                    B,  1.6573474919326e+00, -3.3453377183911e-01, -3.6286600348790e-02,                    A, -2.6882181923838e-01,  2.9877534013020e+00,  7.8974207372294e-01,                    B, -4.5591317851747e-01,  1.3355290169252e+00, -6.1697264869945e-01,                    A,  1.7291188326900e+00,  1.4309026135477e+00, -1.1806547859276e+00,                    A,  6.9496323762559e-01, -1.1339134066938e+00, -3.2290406384257e+00,                    B,  4.2871583613613e-01, -1.4227676368951e+00, -1.6401391289330e-01
                    A, -2.8091242049379e-02,  4.7794291356309e-01,  1.8895444715861e+00,                    A,  9.6885377520808e-01, -7.8888593692957e-01,  2.3587403463098e+00,                    B, -1.0932022337203e+00,  1.0443706347519e+00, -6.0822134977177e-01,                    A,  7.9374097231341e-01, -8.7425103914987e-01,  3.2868604292161e-02,                    B,  1.7241105423938e+00,  1.0630101850330e+00, -4.1992043620349e-02,                    B,  1.3240981338959e+00, -8.3780517936528e-01, -2.1740745338545e+00
                    B,  1.6359182664381e+00,  3.4535768555117e-01,  2.0428960168299e+00,                    A, -3.0613313348011e+00,  7.7785260706323e-01, -5.3786901466835e-01,                    A,  5.1845343829321e-01,  1.8213072527066e+00, -2.0837527313289e-02,                    A, -3.1874709280648e+00, -1.7652141704827e+00,  4.6439798543502e-01,                    B,  2.3788229377797e+00, -8.3369366305578e-02,  8.5793080791209e-01,                    B, -1.6824695221993e+00, -3.4006048108093e-01,  7.4956956473758e-01
                    B,  2.0514222033975e+00,  2.3663286489729e-01, -2.6883905101134e-01,                    A, -1.3380957994055e+00,  2.6439158976378e+00,  1.0116671910068e+00,                    B, -6.1048933423429e-01,  1.1923199044445e+00, -1.9070440724307e-01,                    A,  1.6785869875215e+00, -1.1217399948105e+00,  1.2408734833857e+00,                    B, -3.4250025069959e+00,  8.4685160871571e-01, -5.5168885715912e-01,                    A, -2.3481755130676e+00,  1.3421504499803e+00,  1.8311898424155e+00
                    A,  1.7681976752308e+00,  1.0056994852984e+00, -1.0593940415541e+00,                    B, -3.3012250664172e+00, -1.3523884266342e+00,  2.5943210296127e-02,                    B,  1.3682043530657e+00, -2.2464610998932e-01, -2.7316574974165e-01,                    A,  5.1758697627795e-01, -9.1401897967635e-02, -1.9439882234279e+00,                    A,  1.0739017931883e+00, -1.1419199414155e+00,  1.3301457214539e+00,                    B, -2.2032874878456e+00,  1.4469418388813e+00,  1.1451564525935e+00
                    B, -5.5985727159860e-01, -2.0707196626845e+00,  1.8003611628790e-01,                    A, -1.7391937064070e+00,  1.0531556397619e+00, -2.3204862171115e+00,                    B,  1.1432437622191e+00,  3.9086338362210e-01, -1.0791230751133e+00,                    B,  1.5240621155310e+00, -1.0580636777094e+00, -1.4788996831230e-01,                    A, -4.2905305790812e-01, -3.4225538034778e-01, -1.3142435142934e+00,                    A, -2.2541255159476e+00, -2.4532767330387e+00, -1.2963461768610e+00
