#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 3.028796455451e+00,-3.490756958444e+00, 1.457624280957e-04,                  A,-7.176040564595e-01,-4.115745595903e+00,-3.687130371851e-01,                  A,-6.823821129018e-01,-9.633710044369e-01, 6.060066654954e-01,                  B,-2.902074577953e-01, 1.063576018664e+00, 2.409301284168e+00
                  B, 1.005567541230e+00, 8.852907132514e-01, 3.041649322595e+00,                  B,-8.403253200591e-01, 2.304176780598e+00,-1.793506195223e+00,                  A,-7.686204627942e-01, 1.784440055502e+00, 3.986054020561e+00,                  A, 3.450002601838e-01, 2.778288683778e-01,-1.897008481330e+00
                  A,-9.088002114114e-01, 1.865165643432e+00, 6.145752653774e-01,                  B, 2.121467500941e+00,-3.039350028315e+00, 5.398898561622e-01,                  B, 2.170983404872e+00, 6.451046055643e-01,-6.215272270757e-01,                  A,-2.486722314759e+00, 6.894817288465e-01,-1.310162152954e+00
                  A,-3.052222235216e+00, 5.996389287493e-01,-3.854411196023e+00,                  B, 4.011715053883e+00,-5.105948722541e-01, 1.588345197742e+00,                  B, 4.588584027433e-02,-6.416574234003e-01, 1.165225938810e+00,                  A,-2.683523215249e+00, 1.295178279476e+00, 2.487843834588e-01
                  A, 2.116153750462e+00, 2.218860496525e+00,-1.393772340431e+00,                  B, 1.604053788692e+00,-1.954714543009e+00,-2.778181211098e+00,                  A,-2.038674972651e+00, 5.094510590818e-01,-3.954917460473e-01,                  B,-1.273491488993e+00, 9.065412794809e-01,-3.106497798884e+00
                  B, 7.446167526615e-01, 4.457487365845e+00, 2.407041479321e-02,                  A, 2.083327380263e-01,-1.174574144240e+00,-1.566230988060e+00,                  B,-8.425492567655e-01, 5.049533103614e-02, 8.550344187686e-01,                  A, 3.679910089941e+00,-5.569538474776e-01,-1.161706512684e+00
                  A, 7.101435372914e-01,-2.255265332587e+00,-1.148844056006e+00,                  B,-2.771897005056e+00, 2.421121739862e+00, 2.258503544695e+00,                  A,-4.030432553761e-03,-8.375513649961e-01, 2.837686755986e+00,                  B,-2.356718279118e+00, 1.989725024284e-01, 3.906497868583e+00
                  A, 1.842000021335e-01,-1.599772975584e+00, 3.238784489143e-01,                  A,-5.817290467963e-01,-1.600064869825e+00,-2.037847823080e-01,                  B, 3.092735368787e+00,-1.001139039823e+00,-8.174577706967e-01,                  B, 1.745865709122e+00,-3.503149544562e+00,-1.567304047926e+00
                  A, 3.372262204491e+00, 4.856480772134e-01, 1.344424242757e+00,                  B,-7.191443767110e-01,-1.228506992910e+00,-1.117476695345e+00,                  B,-3.100549132850e+00,-1.403511975320e+00, 7.194003570249e-01,                  A,-1.052794875271e-01, 7.476392223100e-01,-3.231295742108e+00
                  B, 1.874837912439e+00,-2.551298636043e+00, 2.843904699887e+00,                  A,-1.219404594113e+00,-1.980583855908e-01,-1.099878862652e+00,                  A,-1.430513593944e+00,-2.193714093870e+00, 1.841318545572e+00,                  B, 1.872655300218e+00,-1.414557018732e-02,-1.604222520409e+00
