##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A,  6.1188180674254e-02,  1.7813747442946e+00,  1.1442579314449e+00,                    B, -4.4397824524633e-01,  1.7904361010823e+00, -2.0589359886851e+00
                    B, -1.0486160216628e+00,  1.2851195901586e+00, -2.3997236460863e-01,                    A, -4.7738059751873e-01, -2.0556068425686e-01,  1.9599074370795e-01
                    A,  7.6024214192925e-02,  2.3033351902736e+00,  8.5163733550010e-01,                    B,  8.6666511280494e-01,  5.8888303749845e-01,  2.1912606964960e+00
                    B,  5.4621545221240e-01, -4.8837957612057e-01,  6.6565104854324e-01,                    A,  1.0619186092929e+00, -1.0522216603890e+00, -2.4223906690027e+00
                    B, -1.0551389943218e+00,  9.2304701256187e-01, -5.8096941553450e-01,                    A, -3.3728318341745e+00,  1.9943971937705e-01, -1.4480615603816e+00
                    B, -5.2065180022458e-01, -1.9671697918531e+00, -2.1517224905289e+00,                    A,  1.1848654464879e+00, -8.8940760680243e-01, -1.6695566736697e+00
                    A,  2.7962811206432e+00,  4.0157823023712e-01,  7.9559631894009e-01,                    B,  6.4140805812073e-01, -5.8141628569810e-01, -1.4177513878705e+00
                    B, -3.8942016131755e-01, -1.1278701581379e+00, -6.9198697570004e-01,                    A,  1.6962102286184e+00,  1.0200141085542e+00, -2.2346179747756e+00
                    A, -7.6539026162135e-01, -1.3536250229456e-01,  1.1133638488294e+00,                    B, -9.9868547643193e-01, -1.2144183545414e+00, -2.6405593996108e-01
                    A, -2.9008406267819e+00,  1.4739061607018e+00, -1.2959331227033e+00,                    B, -3.6707768213479e-01,  1.6046637844949e+00,  1.5210895553929e+00
